,Amazonas - Depósito Poupança (R$)
2021-3,3252355.3802719368
2021-4,3226455.71755697
2021-5,3200556.054842003
2021-6,3174656.3921270366
2021-7,3148756.72941207
2021-8,3122857.0666971034
2021-9,3096957.403982137
2021-10,3071057.74126717
2021-11,3045158.0785522033
2021-12,3019258.4158372367
2022-1,2993358.75312227
2022-2,2993358.75312227
2022-3,2993358.75312227
2022-4,2993358.75312227
2022-5,2993358.75312227
2022-6,2993358.75312227
2022-7,2993358.75312227
2022-8,2993358.75312227
2022-9,2993358.75312227
2022-10,2993358.75312227
2022-11,2993358.75312227
2022-12,2993358.75312227
2023-1,2993358.75312227
