,Amazonas - Depósito Poupança (R$)
2003-1,1284537.31620263
2003-2,1291712.6852568658
2003-3,1298888.0543111018
2003-4,1306063.4233653375
2003-5,1313238.7924195733
2003-6,1320414.1614738093
2003-7,1327589.530528045
2003-8,1334764.8995822808
2003-9,1341940.2686365168
2003-10,1349115.6376907525
2003-11,1356291.0067449883
2003-12,1363466.3757992242
2004-1,1370641.74485346
2004-2,1372975.8511565274
2004-3,1375309.957459595
2004-4,1377644.0637626625
2004-5,1379978.17006573
2004-6,1382312.2763687975
2004-7,1384646.3826718652
2004-8,1386980.4889749326
2004-9,1389314.595278
2004-10,1391648.7015810676
2004-11,1393982.807884135
2004-12,1396316.9141872027
2005-1,1398651.02049027
2005-2,1410225.2258986735
2005-3,1421799.4313070767
2005-4,1433373.6367154801
2005-5,1444947.8421238833
2005-6,1456522.0475322867
2005-7,1468096.2529406901
2005-8,1479670.4583490933
2005-9,1491244.6637574967
2005-10,1502818.8691659
2005-11,1514393.0745743033
2005-12,1525967.2799827065
2006-1,1537541.48539111
2006-2,1561039.2260812342
2006-3,1584536.9667713582
2006-4,1608034.7074614824
2006-5,1631532.4481516066
2006-6,1655030.1888417308
2006-7,1678527.929531855
2006-8,1702025.670221979
2006-9,1725523.4109121033
2006-10,1749021.1516022275
2006-11,1772518.8922923515
2006-12,1796016.6329824757
2007-1,1819514.3736726
2007-2,1841852.5522111757
2007-3,1864190.7307497517
2007-4,1886528.9092883274
2007-5,1908867.0878269032
2007-6,1931205.2663654792
2007-7,1953543.444904055
2007-8,1975881.6234426307
2007-9,1998219.8019812068
2007-10,2020557.9805197825
2007-11,2042896.1590583583
2007-12,2065234.3375969343
2008-1,2087572.51613551
2008-2,2099446.8376780017
2008-3,2111321.1592204934
2008-4,2123195.480762985
2008-5,2135069.8023054767
2008-6,2146944.1238479684
2008-7,2158818.44539046
2008-8,2170692.7669329518
2008-9,2182567.0884754434
2008-10,2194441.410017935
2008-11,2206315.7315604268
2008-12,2218190.0531029184
2009-1,2230064.37464541
2009-2,2255765.955091626
2009-3,2281467.5355378417
2009-4,2307169.1159840575
2009-5,2332870.6964302734
2009-6,2358572.276876489
2009-7,2384273.857322705
2009-8,2409975.437768921
2009-9,2435677.0182151366
2009-10,2461378.5986613524
2009-11,2487080.179107568
2009-12,2512781.759553784
2010-1,2538483.34
2010-2,2545144.387642665
2010-3,2551805.43528533
2010-4,2558466.482927995
2010-5,2565127.53057066
2010-6,2571788.578213325
2010-7,2578449.6258559898
2010-8,2585110.673498655
2010-9,2591771.72114132
2010-10,2598432.768783985
2010-11,2605093.81642665
2010-12,2611754.864069315
2011-1,2618415.91171198
2011-2,2637467.3043819075
2011-3,2656518.6970518352
2011-4,2675570.0897217626
2011-5,2694621.48239169
2011-6,2713672.8750616177
2011-7,2732724.267731545
2011-8,2751775.6604014724
2011-9,2770827.0530714
2011-10,2789878.4457413275
2011-11,2808929.838411255
2011-12,2827981.2310811826
2012-1,2847032.62375111
2012-2,2868077.145496359
2012-3,2889121.6672416083
2012-4,2910166.1889868574
2012-5,2931210.7107321066
2012-6,2952255.2324773557
2012-7,2973299.754222605
2012-8,2994344.275967854
2012-9,3015388.7977131032
2012-10,3036433.3194583524
2012-11,3057477.8412036016
2012-12,3078522.3629488507
2013-1,3099566.8846941
2013-2,3118823.900321981
2013-3,3138080.9159498615
2013-4,3157337.9315777426
2013-5,3176594.947205623
2013-6,3195851.962833504
2013-7,3215108.978461385
2013-8,3234365.994089266
2013-9,3253623.009717147
2013-10,3272880.0253450274
2013-11,3292137.0409729085
2013-12,3311394.056600789
2014-1,3330651.07222867
2014-2,3302525.3176407237
2014-3,3274399.5630527767
2014-4,3246273.80846483
2014-5,3218148.0538768834
2014-6,3190022.299288937
2014-7,3161896.54470099
2014-8,3133770.790113043
2014-9,3105645.0355250966
2014-10,3077519.28093715
2014-11,3049393.526349203
2014-12,3021267.7717612563
2015-1,2993142.01717331
2015-2,2966261.4537943406
2015-3,2939380.8904153714
2015-4,2912500.327036402
2015-5,2885619.763657433
2015-6,2858739.200278464
2015-7,2831858.6368994946
2015-8,2804978.073520526
2015-9,2778097.5101415566
2015-10,2751216.9467625874
2015-11,2724336.383383618
2015-12,2697455.820004649
2016-1,2670575.25662568
2016-2,2688303.921206578
2016-3,2706032.5857874765
2016-4,2723761.250368375
2016-5,2741489.914949273
2016-6,2759218.5795301716
2016-7,2776947.24411107
2016-8,2794675.9086919683
2016-9,2812404.5732728667
2016-10,2830133.237853765
2016-11,2847861.9024346634
2016-12,2865590.5670155617
2017-1,2883319.23159646
2017-2,2894478.435543298
2017-3,2905637.639490135
2017-4,2916796.8434369727
2017-5,2927956.04738381
2017-6,2939115.2513306476
2017-7,2950274.455277485
2017-8,2961433.6592243225
2017-9,2972592.86317116
2017-10,2983752.0671179974
2017-11,2994911.271064835
2017-12,3006070.4750116724
2018-1,3017229.67895851
2018-2,3017229.77132293
2018-3,3017229.86368735
2018-4,3017229.95605177
2018-5,3017230.04841619
2018-6,3017230.14078061
2018-7,3017230.23314503
2018-8,3017230.32550945
2018-9,3017230.41787387
2018-10,3017230.51023829
2018-11,3017230.60260271
2018-12,3017230.6949671297
2019-1,3017230.78733155
2019-2,3068986.0452627656
2019-3,3120741.3031939818
2019-4,3172496.5611251974
2019-5,3224251.819056413
2019-6,3276007.0769876293
2019-7,3327762.334918845
2019-8,3379517.5928500607
2019-9,3431272.850781277
2019-10,3483028.1087124925
2019-11,3534783.366643708
2019-12,3586538.624574924
2020-1,3638293.88250614
2020-2,3610448.951105784
2020-3,3582604.0197054283
2020-4,3554759.0883050724
2020-5,3526914.1569047165
2020-6,3499069.2255043606
2020-7,3471224.294104005
2020-8,3443379.3627036493
2020-9,3415534.4313032934
2020-10,3387689.4999029376
2020-11,3359844.5685025817
2020-12,3331999.637102226
2021-1,3304154.70570187
2021-2,3278255.0429869033
