,Minas Gerais - Depósito Poupança (R$)
2003-1,22637406.1176643
2003-2,22728268.01765971
2003-3,22819129.917655118
2003-4,22909991.817650527
2003-5,23000853.717645932
2003-6,23091715.61764134
2003-7,23182577.51763675
2003-8,23273439.41763216
2003-9,23364301.317627568
2003-10,23455163.217622973
2003-11,23546025.117618382
2003-12,23636887.01761379
2004-1,23727748.9176092
2004-2,23739056.55801554
2004-3,23750364.198421884
2004-4,23761671.838828225
2004-5,23772979.479234565
2004-6,23784287.11964091
2004-7,23795594.76004725
2004-8,23806902.40045359
2004-9,23818210.040859934
2004-10,23829517.681266274
2004-11,23840825.321672615
2004-12,23852132.96207896
2005-1,23863440.6024853
2005-2,24019068.2559691
2005-3,24174695.9094529
2005-4,24330323.5629367
2005-5,24485951.216420498
2005-6,24641578.8699043
2005-7,24797206.5233881
2005-8,24952834.1768719
2005-9,25108461.8303557
2005-10,25264089.483839497
2005-11,25419717.137323298
2005-12,25575344.7908071
2006-1,25730972.4442909
2006-2,26101832.32966084
2006-3,26472692.215030782
2006-4,26843552.100400724
2006-5,27214411.985770665
2006-6,27585271.871140607
2006-7,27956131.75651055
2006-8,28326991.64188049
2006-9,28697851.527250435
2006-10,29068711.412620377
2006-11,29439571.29799032
2006-12,29810431.18336026
2007-1,30181291.0687302
2007-2,30336163.600166526
2007-3,30491036.13160285
2007-4,30645908.663039178
2007-5,30800781.1944755
2007-6,30955653.725911826
2007-7,31110526.25734815
2007-8,31265398.788784474
2007-9,31420271.3202208
2007-10,31575143.851657122
2007-11,31730016.38309345
2007-12,31884888.914529774
2008-1,32039761.4459661
2008-2,32230047.964846075
2008-3,32420334.483726047
2008-4,32610621.002606023
2008-5,32800907.521486
2008-6,32991194.040365975
2008-7,33181480.55924595
2008-8,33371767.078125924
2008-9,33562053.5970059
2008-10,33752340.115885876
2008-11,33942626.63476585
2008-12,34132913.15364583
2009-1,34323199.6725258
2009-2,34641022.650981985
2009-3,34958845.62943817
2009-4,35276668.607894346
2009-5,35594491.58635053
2009-6,35912314.564806715
2009-7,36230137.5432629
2009-8,36547960.52171908
2009-9,36865783.50017527
2009-10,37183606.47863145
2009-11,37501429.45708763
2009-12,37819252.43554381
2010-1,38137075.414
2010-2,38215619.292772524
2010-3,38294163.17154504
2010-4,38372707.05031757
2010-5,38451250.9290901
2010-6,38529794.807862625
2010-7,38608338.68663515
2010-8,38686882.56540767
2010-9,38765426.4441802
2010-10,38843970.322952725
2010-11,38922514.201725245
2010-12,39001058.08049777
2011-1,39079601.9592703
2011-2,39372438.4340257
2011-3,39665274.9087811
2011-4,39958111.3835365
2011-5,40250947.8582919
2011-6,40543784.3330473
2011-7,40836620.8078027
2011-8,41129457.2825581
2011-9,41422293.7573135
2011-10,41715130.2320689
2011-11,42007966.7068243
2011-12,42300803.1815797
2012-1,42593639.6563351
2012-2,43027321.703269064
2012-3,43461003.750203036
2012-4,43894685.797137
2012-5,44328367.84407096
2012-6,44762049.891004935
2012-7,45195731.9379389
2012-8,45629413.98487286
2012-9,46063096.031806834
2012-10,46496778.0787408
2012-11,46930460.12567476
2012-12,47364142.17260873
2013-1,47797824.2195427
2013-2,47956403.00116485
2013-3,48114981.78278701
2013-4,48273560.564409174
2013-5,48432139.34603133
2013-6,48590718.12765349
2013-7,48749296.90927565
2013-8,48907875.69089781
2013-9,49066454.472519964
2013-10,49225033.25414212
2013-11,49383612.03576428
2013-12,49542190.81738644
2014-1,49700769.5990086
2014-2,49437711.99909193
2014-3,49174654.399175264
2014-4,48911596.7992586
2014-5,48648539.19934193
2014-6,48385481.59942526
2014-7,48122423.9995086
2014-8,47859366.39959193
2014-9,47596308.79967526
2014-10,47333251.1997586
2014-11,47070193.59984193
2014-12,46807135.99992526
2015-1,46544078.4000086
2015-2,46356228.78130335
2015-3,46168379.16259811
2015-4,45980529.543892875
2015-5,45792679.92518763
2015-6,45604830.30648239
2015-7,45416980.68777715
