,Mato Grosso do Sul - Depósito Poupança (R$)
2003-1,1583944.28412848
2003-2,1591664.7975175548
2003-3,1599385.31090663
2003-4,1607105.824295705
2003-5,1614826.33768478
2003-6,1622546.8510738548
2003-7,1630267.3644629298
2003-8,1637987.877852005
2003-9,1645708.39124108
2003-10,1653428.9046301548
2003-11,1661149.41801923
2003-12,1668869.931408305
2004-1,1676590.44479738
2004-2,1667690.9136981475
2004-3,1658791.382598915
2004-4,1649891.8514996823
2004-5,1640992.32040045
2004-6,1632092.7893012175
2004-7,1623193.258201985
2004-8,1614293.7271027523
2004-9,1605394.19600352
2004-10,1596494.6649042876
2004-11,1587595.133805055
2004-12,1578695.6027058223
2005-1,1569796.07160659
2005-2,1578195.1009213359
2005-3,1586594.1302360815
2005-4,1594993.1595508275
2005-5,1603392.1888655734
2005-6,1611791.218180319
2005-7,1620190.247495065
2005-8,1628589.276809811
2005-9,1636988.3061245566
2005-10,1645387.3354393025
2005-11,1653786.3647540484
2005-12,1662185.394068794
2006-1,1670584.42338354
2006-2,1705237.9753050376
2006-3,1739891.5272265351
2006-4,1774545.0791480325
2006-5,1809198.63106953
2006-6,1843852.1829910276
2006-7,1878505.734912525
2006-8,1913159.2868340225
2006-9,1947812.83875552
2006-10,1982466.3906770176
2006-11,2017119.9425985152
2006-12,2051773.4945200125
2007-1,2086427.04644151
2007-2,2097140.3029909534
2007-3,2107853.5595403966
2007-4,2118566.81608984
2007-5,2129280.0726392833
2007-6,2139993.329188727
2007-7,2150706.58573817
2007-8,2161419.8422876135
2007-9,2172133.0988370567
2007-10,2182846.3553865002
2007-11,2193559.6119359434
2007-12,2204272.868485387
2008-1,2214986.12503483
2008-2,2224149.492415261
2008-3,2233312.859795692
2008-4,2242476.2271761224
2008-5,2251639.5945565533
2008-6,2260802.961936984
2008-7,2269966.329317415
2008-8,2279129.696697846
2008-9,2288293.064078277
2008-10,2297456.431458708
2008-11,2306619.7988391384
2008-12,2315783.1662195693
2009-1,2324946.5336
2009-2,2350578.05155
2009-3,2376209.5695
2009-4,2401841.08745
2009-5,2427472.6054000002
2009-6,2453104.12335
2009-7,2478735.6413000003
2009-8,2504367.15925
2009-9,2529998.6772
2009-10,2555630.19515
2009-11,2581261.7131
2009-12,2606893.2310499996
2010-1,2632524.749
2010-2,2643620.087768483
2010-3,2654715.4265369666
2010-4,2665810.7653054497
2010-5,2676906.1040739333
2010-6,2688001.4428424165
2010-7,2699096.7816108996
2010-8,2710192.120379383
2010-9,2721287.4591478663
2010-10,2732382.79791635
2010-11,2743478.136684833
2010-12,2754573.4754533167
2011-1,2765668.8142218
2011-2,2794178.925127235
2011-3,2822689.0360326697
2011-4,2851199.146938105
2011-5,2879709.25784354
2011-6,2908219.368748975
2011-7,2936729.47965441
2011-8,2965239.590559845
2011-9,2993749.70146528
2011-10,3022259.8123707147
2011-11,3050769.92327615
2011-12,3079280.034181585
2012-1,3107790.14508702
2012-2,3142236.889591665
2012-3,3176683.63409631
2012-4,3211130.378600955
2012-5,3245577.1231056
2012-6,3280023.867610245
2012-7,3314470.61211489
2012-8,3348917.356619535
2012-9,3383364.10112418
2012-10,3417810.845628825
2012-11,3452257.59013347
2012-12,3486704.334638115
2013-1,3521151.07914276
2013-2,3535414.2466294984
2013-3,3549677.414116237
2013-4,3563940.581602975
2013-5,3578203.749089713
2013-6,3592466.9165764516
2013-7,3606730.08406319
2013-8,3620993.2515499284
2013-9,3635256.419036667
2013-10,3649519.5865234053
2013-11,3663782.754010143
2013-12,3678045.9214968816
2014-1,3692309.08898362
2014-2,3674196.628485566
2014-3,3656084.1679875115
2014-4,3637971.7074894574
2014-5,3619859.2469914034
2014-6,3601746.7864933494
2014-7,3583634.3259952953
2014-8,3565521.865497241
2014-9,3547409.4049991868
2014-10,3529296.9445011327
2014-11,3511184.484003078
2014-12,3493072.023505024
2015-1,3474959.56300697
2015-2,3458496.38957373
2015-3,3442033.21614049
2015-4,3425570.04270725
2015-5,3409106.86927401
2015-6,3392643.69584077
2015-7,3376180.52240753
2015-8,3359717.3489742903
2015-9,3343254.1755410503
2015-10,3326791.00210781
2015-11,3310327.82867457
2015-12,3293864.65524133
2016-1,3277401.48180809
2016-2,3291121.958643322
2016-3,3304842.435478553
2016-4,3318562.912313785
2016-5,3332283.3891490167
2016-6,3346003.8659842485
2016-7,3359724.34281948
2016-8,3373444.8196547115
2016-9,3387165.2964899433
2016-10,3400885.773325175
2016-11,3414606.2501604063
2016-12,3428326.726995638
2017-1,3442047.20383087
2017-2,3458034.373043315
2017-3,3474021.5422557597
2017-4,3490008.711468205
2017-5,3505995.88068065
2017-6,3521983.0498930947
2017-7,3537970.21910554
2017-8,3553957.388317985
2017-9,3569944.5575304297
2017-10,3585931.726742875
2017-11,3601918.89595532
2017-12,3617906.0651677647
2018-1,3633893.23438021
2018-2,3634477.2156994725
2018-3,3635061.197018735
2018-4,3635645.1783379973
2018-5,3636229.15965726
2018-6,3636813.1409765226
2018-7,3637397.1222957848
