,São Paulo - Depósito Poupança (R$)
2003-1,86522992.4832384
2003-2,86591677.66106017
2003-3,86660362.83888195
2003-4,86729048.01670372
2003-5,86797733.1945255
2003-6,86866418.37234728
2003-7,86935103.55016905
2003-8,87003788.72799082
2003-9,87072473.9058126
2003-10,87141159.08363438
2003-11,87209844.26145615
2003-12,87278529.43927793
2004-1,87347214.6170997
2004-2,87177412.73533578
2004-3,87007610.85357185
2004-4,86837808.97180793
2004-5,86668007.090044
2004-6,86498205.20828007
2004-7,86328403.32651615
2004-8,86158601.44475223
2004-9,85988799.5629883
2004-10,85818997.68122438
2004-11,85649195.79946046
2004-12,85479393.91769652
2005-1,85309592.0359326
2005-2,85471550.33843012
2005-3,85633508.64092763
2005-4,85795466.94342515
2005-5,85957425.24592267
2005-6,86119383.54842018
2005-7,86281341.8509177
2005-8,86443300.15341522
2005-9,86605258.45591272
2005-10,86767216.75841025
2005-11,86929175.06090777
2005-12,87091133.36340527
2006-1,87253091.6659028
2006-2,88459856.4614489
2006-3,89666621.25699499
2006-4,90873386.05254109
2006-5,92080150.84808719
2006-6,93286915.64363329
2006-7,94493680.43917939
2006-8,95700445.2347255
2006-9,96907210.0302716
2006-10,98113974.8258177
2006-11,99320739.6213638
2006-12,100527504.4169099
2007-1,101734269.212456
2007-2,102278155.78024359
2007-3,102822042.34803116
2007-4,103365928.91581875
2007-5,103909815.48360634
2007-6,104453702.05139391
2007-7,104997588.6191815
2007-8,105541475.18696909
2007-9,106085361.75475666
2007-10,106629248.32254425
2007-11,107173134.89033183
2007-12,107717021.4581194
2008-1,108260908.025907
2008-2,109232429.35446492
2008-3,110203950.68302283
2008-4,111175472.01158075
2008-5,112146993.34013866
2008-6,113118514.66869658
2008-7,114090035.99725449
2008-8,115061557.32581241
2008-9,116033078.65437034
2008-10,117004599.98292825
2008-11,117976121.31148617
2008-12,118947642.6400441
2009-1,119919163.968602
2009-2,120748207.72113517
2009-3,121577251.47366834
2009-4,122406295.2262015
2009-5,123235338.97873467
2009-6,124064382.73126784
2009-7,124893426.483801
2009-8,125722470.23633416
2009-9,126551513.98886733
2009-10,127380557.7414005
2009-11,128209601.49393366
2009-12,129038645.24646683
2010-1,129867688.999
2010-2,129965750.14652616
2010-3,130063811.29405233
2010-4,130161872.4415785
2010-5,130259933.58910467
2010-6,130357994.73663083
2010-7,130456055.884157
2010-8,130554117.03168318
2010-9,130652178.17920934
2010-10,130750239.3267355
2010-11,130848300.47426167
2010-12,130946361.62178785
2011-1,131044422.769314
2011-2,132020874.45535375
2011-3,132997326.14139351
2011-4,133973777.82743326
2011-5,134950229.513473
2011-6,135926681.19951275
2011-7,136903132.8855525
2011-8,137879584.57159224
2011-9,138856036.25763202
2011-10,139832487.94367176
2011-11,140808939.6297115
2011-12,141785391.31575125
2012-1,142761843.001791
2012-2,144207743.75902867
2012-3,145653644.51626635
2012-4,147099545.27350402
2012-5,148545446.03074166
2012-6,149991346.78797933
2012-7,151437247.545217
2012-8,152883148.30245468
2012-9,154329049.05969235
2012-10,155774949.81693
2012-11,157220850.57416767
2012-12,158666751.33140534
2013-1,160112652.088643
2013-2,160347827.75106493
2013-3,160583003.41348684
2013-4,160818179.07590875
2013-5,161053354.73833066
2013-6,161288530.40075257
2013-7,161523706.0631745
2013-8,161758881.72559643
2013-9,161994057.38801834
2013-10,162229233.05044025
2013-11,162464408.71286216
2013-12,162699584.37528408
2014-1,162934760.037706
2014-2,161485030.02612823
2014-3,160035300.0145505
2014-4,158585570.00297275
2014-5,157135839.991395
2014-6,155686109.97981724
2014-7,154236379.9682395
2014-8,152786649.95666176
2014-9,151336919.945084
2014-10,149887189.93350625
2014-11,148437459.92192852
2014-12,146987729.91035077
2015-1,145537999.898773
2015-2,144642204.48326525
2015-3,143746409.06775752
2015-4,142850613.65224975
2015-5,141954818.23674202
2015-6,141059022.82123426
2015-7,140163227.4057265
2015-8,139267431.99021876
2015-9,138371636.574711
2015-10,137475841.15920326
2015-11,136580045.7436955
2015-12,135684250.32818776
2016-1,134788454.91268
2016-2,135368567.57403117
2016-3,135948680.23538232
2016-4,136528792.8967335
2016-5,137108905.55808467
2016-6,137689018.21943584
2016-7,138269130.88078701
2016-8,138849243.54213816
2016-9,139429356.20348933
2016-10,140009468.8648405
2016-11,140589581.52619165
2016-12,141169694.18754283
2017-1,141749806.848894
2017-2,142333693.31994858
2017-3,142917579.79100317
2017-4,143501466.26205775
2017-5,144085352.73311234
2017-6,144669239.20416692
2017-7,145253125.6752215
2017-8,145837012.1462761
2017-9,146420898.61733067
2017-10,147004785.08838525
2017-11,147588671.55943984
2017-12,148172558.03049442
2018-1,148756444.501549
2018-2,148906324.28165507
2018-3,149056204.06176117
2018-4,149206083.84186727
2018-5,149355963.62197334
2018-6,149505843.4020794
2018-7,149655723.1821855
2018-8,149805602.9622916
2018-9,149955482.74239767
2018-10,150105362.52250373
2018-11,150255242.30260983
2018-12,150405122.08271593
2019-1,150555001.862822
2019-2,152640072.11388466
2019-3,154725142.36494732
2019-4,156810212.61601
2019-5,158895282.86707267
2019-6,160980353.11813533
2019-7,163065423.369198
2019-8,165150493.62026066
2019-9,167235563.87132332
2019-10,169320634.12238598
2019-11,171405704.37344867
2019-12,173490774.62451133
2020-1,175575844.875574
2020-2,173805198.70676073
2020-3,172034552.5379475
2020-4,170263906.36913425
2020-5,168493260.200321
2020-6,166722614.03150776
2020-7,164951967.8626945
2020-8,163181321.69388124
2020-9,161410675.525068
2020-10,159640029.35625476
2020-11,157869383.1874415
2020-12,156098737.01862827
2021-1,154328090.849815
2021-2,152883500.6476821
2021-3,151438910.4455492
2021-4,149994320.24341625
2021-5,148549730.04128334
2021-6,147105139.83915043
2021-7,145660549.6370175
2021-8,144215959.43488458
2021-9,142771369.23275167
2021-10,141326779.03061876
2021-11,139882188.82848585
2021-12,138437598.6263529
2022-1,136993008.42422
2022-2,136993008.42422
2022-3,136993008.42422
2022-4,136993008.42422
2022-5,136993008.42422
2022-6,136993008.42422
2022-7,136993008.42422
2022-8,136993008.42422
2022-9,136993008.42422
2022-10,136993008.42422
2022-11,136993008.42422
2022-12,136993008.42422
2023-1,136993008.42422
