,Acre - Depósito Poupança (R$)
2003-1,247158.775150397
2003-2,248180.77573238043
2003-3,249202.77631436384
2003-4,250224.77689634726
2003-5,251246.77747833068
2003-6,252268.7780603141
2003-7,253290.7786422975
2003-8,254312.7792242809
2003-9,255334.77980626433
2003-10,256356.78038824775
2003-11,257378.78097023116
2003-12,258400.78155221458
2004-1,259422.782134198
2004-2,262076.48562208365
2004-3,264730.1891099693
2004-4,267383.892597855
2004-5,270037.59608574066
2004-6,272691.2995736263
2004-7,275345.003061512
2004-8,277998.70654939767
2004-9,280652.4100372833
2004-10,283306.11352516897
2004-11,285959.8170130546
2004-12,288613.5205009403
2005-1,291267.223988826
2005-2,293667.4602925374
2005-3,296067.69659624883
2005-4,298467.9328999602
2005-5,300868.1692036716
2005-6,303268.40550738305
2005-7,305668.6418110945
2005-8,308068.8781148059
2005-9,310469.11441851733
2005-10,312869.35072222876
2005-11,315269.5870259401
2005-12,317669.82332965155
2006-1,320070.059633363
2006-2,323347.31471873546
2006-3,326624.569804108
2006-4,329901.8248894805
2006-5,333179.07997485297
2006-6,336456.3350602255
2006-7,339733.590145598
2006-8,343010.8452309705
2006-9,346288.100316343
2006-10,349565.3554017155
2006-11,352842.610487088
2006-12,356119.8655724605
2007-1,359397.120657833
2007-2,369113.8713712669
2007-3,378830.62208470085
2007-4,388547.37279813475
2007-5,398264.12351156864
2007-6,407980.8742250026
2007-7,417697.6249384365
2007-8,427414.3756518704
2007-9,437131.12636530434
2007-10,446847.87707873824
2007-11,456564.62779217213
2007-12,466281.3785056061
2008-1,475998.12921904
2008-2,484194.1014056735
2008-3,492390.073592307
2008-4,500586.0457789405
2008-5,508782.017965574
2008-6,516977.99015220744
2008-7,525173.9623388409
2008-8,533369.9345254744
2008-9,541565.906712108
2008-10,549761.8788987414
2008-11,557957.851085375
2008-12,566153.8232720084
2009-1,574349.795458642
2009-2,576435.5634204218
2009-3,578521.3313822016
2009-4,580607.0993439815
2009-5,582692.8673057613
2009-6,584778.6352675412
2009-7,586864.403229321
2009-8,588950.1711911008
2009-9,591035.9391528807
2009-10,593121.7071146605
2009-11,595207.4750764404
2009-12,597293.2430382202
2010-1,599379.011
2010-2,597556.8949251622
2010-3,595734.7788503242
2010-4,593912.6627754862
2010-5,592090.5467006484
2010-6,590268.4306258105
2010-7,588446.3145509725
2010-8,586624.1984761346
2010-9,584802.0824012967
2010-10,582979.9663264588
2010-11,581157.8502516209
2010-12,579335.7341767829
2011-1,577513.618101945
2011-2,580936.9289436209
2011-3,584360.2397852967
2011-4,587783.5506269725
2011-5,591206.8614686483
2011-6,594630.1723103242
2011-7,598053.483152
2011-8,601476.7939936758
2011-9,604900.1048353517
2011-10,608323.4156770275
2011-11,611746.7265187033
2011-12,615170.0373603791
2012-1,618593.348202055
2012-2,622590.2990438192
2012-3,626587.2498855833
2012-4,630584.2007273475
2012-5,634581.1515691116
2012-6,638578.1024108758
2012-7,642575.05325264
2012-8,646572.0040944042
2012-9,650568.9549361684
2012-10,654565.9057779325
2012-11,658562.8566196967
2012-12,662559.8074614608
2013-1,666556.758303225
2013-2,672867.0907463783
2013-3,679177.4231895315
2013-4,685487.7556326848
2013-5,691798.088075838
2013-6,698108.4205189913
2013-7,704418.7529621446
2013-8,710729.0854052977
2013-9,717039.417848451
2013-10,723349.7502916042
2013-11,729660.0827347575
2013-12,735970.4151779107
2014-1,742280.747621064
2014-2,734798.9656352643
2014-3,727317.1836494646
2014-4,719835.401663665
2014-5,712353.6196778653
2014-6,704871.8376920656
2014-7,697390.055706266
2014-8,689908.2737204663
2014-9,682426.4917346666
2014-10,674944.709748867
2014-11,667462.9277630673
2014-12,659981.1457772676
2015-1,652499.363791468
2015-2,651344.4262241211
2015-3,650189.4886567743
2015-4,649034.5510894274
2015-5,647879.6135220807
2015-6,646724.6759547339
2015-7,645569.738387387
2015-8,644414.8008200402
2015-9,643259.8632526933
