,Paraíba - Depósito Poupança (R$)
2003-1,1938190.05779081
2003-2,1949292.1767611392
2003-3,1960394.2957314684
2003-4,1971496.4147017975
2003-5,1982598.5336721267
2003-6,1993700.6526424559
2003-7,2004802.771612785
2003-8,2015904.8905831142
2003-9,2027007.0095534434
2003-10,2038109.1285237726
2003-11,2049211.2474941018
2003-12,2060313.366464431
2004-1,2071415.48543476
2004-2,2078492.7246941852
2004-3,2085569.96395361
2004-4,2092647.2032130351
2004-5,2099724.44247246
2004-6,2106801.681731885
2004-7,2113878.92099131
2004-8,2120956.160250735
2004-9,2128033.39951016
2004-10,2135110.638769585
2004-11,2142187.87802901
2004-12,2149265.117288435
2005-1,2156342.35654786
2005-2,2175948.2203512876
2005-3,2195554.084154715
2005-4,2215159.9479581425
2005-5,2234765.81176157
2005-6,2254371.6755649974
2005-7,2273977.539368425
2005-8,2293583.4031718527
2005-9,2313189.26697528
2005-10,2332795.1307787076
2005-11,2352400.994582135
2005-12,2372006.8583855624
2006-1,2391612.72218899
2006-2,2431688.182661342
2006-3,2471763.6431336934
2006-4,2511839.1036060452
2006-5,2551914.5640783967
2006-6,2591990.0245507485
2006-7,2632065.4850231
2006-8,2672140.945495452
2006-9,2712216.4059678037
2006-10,2752291.866440155
2006-11,2792367.326912507
2006-12,2832442.7873848584
2007-1,2872518.24785721
2007-2,2894394.399272614
2007-3,2916270.5506880186
2007-4,2938146.702103423
2007-5,2960022.853518827
2007-6,2981899.004934231
2007-7,3003775.156349635
2007-8,3025651.3077650396
2007-9,3047527.4591804435
2007-10,3069403.6105958475
2007-11,3091279.762011252
2007-12,3113155.9134266563
2008-1,3135032.06484206
2008-2,3154752.4197103716
2008-3,3174472.7745786835
2008-4,3194193.1294469954
2008-5,3213913.484315307
2008-6,3233633.8391836183
2008-7,3253354.19405193
2008-8,3273074.548920242
2008-9,3292794.9037885536
2008-10,3312515.258656865
2008-11,3332235.613525177
2008-12,3351955.968393489
2009-1,3371676.3232618
2009-2,3405671.4449899835
2009-3,3439666.5667181667
2009-4,3473661.6884463504
2009-5,3507656.8101745336
2009-6,3541651.931902717
2009-7,3575647.0536309
2009-8,3609642.1753590833
2009-9,3643637.2970872666
2009-10,3677632.41881545
2009-11,3711627.5405436335
2009-12,3745622.6622718167
2010-1,3779617.784
2010-2,3791519.483341275
2010-3,3803421.18268255
2010-4,3815322.882023825
2010-5,3827224.5813651
2010-6,3839126.280706375
2010-7,3851027.9800476497
2010-8,3862929.679388925
2010-9,3874831.3787301998
2010-10,3886733.078071475
2010-11,3898634.77741275
2010-12,3910536.476754025
2011-1,3922438.1760953
2011-2,3952183.694136288
2011-3,3981929.2121772766
2011-4,4011674.7302182647
2011-5,4041420.2482592533
2011-6,4071165.7663002415
2011-7,4100911.28434123
2011-8,4130656.802382218
2011-9,4160402.3204232063
2011-10,4190147.838464195
2011-11,4219893.3565051835
2011-12,4249638.874546171
2012-1,4279384.39258716
2012-2,4314476.956059143
2012-3,4349569.519531126
2012-4,4384662.083003109
2012-5,4419754.646475093
2012-6,4454847.209947077
2012-7,4489939.77341906
2012-8,4525032.336891043
2012-9,4560124.900363026
2012-10,4595217.46383501
2012-11,4630310.0273069935
2012-12,4665402.590778977
2013-1,4700495.15425096
2013-2,4719892.140627723
2013-3,4739289.1270044865
2013-4,4758686.11338125
2013-5,4778083.099758013
2013-6,4797480.0861347765
2013-7,4816877.07251154
2013-8,4836274.058888303
2013-9,4855671.045265066
2013-10,4875068.03164183
2013-11,4894465.018018593
2013-12,4913862.004395356
2014-1,4933258.99077212
2014-2,4917137.844714882
2014-3,4901016.698657643
2014-4,4884895.552600404
2014-5,4868774.406543166
2014-6,4852653.2604859285
2014-7,4836532.11442869
2014-8,4820410.968371451
2014-9,4804289.822314213
2014-10,4788168.676256975
2014-11,4772047.530199736
2014-12,4755926.384142498
2015-1,4739805.23808526
2015-2,4730304.547643161
2015-3,4720803.857201063
2015-4,4711303.166758965
2015-5,4701802.476316866
2015-6,4692301.785874768
2015-7,4682801.09543267
2015-8,4673300.404990572
2015-9,4663799.714548473
2015-10,4654299.024106375
2015-11,4644798.333664277
2015-12,4635297.643222178
2016-1,4625796.95278008
2016-2,4641564.703634553
2016-3,4657332.454489025
2016-4,4673100.205343498
2016-5,4688867.95619797
2016-6,4704635.707052442
2016-7,4720403.457906915
2016-8,4736171.2087613875
2016-9,4751938.95961586
2016-10,4767706.710470332
2016-11,4783474.461324804
2016-12,4799242.212179277
2017-1,4815009.96303375
2017-2,4830428.093154207
2017-3,4845846.223274665
2017-4,4861264.353395122
2017-5,4876682.48351558
2017-6,4892100.613636037
2017-7,4907518.743756495
2017-8,4922936.873876953
2017-9,4938355.00399741
2017-10,4953773.134117868
2017-11,4969191.264238325
2017-12,4984609.394358783
2018-1,5000027.52447924
2018-2,5010343.855574854
2018-3,5020660.186670467
2018-4,5030976.51776608
2018-5,5041292.848861693
2018-6,5051609.179957307
2018-7,5061925.51105292
2018-8,5072241.842148533
2018-9,5082558.173244147
2018-10,5092874.50433976
2018-11,5103190.835435374
2018-12,5113507.166530986
2019-1,5123823.4976266
2019-2,5203210.406699256
2019-3,5282597.315771911
2019-4,5361984.2248445675
2019-5,5441371.133917224
2019-6,5520758.042989879
2019-7,5600144.952062535
2019-8,5679531.861135191
2019-9,5758918.770207847
2019-10,5838305.679280503
2019-11,5917692.588353159
2019-12,5997079.497425814
2020-1,6076466.40649847
2020-2,6002925.307703102
2020-3,5929384.208907734
2020-4,5855843.110112365
2020-5,5782302.011316997
2020-6,5708760.912521629
2020-7,5635219.81372626
2020-8,5561678.714930892
2020-9,5488137.616135524
2020-10,5414596.517340155
2020-11,5341055.418544787
2020-12,5267514.319749419
2021-1,5193973.22095405
2021-2,5171597.379367781
2021-3,5149221.537781512
2021-4,5126845.696195243
2021-5,5104469.8546089735
2021-6,5082094.013022704
2021-7,5059718.171436435
2021-8,5037342.329850166
2021-9,5014966.488263897
2021-10,4992590.646677627
2021-11,4970214.805091359
2021-12,4947838.963505089
2022-1,4925463.12191882
2022-2,4925463.12191882
2022-3,4925463.12191882
2022-4,4925463.12191882
2022-5,4925463.12191882
2022-6,4925463.12191882
2022-7,4925463.12191882
2022-8,4925463.12191882
2022-9,4925463.12191882
2022-10,4925463.12191882
2022-11,4925463.12191882
2022-12,4925463.12191882
2023-1,4925463.12191882
