Ano,Tocantins - Produção de Cimento (t)
2014,534.4221926954918
2015,515.3837931383493
2016,535.1861077636606
2017,580.856957409161
2018,599.8119150341745
2019,654.7548154978535
2020,735.7478469321086
2021,778.6790124760463
2022,796.1025881963274
