Ano,Tocantins - IDH
2008,0.7182808833485721
2009,0.7205753589406148
2010,0.7224433634480705
2011,0.7238936002964601
2012,0.7245311986531986
2013,0.7257421318742985
2014,0.7263039761971567
2015,0.7254126408802531
2016,0.7357263588731734
2017,0.7358833005889164
2018,0.7355090551879088
2019,0.734282605659537
2020,0.7327628425376765
2021,0.7307412827683745
2022,0.7307177630200449
