Ano,Tocantins - Produção de Cimento (t)
2008,199.99442340744002
2009,305.82901728748095
2010,421.3275257903116
2011,483.31360483836784
2012,510.5469442285658
2013,530.7569914890389
2014,534.4221926954918
2015,515.3837931383493
2016,535.1861077636606
2017,580.856957409161
2018,599.8119150341745
2019,654.7548154978535
2020,735.7478469321086
2021,778.6790124760463
2022,796.1025881963274
