Ano,Mato Grosso - Produção de Cimento (t),Mato Grosso - Desemprego,Mato Grosso - IDH,Mato Grosso - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Mato Grosso - Valor Cimento Portland,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2003,620.2681082057328,8.29717805688061,0.7451471682661532,668.575,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,4.031462754819114,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205
2004,624.9098731716972,8.22684907472465,0.7470779254775449,716.682,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,3.9352473823136154,61830134.709309086,2695788.0104486533,16.886950289084538,51509653.47169231
2005,653.0293809534883,8.206659721662158,0.7487999765458229,737.634,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,3.7372713124024473,62686671.769890346,2708770.456746804,16.89819815298413,51674390.70468156
2006,727.8161461612146,8.120431402675818,0.7503184846098365,701.548,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,3.70056404375816,63545954.70446385,2735091.1991593284,16.937331618717923,51897358.615272425
2007,812.7356436076785,8.093287163551162,0.7516386128084354,840.901,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,3.889724753853909,64527870.49701014,2767527.920488152,17.057530543002606,52333067.324855946
2008,869.8344526265676,8.063004956989525,0.7527655242804686,994.957,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,4.140783914216651,65356019.83738571,2793552.9721474675,17.12790263485004,52609180.87584722
2009,949.0830484843832,8.095019259007241,0.7537043821647857,998.465,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,4.367145355038856,65939673.99142018,2815132.820643816,17.131656699309254,52671583.976748765
2010,1038.662222539624,8.05784802131733,0.7544603496002364,1099.34,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4.559664626915217,67891564.42644235,2861375.362368723,17.294037380359484,53395717.45720118
2011,1134.526356125818,8.047069128696148,0.7550385897256698,1204.074,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4.705269851930388,69858113.64337362,2887266.124920445,17.471860536322446,54152397.5304272
2012,1291.1612064230458,6.695389397639399,0.7550273912457913,1381.539,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4.879101230953082,71590156.14698905,2905725.794311625,17.591514543826047,54724080.79726176
2013,1371.926396947897,7.06888140050866,0.7561130071829406,1618.657,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,5.110700297952747,73140737.64388081,2912178.946756634,17.684469730461053,55197259.20957321
2014,1268.814713557253,7.495400530139395,0.755955757781519,1411.2344285714282,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,5.303015436692365,74506952.99265689,2898180.820380595,17.765376989009695,55597246.63213971
2015,1123.3456269790577,7.838256458772852,0.7554520709299789,1241.1003428571426,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,5.300308321832778,75521292.80488929,2867942.7927061087,17.804826498952167,55839830.41129878
2016,1075.219902504282,7.730866936586208,0.7587771115582028,1083.1282285714285,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,5.189896830846013,76313320.83239266,2837856.1572907246,17.84427582434464,56055545.86941466
2017,1111.8399842765175,7.251142586907594,0.7578477580634939,1220.058,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,5.117115017830085,76590731.20461804,2826355.198550284,17.841399103041564,56102120.87879683
2018,1139.8725083273991,7.109464637507791,0.7567430087965388,1316.386,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,5.097669592757951,76765591.25551,2824324.9676263034,17.858302703968686,56180803.36097593
