Ano,Mato Grosso do Sul - IDH,Mato Grosso Do Sul - Consumo de Cimento (t),Mato Grosso do Sul - Valor Cimento Portland,Mato Grosso Do Sul - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado,Mato Grosso do Sul - Desemprego
2003,0.7416255410896376,417.592,3.399872848237192,640.5346715644766,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,45629451.73015587,2151916.7490467816,16.20317859675067,39575454.63772257,8.248824124668724
2004,0.7426364021754681,466.165,3.0852108377083893,650.2035508686096,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,46320783.16617863,2171424.9182164385,16.238608556649375,39768632.18798807,8.178155305345381
2005,0.7436353041786602,479.481,2.624412669974165,663.5011503427369,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,47003519.96561871,2187532.217301002,16.294465916269097,39986526.35400095,8.157500707628346
2006,0.7446220022357017,515.485,2.6755750551761333,712.0495174823053,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,47703785.789629176,2210487.1500488967,16.382366741241967,40266844.162208304,8.070117195206189
2007,0.7455962514830801,632.929,3.084079985462065,783.7935478395779,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,48356894.57795924,2229286.611669004,16.46041676017991,40515161.53477429,8.040810958175138
2008,0.7465578070572828,814.771,3.433682260347833,831.7744730775627,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,48952449.29896824,2250402.997493206,16.533878530784648,40724497.84856174,8.011860789640922
2009,0.7475064240947974,693.327,3.651734786198428,863.8779066834095,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,49430987.44621838,2269265.870873893,16.565698690794772,40854104.42966156,8.040524198285377
2010,0.7484418577321116,813.149,3.8460031588442094,916.67748261226,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,50899881.04016034,2290153.501698762,16.70129857079546,41381902.18275368,8.00386216757406
2011,0.7493638631057129,923.248,4.0207241703868695,958.130316795938,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,52242826.97970282,2294875.501208014,16.813002732157532,41801597.92354208,7.993143791483601
2012,0.7500336929292931,1008.624,4.183486813238545,956.0162920794296,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,53454012.04788331,2288752.2067909846,16.887781720042174,42137018.94946247,6.360445461945462
2013,0.7514531673400674,1028.608,4.30749751141573,928.9189524469988,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,54529532.91629192,2278493.5642728754,16.940587250097412,42409023.01835112,6.7253716835720105
2014,0.7521575979517398,995.2221428571428,4.328378415799484,886.9446064265561,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,55438643.03059719,2276793.6304261247,16.985287085576168,42612953.39689288,7.077333069355388
