Ano,Amazonas - Produção de Cimento (t),Amazonas - IDH,Amazonas - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amazonas - Consumo de Cimento (t),Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado,Amazonas - Desemprego
2003,623.2275031250788,0.6958981976409983,3.993873015809798,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,418.347,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147,8.63094167820409
2004,631.4822591021695,0.6976320854038794,4.187698659820449,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,587.382,48231219.418310896,2538092.113899628,12.509135124955163,43381436.41624759,8.558110318847893
2005,637.8386557937766,0.6992408904847881,4.449583198429789,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,613.286,48836252.70435857,2540251.123263741,12.51130613726451,43496637.17540231,8.526726588669835
2006,664.5885278475133,0.700728497365528,4.788580623015601,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,626.147,49382830.79629677,2557701.554854002,12.511870826731997,43578882.6225528,8.44627595694676
2007,691.8048062499033,0.702098790527903,5.207764143410161,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,666.931,49807070.28522859,2573779.295632583,12.484991260456525,43546508.75886906,8.43440740222317
2008,694.9291859930751,0.7033556544537171,5.596890822708955,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,769.233,50172288.217824906,2568804.62499274,12.460706091350117,43495785.963737816,8.396886002049696
2009,715.226516321853,0.7045029736247739,5.981096359635512,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,744.252,50474102.40796278,2574929.858736947,12.433925836172488,43455347.340321325,8.420659362065976
2010,753.1256195401058,0.7055446325228774,6.348653413762471,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,796.116,51693070.81151216,2569006.077183323,12.457785364106892,43795228.39283644,8.389077391236086
2011,768.0560575573505,0.7064845156298313,6.656377643110938,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,948.011,52726960.4175045,2545976.7813202534,12.460974458214464,43988600.51037887,8.376519787239642
2012,750.5647096684162,0.7070290909090908,6.998332934935132,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,994.932,53537666.638230965,2524601.742103836,12.414889107737077,44035606.41265815,11.321769332519333
