Ano,Pernambuco - Valor Cimento Portland,Pernambuco - IDH,Pernambuco - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Pernambuco - Desemprego,Pernambuco - Consumo de Cimento (t),Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2003,3.6271004323857294,0.6886847637485755,425.7583126561652,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,8.294029177587007,1013.872,82373814.66627769,5574893.494196955,8.646979080769697,75710612.08201192
2004,3.6137562071331706,0.6925781496139336,463.74999267585054,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,8.2217516963816,951.037,83660327.43040591,5640541.090985226,8.694752259163636,76235666.0163163
2005,3.5030737708993875,0.696126629280196,471.5057192743228,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,8.199101149517398,979.656,84840329.09672928,5649536.467451517,8.733905830031098,76663190.59355809
2006,3.449433421074834,0.69933946791871,514.663878667367,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,8.107273266310623,1193.338,85944874.1815596,5677153.418559471,8.770881024513496,77057960.13733606
2007,3.4802392940142965,0.7022259307008227,623.9647849569955,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,8.081524496758538,1320.587,86963791.13833153,5727692.602726186,8.804783933027009,77411555.76227796
2008,3.575367952108741,0.7047952827978812,722.146507104844,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,8.049768627820379,1717.153,87856573.05100968,5769034.952635015,8.8344323363093,77682157.69513686
2009,3.706614341194488,0.7070567893812323,803.348817289273,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,8.07829268283391,1878.938,88602156.78735705,5810149.356184064,8.858244764833229,77903837.32680643
2010,3.8904109772195175,0.7090197156222232,950.4064870092704,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,8.042186923462921,2406.931,90965261.12160322,5826469.262745963,8.909890356219025,78565121.68340674
2011,4.085238544122574,0.7106933266922011,1079.3284240162131,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,8.028882024730951,2496.113,93018265.90401831,5792701.2501468025,8.937705877502246,78973432.71747497
2012,4.276735157472132,0.7115999865319865,1132.134532114604,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,12.192814407814408,2728.23,94842664.43499874,5717658.789069481,8.949260384099695,79269008.85795419
2013,4.426818898354683,0.7135666520763188,1107.64415913104,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,13.117302821545035,2982.021,96273859.77827623,5616791.797474629,8.939247663039144,79353982.46154746
2014,4.366663204675325,0.714447206416012,988.2077369885284,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,13.857508812184031,2983.632857142857,97336471.2872728,5498392.756728611,8.923226816922407,79295484.6066749
2015,4.15292250755768,0.7144011402840129,808.858464787353,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,14.543115431836322,2632.8378857142857,97971546.80651258,5411869.962371622,8.896326232177124,79107501.17917758
2016,4.155704140703157,0.7229104532098483,597.5624193902606,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,14.833751279516711,2308.455257142857,98490093.13329788,5357988.314887719,8.887508377316637,79055368.67406453
2017,4.397300834008597,0.7228114035016526,438.1778640178894,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,14.580259344603984,1813.941,98592943.95919712,5346246.998414343,8.88097875959812,78989208.65354753
2018,4.590876178524537,0.7228851674563483,386.7747553505607,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,14.328297255311773,1645.004,98118729.47859368,5353095.930209252,8.85819415291144,78730307.34663258
2019,4.746311993701202,0.721783819043289,384.6981534347785,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,14.284157448363324,1690.846,97312609.48218264,5380332.111189747,8.835747014902552,78485059.58059466
2020,5.066617003468094,0.7201278025926791,360.2549635362443,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,14.265196132447736,2018.834,95898380.6600066,5418958.712434097,8.804547388200085,78117518.64668195
2021,5.462856257400867,0.7184121482829225,329.4304149716471,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,14.24042911214708,2022.411,94323183.0351473,5466622.334357633,8.803751991382804,77985363.78602375
2022,5.700037066716052,0.7183587072177336,320.6349979588093,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,14.265103359653056,1940.927,92402451.79425669,5522972.632077565,8.801472907359122,77808111.52093555
