Ano,Espírito Santo - Produção de Cimento (t)
2014,2184.8516759752806
2015,1939.3793358517864
2016,1632.6402392774378
2017,1275.5686740569583
2018,995.3547136901079
2019,869.40565566234
2020,826.2512783561715
2021,810.2224135779542
2022,803.434153537309
