Ano,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado
1985,0.002258789,765253.686922181,9.8650089806,7719191.95719446
1986,0.006894281,1057193.9222655,9.7821688012,8238464.30703871
1987,0.020282726,1212915.37178683,9.2113008559,8299842.63618749
1988,0.139643727,1239873.51169724,9.0588224238,8684584.35184945
1989,2.266060783,1300175.81791652,8.2008907365,8982985.08335375
1990,56.56858923,938091.789233332,7.7462374935,8911364.56733956
1991,254.0620181,951076.269821624,7.6804554422,9248781.40211984
1992,2550.129812,887197.483774505,8.2052611449,9926946.47519474
1993,62153.62827,1288428.11767823,8.3330205001,10128419.7649809
1994,1523778.863,1431678.94106819,8.8869027849,11018115.3762068
1995,3136548.484,1381229.84343307,9.0087508843,11386556.6277658
1996,3845128.157,1735575.09891857,9.1489419282,11783480.3948281
1997,4488220.008,1737989.97988581,9.0625843538,11889204.4137432
1998,4798717.019,1838556.36456301,8.7364094597,11668033.9636907
1999,5399619.044,1521576.78082318,8.9964365799,12312451.1317201
2000,5946137.705,1650576.47796202,9.1267237274,12738807.1770026
2001,6548811.407,1854344.12497264,9.3427111172,13295771.0169139
2002,6627898.69989361,1138406.0954206,8.7941925535,12591322.6316105
2003,8316575.54925447,745905.354805603,9.5116294823,13848047.9447435
2004,9715834.78117979,1375161.52243374,9.6115603127,15014074.1911016
2005,11035676.9870493,932276.625724608,10.3441162858,15874018.7875357
2006,11440903.3740363,1781248.01967914,9.8647173049,15412802.017446
2007,12672017.658062,1334928.13348751,10.0704410452,16038587.2262993
2008,15234828.3764373,1440544.79176352,11.8683543099,17726158.6048626
2009,17435184.2648434,2037655.45997698,12.5696235624,18903808.824973
2010,20956957.8454357,2659473.67092714,12.5982019981,20956957.8454357
2011,24191730.511017,3753918.96869849,14.1671453826,22333867.1741099
2012,26562867.6249694,2959144.34351676,14.2881771919,22718358.9051099
2013,27686665.4498885,2208180.24924171,12.7452461641,22026512.8542753
2014,30376184.4424322,2264099.25585777,12.815279389,22407913.2853788
2015,32574075.514326,1766957.98927504,12.6337476673,22339043.1602709
2016,35384835.5196778,1086804.21452971,12.5596380165,22447577.2744056
2017,39281048.1061877,964458.314377068,13.3153372167,24036789.6435224
2018,40259789.4729368,794184.31165624,13.5753468684,23576290.6204613
2019,42037373.3923462,839405.989004937,13.4590009169,23619501.8343603
2020,46238114.6793449,928781.405699796,13.5907024629,24400449.6226019
2021,,,,
2022,,,,
