,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado
2003-1,20683496.954476897,1587671.9110230566,11.468162372992845,18283502.203934956
2003-2,20710617.396155015,1589517.8903130072,11.472453015296995,18293229.077310376
2003-3,20737737.837833136,1591363.8696029577,11.476743657601148,18302955.950685795
2003-4,20764858.279511254,1593209.8488929083,11.481034299905298,18312682.824061215
2003-5,20791978.721189372,1595055.8281828589,11.485324942209449,18322409.697436634
2003-6,20819099.16286749,1596901.8074728095,11.4896155845136,18332136.570812054
2003-7,20846219.60454561,1598747.78676276,11.493906226817751,18341863.444187477
2003-8,20873340.04622373,1600593.7660527106,11.498196869121902,18351590.317562897
2003-9,20900460.487901848,1602439.7453426612,11.502487511426054,18361317.190938316
2003-10,20927580.929579966,1604285.7246326117,11.506778153730204,18371044.064313736
2003-11,20954701.371258087,1606131.7039225623,11.511068796034355,18380770.937689155
2003-12,20981821.812936205,1607977.6832125129,11.515359438338507,18390497.811064575
2004-1,21008942.254614323,1609823.6625024634,11.519650080642657,18400224.684439994
2004-2,21033707.84117887,1610338.2724587545,11.523834488028497,18407650.453065738
2004-3,21058473.427743424,1610852.8824150455,11.528018895414336,18415076.221691478
2004-4,21083239.014307972,1611367.4923713366,11.532203302800175,18422501.99031722
2004-5,21108004.60087252,1611882.1023276276,11.536387710186014,18429927.75894296
2004-6,21132770.187437072,1612396.7122839186,11.540572117571854,18437353.527568705
2004-7,21157535.77400162,1612911.3222402097,11.544756524957693,18444779.29619445
2004-8,21182301.36056617,1613425.932196501,11.548940932343532,18452205.06482019
2004-9,21207066.94713072,1613940.542152792,11.553125339729371,18459630.833445933
2004-10,21231832.53369527,1614455.152109083,11.55730974711521,18467056.602071673
2004-11,21256598.120259818,1614969.762065374,11.56149415450105,18474482.370697416
2004-12,21281363.70682437,1615484.372021665,11.56567856188689,18481908.139323156
2005-1,21306129.293388918,1615998.9819779561,11.569862969272728,18489333.9079489
2005-2,21328652.215113346,1617498.3731100906,11.572551010245256,18495069.248125244
2005-3,21351175.136837777,1618997.7642422253,11.575239051217784,18500804.588301588
2005-4,21373698.058562204,1620497.1553743598,11.577927092190311,18506539.92847793
2005-5,21396220.98028663,1621996.5465064943,11.58061513316284,18512275.268654276
2005-6,21418743.902011063,1623495.9376386288,11.583303174135368,18518010.60883062
2005-7,21441266.82373549,1624995.3287707632,11.585991215107896,18523745.949006967
2005-8,21463789.745459918,1626494.719902898,11.588679256080423,18529481.28918331
2005-9,21486312.66718435,1627994.1110350324,11.591367297052951,18535216.629359655
2005-10,21508835.588908777,1629493.502167167,11.59405533802548,18540951.969536
2005-11,21531358.510633204,1630992.8932993016,11.596743378998008,18546687.309712343
2005-12,21553881.432357635,1632492.284431436,11.599431419970536,18552422.649888687
2006-1,21576404.354082063,1633991.6755635706,11.602119460943063,18558157.99006503
2006-2,21598631.329915497,1633668.7449843697,11.605929553390526,18565055.7005313
2006-3,21620858.305748932,1633345.8144051689,11.609739645837989,18571953.41099757
2006-4,21643085.281582363,1633022.883825968,11.613549738285451,18578851.121463843
2006-5,21665312.257415798,1632699.9532467674,11.617359830732914,18585748.831930112
2006-6,21687539.233249232,1632377.0226675665,11.621169923180377,18592646.54239638
2006-7,21709766.209082663,1632054.0920883657,11.624980015627841,18599544.25286265
2006-8,21731993.184916098,1631731.1615091648,11.628790108075304,18606441.96332892
2006-9,21754220.160749532,1631408.230929964,11.632600200522766,18613339.67379519
2006-10,21776447.136582967,1631085.3003507634,11.636410292970229,18620237.38426146
2006-11,21798674.1124164,1630762.3697715625,11.640220385417692,18627135.094727732
2006-12,21820901.088249832,1630439.4391923617,11.644030477865154,18634032.805194
2007-1,21843128.064083267,1630116.5086131608,11.647840570312617,18640930.51566027
2007-2,21863240.148307,1630763.851541068,11.651299779797514,18646637.408838693
2007-3,21883352.232530728,1631411.194468975,11.65475898928241,18652344.30201712
2007-4,21903464.31675446,1632058.5373968822,11.658218198767305,18658051.19519554
2007-5,21923576.400978193,1632705.8803247893,11.661677408252201,18663758.088373963
2007-6,21943688.48520192,1633353.2232526965,11.665136617737097,18669464.98155239
2007-7,21963800.569425654,1634000.5661806036,11.668595827221994,18675171.87473081
2007-8,21983912.653649386,1634647.9091085107,11.67205503670689,18680878.767909233
2007-9,22004024.737873115,1635295.2520364178,11.675514246191787,18686585.66108766
2007-10,22024136.822096847,1635942.594964325,11.678973455676683,18692292.55426608
2007-11,22044248.90632058,1636589.937892232,11.682432665161578,18697999.447444502
2007-12,22064360.990544308,1637237.2808201392,11.685891874646474,18703706.340622928
2008-1,22084473.07476804,1637884.6237480463,11.68935108413137,18709413.23380135
2008-2,22099494.225422274,1638317.3865374862,11.688958533197667,18711569.49395253
2008-3,22114515.37607651,1638750.1493269259,11.688565982263965,18713725.754103713
2008-4,22129536.526730742,1639182.9121163655,11.688173431330261,18715882.014254894
2008-5,22144557.677384976,1639615.6749058054,11.68778088039656,18718038.274406075
2008-6,22159578.82803921,1640048.4376952453,11.687388329462856,18720194.534557257
2008-7,22174599.978693444,1640481.200484685,11.686995778529152,18722350.79470844
2008-8,22189621.12934768,1640913.9632741245,11.68660322759545,18724507.05485962
2008-9,22204642.280001912,1641346.7260635644,11.686210676661746,18726663.3150108
2008-10,22219663.430656146,1641779.4888530043,11.685818125728044,18728819.575161982
2008-11,22234684.58131038,1642212.251642444,11.68542557479434,18730975.835313164
2008-12,22249705.731964614,1642645.0144318836,11.685033023860639,18733132.095464345
2009-1,22264726.88261885,1643077.7772213235,11.684640472926935,18735288.355615526
2009-2,22314197.679043017,1642864.6819758844,11.687970578558966,18749930.461586766
2009-3,22363668.475467186,1642651.5867304455,11.691300684190997,18764572.567558005
2009-4,22413139.271891356,1642438.4914850066,11.694630789823028,18779214.673529245
2009-5,22462610.06831552,1642225.3962395675,11.69796089545506,18793856.77950048
2009-6,22512080.86473969,1642012.3009941285,11.70129100108709,18808498.88547172
2009-7,22561551.66116386,1641799.2057486896,11.70462110671912,18823140.99144296
2009-8,22611022.45758803,1641586.1105032507,11.707951212351151,18837783.0974142
2009-9,22660493.254012197,1641373.0152578116,11.711281317983183,18852425.20338544
2009-10,22709964.050436363,1641159.9200123725,11.714611423615214,18867067.309356675
2009-11,22759434.84686053,1640946.8247669337,11.717941529247245,18881709.415327914
2009-12,22808905.6432847,1640733.7295214948,11.721271634879276,18896351.521299154
2010-1,22858376.43970887,1640520.6342760557,11.724601740511307,18910993.627270393
2010-2,22901951.72282414,1638681.742145072,11.727899861325486,18920924.672946833
2010-3,22945527.00593941,1636842.8500140882,11.731197982139665,18930855.71862327
2010-4,22989102.28905468,1635003.9578831042,11.734496102953845,18940786.76429971
