,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado
2010-5,23032677.57216995,1633165.0657521205,11.737794223768022,18950717.80997615
2010-6,23076252.85528522,1631326.1736211367,11.741092344582201,18960648.855652586
2010-7,23119828.138400488,1629487.2814901527,11.74439046539638,18970579.901329026
2010-8,23163403.42151576,1627648.389359169,11.74768858621056,18980510.947005466
2010-9,23206978.70463103,1625809.4972281852,11.750986707024738,18990441.992681902
2010-10,23250553.9877463,1623970.6050972014,11.754284827838916,19000373.038358342
2010-11,23294129.27086157,1622131.7129662177,11.757582948653095,19010304.084034782
2010-12,23337704.553976838,1620292.8208352337,11.760881069467274,19020235.12971122
2011-1,23381279.83709211,1618453.92870425,11.764179190281453,19030166.17538766
2011-2,23418754.995226182,1613613.788668718,11.763637745440295,19036427.11715371
2011-3,23456230.153360255,1608773.648633186,11.763096300599138,19042688.058919765
2011-4,23493705.311494324,1603933.508597654,11.76255485575798,19048949.000685815
2011-5,23531180.469628397,1599093.368562122,11.762013410916822,19055209.94245187
2011-6,23568655.62776247,1594253.2285265902,11.761471966075664,19061470.88421792
2011-7,23606130.78589654,1589413.088491058,11.760930521234506,19067731.82598397
2011-8,23643605.944030613,1584572.948455526,11.760389076393347,19073992.767750025
2011-9,23681081.102164686,1579732.808419994,11.759847631552189,19080253.70951608
2011-10,23718556.26029876,1574892.6683844621,11.759306186711031,19086514.65128213
2011-11,23756031.41843283,1570052.5283489302,11.758764741869873,19092775.593048185
2011-12,23793506.5765669,1565212.3883133982,11.758223297028715,19099036.534814235
2012-1,23830981.734700974,1560372.2482778663,11.757681852187558,19105297.47658029
2012-2,23863626.732873894,1556900.1579077356,11.756351581768994,19109906.347667355
2012-3,23896271.731046814,1553428.0675376046,11.75502131135043,19114515.218754422
2012-4,23928916.729219735,1549955.9771674736,11.753691040931866,19119124.08984149
2012-5,23961561.72739265,1546483.886797343,11.752360770513302,19123732.960928556
2012-6,23994206.72556557,1543011.7964272122,11.751030500094737,19128341.832015622
2012-7,24026851.72373849,1539539.7060570812,11.749700229676174,19132950.703102686
2012-8,24059496.72191141,1536067.6156869503,11.74836995925761,19137559.574189752
2012-9,24092141.720084332,1532595.5253168195,11.747039688839045,19142168.44527682
2012-10,24124786.71825725,1529123.4349466888,11.745709418420482,19146777.316363886
2012-11,24157431.71643017,1525651.3445765579,11.744379148001919,19151386.187450953
2012-12,24190076.71460309,1522179.254206427,11.743048877583353,19155995.05853802
2013-1,24222721.71277601,1518707.1638362962,11.74171860716479,19160603.929625086
2013-2,24253085.674364083,1516731.4849647735,11.743842688344007,19166217.09088863
2013-3,24283449.635952156,1514755.8060932506,11.745966769523225,19171830.252152175
2013-4,24313813.59754023,1512780.1272217277,11.748090850702441,19177443.413415723
2013-5,24344177.559128303,1510804.448350205,11.750214931881658,19183056.574679267
2013-6,24374541.520716377,1508828.7694786824,11.752339013060874,19188669.73594281
2013-7,24404905.482304454,1506853.0906071595,11.75446309424009,19194282.89720636
2013-8,24435269.443892527,1504877.4117356366,11.756587175419309,19199896.058469903
2013-9,24465633.4054806,1502901.732864114,11.758711256598525,19205509.219733447
2013-10,24495997.367068674,1500926.0539925913,11.760835337777742,19211122.38099699
2013-11,24526361.328656748,1498950.3751210684,11.76295941895696,19216735.542260535
2013-12,24556725.29024482,1496974.6962495456,11.765083500136177,19222348.703524083
2014-1,24587089.251832895,1494999.017378023,11.767207581315393,19227961.864787627
2014-2,24610659.057740625,1492608.8222896887,11.768947862344788,19231942.671279427
2014-3,24634228.863648355,1490218.6272013546,11.770688143374183,19235923.477771226
2014-4,24657798.669556085,1487828.4321130204,11.77242842440358,19239904.284263026
2014-5,24681368.475463815,1485438.2370246863,11.774168705432976,19243885.090754826
2014-6,24704938.281371545,1483048.0419363522,11.77590898646237,19247865.897246625
2014-7,24728508.087279275,1480657.846848018,11.777649267491768,19251846.70373842
2014-8,24752077.893187,1478267.6517596839,11.779389548521163,19255827.51023022
2014-9,24775647.69909473,1475877.4566713497,11.781129829550558,19259808.31672202
2014-10,24799217.50500246,1473487.2615830156,11.782870110579953,19263789.12321382
2014-11,24822787.31091019,1471097.0664946814,11.784610391609348,19267769.92970562
2014-12,24846357.11681792,1468706.8714063473,11.786350672638745,19271750.73619742
2015-1,24869926.92272565,1466316.676318013,11.78809095366814,19275731.54268922
2015-2,24887044.704805646,1464959.6979609868,11.790063815934763,19279118.339063976
2015-3,24904162.486885644,1463602.7196039604,11.792036678201386,19282505.135438733
2015-4,24921280.26896564,1462245.741246934,11.794009540468009,19285891.93181349
2015-5,24938398.051045638,1460888.7628899077,11.795982402734632,19289278.728188246
2015-6,24955515.833125632,1459531.7845328813,11.797955265001255,19292665.524563003
2015-7,24972633.61520563,1458174.806175855,11.799928127267878,19296052.32093776
2015-8,24989751.397285625,1456817.8278188289,11.8019009895345,19299439.117312517
2015-9,25006869.17936562,1455460.8494618025,11.803873851801123,19302825.913687274
2015-10,25023986.96144562,1454103.8711047762,11.805846714067746,19306212.71006203
2015-11,25041104.743525613,1452746.8927477498,11.807819576334369,19309599.506436788
2015-12,25058222.52560561,1451389.9143907235,11.809792438600992,19312986.302811544
2016-1,25075340.307685606,1450032.936033697,11.811765300867615,19316373.0991863
2016-2,25083290.62304054,1450417.7939422824,11.813717769347992,19318651.3627398
2016-3,25091240.938395467,1450802.651850868,11.81567023782837,19320929.6262933
2016-4,25099191.2537504,1451187.5097594536,11.817622706308747,19323207.8898468
2016-5,25107141.569105327,1451572.367668039,11.819575174789124,19325486.153400302
2016-6,25115091.88446026,1451957.2255766243,11.821527643269501,19327764.416953802
2016-7,25123042.19981519,1452342.0834852098,11.823480111749879,19330042.680507302
2016-8,25130992.51517012,1452726.9413937954,11.825432580230256,19332320.944060806
2016-9,25138942.83052505,1453111.7993023808,11.827385048710633,19334599.207614306
2016-10,25146893.14587998,1453496.657210966,11.82933751719101,19336877.471167807
2016-11,25154843.461234912,1453881.5151195517,11.831289985671388,19339155.734721307
2016-12,25162793.77658984,1454266.3730281373,11.833242454151765,19341433.998274807
2017-1,25170744.091944773,1454651.2309367226,11.835194922632143,19343712.261828307
2017-2,25164900.56032221,1455420.7427176377,11.834732847649988,19340430.853294764
2017-3,25159057.028699644,1456190.254498553,11.834270772667834,19337149.444761217
2017-4,25153213.49707708,1456959.7662794683,11.83380869768568,19333868.036227673
2017-5,25147369.96545452,1457729.2780603834,11.833346622703525,19330586.62769413
2017-6,25141526.433831956,1458498.7898412985,11.83288454772137,19327305.219160583
2017-7,25135682.902209394,1459268.3016222138,11.832422472739216,19324023.81062704
2017-8,25129839.370586827,1460037.813403129,11.831960397757062,19320742.402093496
2017-9,25123995.838964265,1460807.3251840442,11.831498322774907,19317460.99355995
2017-10,25118152.307341702,1461576.8369649593,11.831036247792753,19314179.585026406
2017-11,25112308.775719136,1462346.3487458746,11.830574172810598,19310898.176492862
2017-12,25106465.244096573,1463115.86052679,11.830112097828444,19307616.767959315
2018-1,25100621.71247401,1463885.372307705,11.82965002284629,19304335.359425772
2018-2,25087720.466826573,1465287.3632831555,11.827905714469154,19300895.74464954
2018-3,25074819.221179135,1466689.3542586057,11.82616140609202,19297456.129873306
2018-4,25061917.975531697,1468091.3452340562,11.824417097714885,19294016.515097074
2018-5,25049016.729884263,1469493.3362095065,11.82267278933775,19290576.900320843
2018-6,25036115.484236825,1470895.327184957,11.820928480960614,19287137.28554461
2018-7,25023214.238589387,1472297.3181604072,11.81918417258348,19283697.67076838
2018-8,25010312.99294195,1473699.3091358577,11.817439864206346,19280258.055992145
2018-9,24997411.74729451,1475101.3001113082,11.81569555582921,19276818.441215914
2018-10,24984510.501647078,1476503.2910867585,11.813951247452074,19273378.826439682
2018-11,24971609.25599964,1477905.282062209,11.81220693907494,19269939.211663447
2018-12,24958708.0103522,1479307.2730376592,11.810462630697806,19266499.596887216
2019-1,24945806.764704764,1480709.2640131097,11.80871832232067,19263059.982110985
2019-2,24922413.049813546,1482179.6873407583,11.806736111087742,19257993.586597305
2019-3,24899019.334922332,1483650.1106684066,11.804753899854814,19252927.19108362
2019-4,24875625.62003112,1485120.5339960551,11.802771688621887,19247860.79556994
2019-5,24852231.9051399,1486590.9573237037,11.800789477388959,19242794.40005626
2019-6,24828838.190248683,1488061.380651352,11.79880726615603,19237728.004542578
2019-7,24805444.47535747,1489531.8039790005,11.796825054923104,19232661.6090289
2019-8,24782050.760466255,1491002.227306649,11.794842843690176,19227595.21351522
2019-9,24758657.045575038,1492472.6506342974,11.792860632457248,19222528.818001535
2019-10,24735263.33068382,1493943.073961946,11.79087842122432,19217462.422487855
2019-11,24711869.615792606,1495413.4972895945,11.788896209991393,19212396.026974175
2019-12,24688475.900901392,1496883.9206172428,11.786913998758465,19207329.63146049
2020-1,24665082.186010174,1498354.3439448914,11.784931787525537,19202263.23594681
2020-2,24621687.891789693,1499748.2539240133,11.781890801987723,19192950.57423323
2020-3,24578293.597569212,1501142.1639031353,11.77884981644991,19183637.912519652
2020-4,24534899.30334873,1502536.0738822573,11.775808830912098,19174325.25080607
2020-5,24491505.00912825,1503929.9838613793,11.772767845374284,19165012.58909249
2020-6,24448110.71490777,1505323.8938405013,11.76972685983647,19155699.92737891
2020-7,24404716.420687288,1506717.8038196233,11.766685874298659,19146387.26566533
2020-8,24361322.126466803,1508111.7137987455,11.763644888760846,19137074.60395175
2020-9,24317927.832246322,1509505.6237778675,11.760603903223032,19127761.94223817
2020-10,24274533.53802584,1510899.5337569895,11.757562917685219,19118449.28052459
2020-11,24231139.24380536,1512293.4437361115,11.754521932147405,19109136.618811008
2020-12,24187744.94958488,1513687.3537152335,11.751480946609593,19099823.95709743
2021-1,24144350.655364398,1515081.2636943555,11.74843996107178,19090511.29538385
2021-2,24091929.857862473,1516715.1269874782,11.744633898662698,19078944.450370245
2021-3,24039509.060360547,1518348.9902806012,11.740827836253619,19067377.60535664
2021-4,23987088.26285862,1519982.8535737242,11.737021773844537,19055810.760343038
2021-5,23934667.465356696,1521616.716866847,11.733215711435458,19044243.915329434
2021-6,23882246.66785477,1523250.5801599696,11.729409649026376,19032677.07031583
2021-7,23829825.87035285,1524884.4434530926,11.725603586617297,19021110.225302227
2021-8,23777405.072850924,1526518.3067462156,11.721797524208215,19009543.380288623
2021-9,23724984.275349,1528152.1700393383,11.717991461799134,18997976.53527502
2021-10,23672563.477847073,1529786.033332461,11.714185399390054,18986409.690261416
2021-11,23620142.680345148,1531419.896625584,11.710379336980973,18974842.845247813
2021-12,23567721.882843222,1533053.759918707,11.706573274571893,18963276.00023421
2022-1,23515301.085341297,1534687.6232118297,11.702767212162811,18951709.155220605
