,Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado
2003-1,31648470.166930143,1998663.7707266675,9.097985179883041,28795317.33183407
2003-2,31688968.51760768,2001107.0293672164,9.101270994885198,28810332.85185943
2003-3,31729466.86828522,2003550.288007765,9.104556809887352,28825348.371884793
2003-4,31769965.21896276,2005993.546648314,9.107842624889509,28840363.891910154
2003-5,31810463.569640297,2008436.805288863,9.111128439891663,28855379.411935516
2003-6,31850961.920317836,2010880.0639294116,9.11441425489382,28870394.931960877
2003-7,31891460.270995375,2013323.3225699605,9.117700069895974,28885410.45198624
2003-8,31931958.621672913,2015766.5812105094,9.120985884898131,28900425.972011603
2003-9,31972456.972350452,2018209.839851058,9.124271699900287,28915441.492036965
2003-10,32012955.32302799,2020653.098491607,9.127557514902442,28930457.012062326
2003-11,32053453.67370553,2023096.357132156,9.130843329904598,28945472.532087687
2003-12,32093952.024383068,2025539.6157727046,9.134129144906753,28960488.05211305
2004-1,32134450.375060607,2027982.8744132535,9.13741495990891,28975503.57213841
2004-2,32171376.498155624,2029125.9486900764,9.139953287500157,28987209.876112055
2004-3,32208302.62125064,2030269.0229668994,9.142491615091405,28998916.180085696
2004-4,32245228.744345658,2031412.0972437223,9.145029942682653,29010622.48405934
2004-5,32282154.86744067,2032555.1715205454,9.1475682702739,29022328.788032982
2004-6,32319080.990535688,2033698.2457973682,9.150106597865149,29034035.092006627
2004-7,32356007.113630705,2034841.3200741913,9.152644925456396,29045741.39598027
2004-8,32392933.23672572,2035984.3943510142,9.155183253047642,29057447.699953914
2004-9,32429859.35982074,2037127.468627837,9.15772158063889,29069154.00392756
2004-10,32466785.48291575,2038270.54290466,9.160259908230138,29080860.3079012
2004-11,32503711.60601077,2039413.617181483,9.162798235821386,29092566.611874845
2004-12,32540637.729105785,2040556.691458306,9.165336563412634,29104272.915848486
2005-1,32577563.852200802,2041699.765735129,9.167874891003882,29115979.21982213
2005-2,32610072.318462636,2043184.7615214796,9.16933137102604,29123826.95717654
2005-3,32642580.784724474,2044669.7573078305,9.170787851048196,29131674.69453095
2005-4,32675089.250986308,2046154.7530941812,9.172244331070354,29139522.431885358
2005-5,32707597.717248145,2047639.748880532,9.173700811092512,29147370.169239767
2005-6,32740106.18350998,2049124.7446668828,9.175157291114669,29155217.906594176
2005-7,32772614.649771817,2050609.7404532335,9.176613771136827,29163065.643948585
2005-8,32805123.11603365,2052094.7362395844,9.178070251158985,29170913.38130299
2005-9,32837631.582295485,2053579.732025935,9.179526731181141,29178761.1186574
2005-10,32870140.048557322,2055064.727812286,9.1809832112033,29186608.856011808
2005-11,32902648.514819156,2056549.7235986367,9.182439691225458,29194456.593366217
2005-12,32935156.981080994,2058034.7193849876,9.183896171247614,29202304.330720626
2006-1,32967665.447342828,2059519.7151713383,9.185352651269772,29210152.068075035
2006-2,32995550.316533457,2061203.866445884,9.18583895692475,29214378.193587244
2006-3,33023435.18572409,2062888.0177204302,9.186325262579727,29218604.319099452
2006-4,33051320.05491472,2064572.168994976,9.186811568234706,29222830.44461166
2006-5,33079204.92410535,2066256.3202695218,9.187297873889683,29227056.57012387
2006-6,33107089.793295983,2067940.4715440678,9.18778417954466,29231282.69563608
2006-7,33134974.662486613,2069624.6228186137,9.188270485199638,29235508.821148288
2006-8,33162859.531677242,2071308.7740931595,9.188756790854615,29239734.946660496
2006-9,33190744.400867876,2072992.9253677055,9.189243096509593,29243961.072172705
2006-10,33218629.270058505,2074677.0766422513,9.18972940216457,29248187.197684914
2006-11,33246514.139249135,2076361.2279167972,9.190215707819549,29252413.323197123
2006-12,33274399.008439768,2078045.3791913432,9.190702013474526,29256639.44870933
2007-1,33302283.877630398,2079729.530465889,9.191188319129504,29260865.57422154
2007-2,33323749.710401345,2079678.1287632186,9.190602702580007,29259769.26524577
2007-3,33345215.543172292,2079626.7270605483,9.19001708603051,29258672.956269998
2007-4,33366681.375943244,2079575.3253578779,9.189431469481013,29257576.647294227
2007-5,33388147.20871419,2079523.9236552075,9.188845852931516,29256480.338318456
2007-6,33409613.04148514,2079472.5219525371,9.18826023638202,29255384.029342685
2007-7,33431078.874256086,2079421.1202498667,9.187674619832524,29254287.720366914
2007-8,33452544.707027033,2079369.7185471964,9.187089003283027,29253191.411391143
2007-9,33474010.53979798,2079318.316844526,9.18650338673353,29252095.10241537
2007-10,33495476.372568928,2079266.9151418556,9.185917770184034,29250998.7934396
2007-11,33516942.20533988,2079215.5134391852,9.185332153634537,29249902.48446383
2007-12,33538408.038110826,2079164.1117365148,9.18474653708504,29248806.17548806
2008-1,33559873.87088177,2079112.7100338445,9.184160920535543,29247709.866512287
