,Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado
2008-2,33577158.63269506,2080113.6345220832,9.183209933983209,29246329.59500401
2008-3,33594443.39450834,2081114.5590103217,9.182258947430874,29244949.323495734
2008-4,33611728.15632162,2082115.4834985603,9.18130796087854,29243569.051987458
2008-5,33629012.918134905,2083116.407986799,9.180356974326205,29242188.78047918
2008-6,33646297.67994819,2084117.3324750378,9.17940598777387,29240808.508970905
2008-7,33663582.441761464,2085118.2569632763,9.178455001221536,29239428.237462632
2008-8,33680867.20357475,2086119.1814515148,9.177504014669204,29238047.965954356
2008-9,33698151.96538803,2087120.1059397536,9.176553028116869,29236667.69444608
2008-10,33715436.72720131,2088121.0304279923,9.175602041564535,29235287.422937803
2008-11,33732721.489014596,2089121.9549162309,9.1746510550122,29233907.151429527
2008-12,33750006.25082788,2090122.8794044694,9.173700068459866,29232526.87992125
2009-1,33767291.01264116,2091123.8038927082,9.172749081907531,29231146.608412974
2009-2,33838371.139963634,2091396.3746414739,9.176418935517232,29251170.90137011
2009-3,33909451.26728611,2091668.9453902398,9.180088789126932,29271195.19432725
2009-4,33980531.39460858,2091941.5161390055,9.183758642736633,29291219.48728439
2009-5,34051611.52193105,2092214.0868877713,9.187428496346334,29311243.780241527
2009-6,34122691.649253525,2092486.657636537,9.191098349956034,29331268.073198665
2009-7,34193771.776576,2092759.2283853027,9.194768203565733,29351292.366155803
2009-8,34264851.90389848,2093031.7991340687,9.198438057175434,29371316.659112945
2009-9,34335932.03122095,2093304.3698828344,9.202107910785134,29391340.952070083
2009-10,34407012.15854342,2093576.9406316,9.205777764394835,29411365.24502722
2009-11,34478092.285865895,2093849.511380366,9.209447618004535,29431389.53798436
2009-12,34549172.41318837,2094122.0821291318,9.213117471614236,29451413.8309415
2010-1,34620252.54051084,2094394.6528778975,9.216787325223937,29471438.123898637
2010-2,34683690.814389765,2094434.736908682,9.21950004529439,29485766.934242673
2010-3,34747129.08826868,2094474.8209394664,9.222212765364844,29500095.744586706
2010-4,34810567.36214761,2094514.9049702508,9.224925485435298,29514424.554930743
2010-5,34874005.63602653,2094554.9890010352,9.227638205505752,29528753.36527478
2010-6,34937443.909905456,2094595.0730318197,9.230350925576206,29543082.175618816
2010-7,35000882.18378438,2094635.157062604,9.23306364564666,29557410.985962853
2010-8,35064320.4576633,2094675.2410933888,9.235776365717115,29571739.796306886
2010-9,35127758.73154222,2094715.3251241732,9.238489085787569,29586068.606650922
2010-10,35191197.00542115,2094755.4091549576,9.241201805858022,29600397.41699496
2010-11,35254635.279300064,2094795.493185742,9.243914525928476,29614726.227338992
2010-12,35318073.55317899,2094835.5772165265,9.24662724599893,29629055.03768303
2011-1,35381511.82705791,2094875.661247311,9.249339966069384,29643383.848027065
2011-2,35437049.3484503,2093903.8119794878,9.250208255585523,29653418.724198796
2011-3,35492586.86984269,2092931.9627116644,9.251076545101663,29663453.600370526
2011-4,35548124.39123508,2091960.1134438412,9.251944834617802,29673488.476542253
2011-5,35603661.91262747,2090988.2641760178,9.252813124133944,29683523.352713984
2011-6,35659199.43401986,2090016.4149081947,9.253681413650083,29693558.228885714
2011-7,35714736.955412254,2089044.5656403713,9.254549703166223,29703593.10505744
2011-8,35770274.47680465,2088072.7163725481,9.255417992682363,29713627.98122917
2011-9,35825811.99819704,2087100.867104725,9.256286282198502,29723662.8574009
2011-10,35881349.51958943,2086129.0178369016,9.257154571714644,29733697.733572632
2011-11,35936887.04098182,2085157.1685690784,9.258022861230783,29743732.609744363
2011-12,35992424.56237421,2084185.319301255,9.258891150746923,29753767.48591609
2012-1,36047962.0837666,2083213.470033432,9.259759440263062,29763802.36208782
2012-2,36092891.463986464,2081417.4319568381,9.259211802377843,29768641.06275722
2012-3,36137820.84420633,2079621.3938802443,9.258664164492624,29773479.763426624
2012-4,36182750.224426195,2077825.3558036506,9.258116526607404,29778318.464096025
2012-5,36227679.604646064,2076029.3177270568,9.257568888722185,29783157.164765425
2012-6,36272608.984865926,2074233.279650463,9.257021250836965,29787995.86543483
2012-7,36317538.365085796,2072437.2415738693,9.256473612951744,29792834.56610423
2012-8,36362467.74530566,2070641.2034972757,9.255925975066525,29797673.26677363
2012-9,36407397.12552552,2068845.165420682,9.255378337181305,29802511.967443034
2012-10,36452326.50574539,2067049.1273440882,9.254830699296086,29807350.668112434
2012-11,36497255.88596525,2065253.0892674944,9.254283061410867,29812189.368781835
2012-12,36542185.26618512,2063457.0511909006,9.253735423525647,29817028.06945124
2013-1,36587114.64640498,2061661.0131143068,9.253187785640428,29821866.77012064
2013-2,36620397.05372032,2058587.387279576,9.252347292174978,29821829.156488426
2013-3,36653679.461035654,2055513.761444845,9.251506798709528,29821791.542856213
2013-4,36686961.86835099,2052440.135610114,9.250666305244078,29821753.929224
2013-5,36720244.27566633,2049366.5097753832,9.249825811778626,29821716.315591786
2013-6,36753526.68298166,2046292.8839406522,9.248985318313176,29821678.701959573
2013-7,36786809.090297,2043219.2581059213,9.248144824847726,29821641.08832736
2013-8,36820091.49761234,2040145.6322711904,9.247304331382276,29821603.474695146
2013-9,36853373.90492768,2037072.0064364595,9.246463837916826,29821565.861062933
2013-10,36886656.312243015,2033998.3806017286,9.245623344451374,29821528.24743072
2013-11,36919938.71955835,2030924.7547669976,9.244782850985924,29821490.633798506
2013-12,36953221.12687369,2027851.1289322667,9.243942357520474,29821453.020166293
2014-1,36986503.53418902,2024777.5030975358,9.243101864055024,29821415.40653408
2014-2,37012648.2460222,2022348.3297144407,9.242725033568307,29821792.327419806
2014-3,37038792.95785537,2019919.1563313454,9.24234820308159,29822169.248305533
2014-4,37064937.66968855,2017489.9829482501,9.241971372594875,29822546.169191256
2014-5,37091082.38152173,2015060.809565155,9.241594542108158,29822923.090076983
2014-6,37117227.0933549,2012631.63618206,9.241217711621442,29823300.01096271
2014-7,37143371.80518808,2010202.4627989647,9.240840881134726,29823676.931848437
2014-8,37169516.51702126,2007773.2894158694,9.24046405064801,29824053.852734163
2014-9,37195661.22885443,2005344.1160327743,9.240087220161293,29824430.77361989
2014-10,37221805.94068761,2002914.9426496793,9.239710389674576,29824807.694505617
2014-11,37247950.65252079,2000485.769266584,9.239333559187859,29825184.61539134
2014-12,37274095.36435396,1998056.5958834887,9.238956728701144,29825561.536277067
2015-1,37300240.07618714,1995627.4225003936,9.238579898214427,29825938.457162794
2015-2,37316549.41110856,1993225.8212080332,9.238310878623402,29825520.256116696
2015-3,37332858.74602998,1990824.219915673,9.238041859032379,29825102.055070598
2015-4,37349168.0809514,1988422.6186233126,9.237772839441355,29824683.8540245
2015-5,37365477.41587282,1986021.0173309525,9.23750381985033,29824265.6529784
2015-6,37381786.75079424,1983619.416038592,9.237234800259305,29823847.451932304
2015-7,37398096.08571566,1981217.8147462318,9.236965780668282,29823429.25088621
2015-8,37414405.42063708,1978816.2134538714,9.236696761077258,29823011.04984011
2015-9,37430714.7555585,1976414.612161511,9.236427741486233,29822592.848794013
2015-10,37447024.09047992,1974013.010869151,9.236158721895208,29822174.647747915
2015-11,37463333.42540134,1971611.4095767906,9.235889702304185,29821756.446701817
2015-12,37479642.76032276,1969209.8082844303,9.235620682713162,29821338.24565572
2016-1,37495952.09524418,1966808.20699207,9.235351663122136,29820920.04460962
2016-2,37503865.88491031,1965865.7652240298,9.236043720776646,29822515.196474545
2016-3,37511779.67457644,1964923.3234559898,9.236735778431154,29824110.34833947
2016-4,37519693.46424257,1963980.8816879496,9.237427836085663,29825705.50020439
2016-5,37527607.2539087,1963038.4399199095,9.238119893740173,29827300.652069315
2016-6,37535521.04357483,1962095.9981518693,9.238811951394682,29828895.80393424
2016-7,37543434.83324096,1961153.556383829,9.239504009049192,29830490.955799162
2016-8,37551348.622907095,1960211.1146157891,9.2401960667037,29832086.107664082
2016-9,37559262.412573226,1959268.672847749,9.240888124358209,29833681.259529006
2016-10,37567176.20223936,1958326.2310797088,9.241580182012719,29835276.41139393
2016-11,37575089.99190549,1957383.7893116688,9.242272239667226,29836871.563258853
2016-12,37583003.78157162,1956441.3475436287,9.242964297321736,29838466.715123776
2017-1,37590917.57123775,1955498.9057755885,9.243656354976245,29840061.8669887
2017-2,37582421.0319638,1955496.4734100553,9.243169845218944,29836042.651791934
2017-3,37573924.49268985,1955494.041044522,9.24268333546164,29832023.436595168
2017-4,37565427.9534159,1955491.608678989,9.242196825704337,29828004.221398402
2017-5,37556931.41414195,1955489.176313456,9.241710315947035,29823985.006201636
2017-6,37548434.874868006,1955486.7439479227,9.241223806189733,29819965.79100487
2017-7,37539938.33559406,1955484.3115823895,9.24073729643243,29815946.575808108
2017-8,37531441.7963201,1955481.8792168563,9.240250786675126,29811927.360611342
2017-9,37522945.257046156,1955479.4468513231,9.239764276917825,29807908.145414576
2017-10,37514448.71777221,1955477.01448579,9.239277767160523,29803888.93021781
2017-11,37505952.17849825,1955474.582120257,9.23879125740322,29799869.715021044
2017-12,37497455.639224306,1955472.1497547238,9.238304747645916,29795850.499824278
2018-1,37488959.09995036,1955469.7173891906,9.237818237888614,29791831.284627512
2018-2,37467841.0742529,1956032.1804936056,9.236597487636796,29786529.816153068
2018-3,37446723.048555456,1956594.6435980205,9.235376737384978,29781228.347678624
2018-4,37425605.022858,1957157.1067024355,9.234155987133162,29775926.87920418
2018-5,37404486.99716055,1957719.5698068505,9.232935236881344,29770625.410729736
2018-6,37383368.9714631,1958282.0329112655,9.231714486629526,29765323.942255292
2018-7,37362250.945765644,1958844.4960156805,9.23049373637771,29760022.473780848
2018-8,37341132.92006819,1959406.9591200957,9.229272986125892,29754721.0053064
2018-9,37320014.89437074,1959969.4222245107,9.228052235874074,29749419.536831956
2018-10,37298896.86867329,1960531.8853289257,9.226831485622256,29744118.068357512
2018-11,37277778.84297583,1961094.3484333407,9.225610735370438,29738816.59988307
2018-12,37256660.817278385,1961656.8115377557,9.224389985118622,29733515.131408624
2019-1,37235542.79158093,1962219.2746421706,9.223169234866804,29728213.66293418
2019-2,37193432.15828949,1963072.5541371184,9.2208741604437,29717716.57877524
2019-3,37151321.52499805,1963925.833632066,9.218579086020595,29707219.494616292
2019-4,37109210.8917066,1964779.1131270137,9.216284011597491,29696722.41045735
2019-5,37067100.25841516,1965632.3926219614,9.213988937174388,29686225.32629841
2019-6,37024989.625123724,1966485.6721169092,9.211693862751284,29675728.242139466
2019-7,36982878.99183228,1967338.951611857,9.20939878832818,29665231.157980524
2019-8,36940768.35854083,1968192.2311068045,9.207103713905076,29654734.07382158
2019-9,36898657.725249395,1969045.5106017522,9.204808639481971,29644236.989662636
2019-10,36856547.09195796,1969898.7900967,9.202513565058869,29633739.905503694
2019-11,36814436.45866651,1970752.0695916475,9.200218490635764,29623242.82134475
2019-12,36772325.825375065,1971605.3490865952,9.19792341621266,29612745.737185806
2020-1,36730215.19208363,1972458.628581543,9.195628341789556,29602248.653026864
2020-2,36678166.65779232,1973671.8911296818,9.195340148577452,29596385.926988304
2020-3,36626118.12350102,1974885.1536778207,9.195051955365349,29590523.200949743
2020-4,36574069.58920971,1976098.4162259595,9.194763762153245,29584660.474911183
2020-5,36522021.05491841,1977311.6787740984,9.194475568941142,29578797.748872627
2020-6,36469972.520627104,1978524.9413222373,9.194187375729038,29572935.022834066
2020-7,36417923.9863358,1979738.203870376,9.193899182516933,29567072.296795506
2020-8,36365875.4520445,1980951.4664185147,9.19361098930483,29561209.570756946
2020-9,36313826.9177532,1982164.7289666536,9.193322796092726,29555346.844718385
2020-10,36261778.38346189,1983377.9915147924,9.193034602880623,29549484.11867983
2020-11,36209729.84917059,1984591.2540629313,9.19274640966852,29543621.39264127
2020-12,36157681.31487928,1985804.5166110701,9.192458216456416,29537758.66660271
2021-1,36105632.78058798,1987017.779159209,9.192170023244312,29531895.940564148
2021-2,36042154.93476726,1988441.6175940917,9.191677589374846,29524131.577755406
2021-3,35978677.08894655,1989865.4560289744,9.19118515550538,29516367.21494667
2021-4,35915199.24312583,1991289.294463857,9.190692721635914,29508602.852137927
2021-5,35851721.39730512,1992713.1328987398,9.190200287766448,29500838.489329185
2021-6,35788243.551484406,1994136.9713336225,9.189707853896982,29493074.126520447
2021-7,35724765.705663696,1995560.8097685052,9.189215420027516,29485309.763711706
2021-8,35661287.85984298,1996984.6482033879,9.188722986158051,29477545.400902964
2021-9,35597810.01402226,1998408.4866382706,9.188230552288585,29469781.038094226
2021-10,35534332.16820155,1999832.3250731532,9.18773811841912,29462016.675285485
2021-11,35470854.32238083,2001256.163508036,9.187245684549653,29454252.312476743
2021-12,35407376.47656012,2002680.0019429186,9.186753250680187,29446487.949668005
2022-1,35343898.630739406,2004103.8403778013,9.186260816810721,29438723.586859263
