Ano,Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado
1985,0.003711496,1185670.82411795,4.3911839405,9367111.10803567
1986,0.009329405,1661200.27787227,4.7481740416,10357249.0149917
1987,0.029056743,1922552.71235358,5.745640968,12805735.2027942
1988,0.200112699,1366121.9648124,4.9413653048,11242856.2338233
1989,3.208654314,1520566.97269977,5.1462863802,12276306.624979
1990,82.94909177,1407467.810774,4.3688482384,10615672.105077
1991,473.2399021,1659634.93096818,5.1552589613,12750125.6551387
1992,4599.257024,1792664.34405948,6.1254297193,15313745.8102232
1993,109454.5822,1841923.43443227,6.836633882,17336124.2624076
1994,2613305.378,2312014.90000128,7.2127596161,18545072.4612942
1995,4943648.552,2182208.00627527,7.612000659,19838327.6093852
1996,6279544.042,2174284.96150398,7.7156713745,20377643.6283578
1997,7101548.363,2884211.98972282,7.9619670396,21304941.9213836
1998,7320394.214,2857735.25513553,7.930359166,21508204.656577
1999,8117166.748,2497769.66997322,7.9954244184,22070705.486732
2000,9119808.497,2638328.89728239,8.247387067,23093896.1535391
2001,10343403.58,2396290.3491408,8.2880788267,23539171.5895671
2002,12082743.8496226,1916358.56798925,8.0462249239,22954141.7234014
2003,13181222.2579723,884537.830636395,7.5996535389,21948240.200269
2004,15296138.2437334,1506741.00418197,7.9799375783,23637428.9601571
2005,17753703.2368037,1364541.68715918,8.5037200009,25537410.9862118
2006,20252165.0964155,1291546.73397841,8.9635972726,27283038.8345077
2007,23513864.134078,2103168.70688358,9.4582294657,29760782.4671732
2008,25678022.4840251,1622691.14339704,9.6178107884,29877113.6742861
2009,27525532.507572,2174631.61184555,9.5119398406,29844101.2394654
2010,32149190.4537919,2244167.02849308,9.8476713588,32149190.4537919
2011,36403024.2024745,2634571.26183284,10.5067109687,33607364.5869906
2012,41257031.1729936,2900912.30803799,10.930494433,35285800.267525
2013,45903800.4667358,3276311.0986799,10.8239041131,36519408.6976884
2014,48235008.6795408,2873106.18673367,10.4391703005,35582016.3608443
2015,51183888.0302208,2732651.2735509,10.1974784213,35101505.2849223
2016,53133028.0417386,2106918.58410999,9.6997893335,33706748.534321
2017,57389774.2442836,1747243.78884904,10.0169208934,35117849.3880815
2018,59575710.7348179,1565481.9768914,10.1486977064,34887769.8714441
2019,63866962.1898245,1514298.04817008,10.3628297257,35884873.598507
2020,63816254.3424437,1452958.33276776,9.5988693127,33676660.6939867
2021,,,,
2022,,,,
