,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2003-1,82373814.66627769,5574893.494196955,8.646979080769697,75710612.08201192
2003-2,82481024.06328838,5580364.1272626445,8.650960178969191,75754366.57653728
2003-3,82588233.46029906,5585834.760328334,8.654941277168687,75798121.07106265
2003-4,82695442.85730974,5591305.393394023,8.658922375368181,75841875.56558801
2003-5,82802652.25432043,5596776.026459713,8.662903473567676,75885630.06011339
2003-6,82909861.65133111,5602246.659525402,8.666884571767172,75929384.55463874
2003-7,83017071.04834181,5607717.292591091,8.670865669966666,75973139.04916412
2003-8,83124280.4453525,5613187.92565678,8.67484676816616,76016893.54368947
2003-9,83231489.84236318,5618658.558722469,8.678827866365657,76060648.03821483
2003-10,83338699.23937386,5624129.191788158,8.682808964565151,76104402.5327402
2003-11,83445908.63638455,5629599.824853848,8.686790062764645,76148157.02726556
2003-12,83553118.03339523,5635070.457919537,8.690771160964141,76191911.52179094
2004-1,83660327.43040591,5640541.090985226,8.694752259163636,76235666.0163163
2004-2,83758660.90259953,5641290.705690751,8.698015056735924,76271293.06441978
2004-3,83856994.37479314,5642040.320396274,8.701277854308213,76306920.11252326
2004-4,83955327.84698676,5642789.935101799,8.704540651880501,76342547.16062674
2004-5,84053661.31918037,5643539.549807323,8.70780344945279,76378174.20873022
2004-6,84151994.79137398,5644289.164512848,8.711066247025078,76413801.2568337
2004-7,84250328.2635676,5645038.779218372,8.714329044597367,76449428.30493718
2004-8,84348661.73576121,5645788.393923895,8.717591842169655,76485055.35304068
2004-9,84446995.20795482,5646538.00862942,8.720854639741944,76520682.40114416
2004-10,84545328.68014844,5647287.623334944,8.724117437314233,76556309.44924764
2004-11,84643662.15234205,5648037.238040468,8.727380234886521,76591936.49735112
2004-12,84741995.62453566,5648786.852745992,8.73064303245881,76627563.5454546
2005-1,84840329.09672928,5649536.467451517,8.733905830031098,76663190.59355809
2005-2,84932374.52046514,5651837.880043846,8.736987096237964,76696088.05553958
2005-3,85024419.944201,5654139.292636176,8.74006836244483,76728985.51752108
2005-4,85116465.36793686,5656440.705228506,8.743149628651697,76761882.97950259
2005-5,85208510.79167272,5658742.117820835,8.746230894858565,76794780.44148408
2005-6,85300556.21540858,5661043.530413164,8.749312161065431,76827677.90346557
2005-7,85392601.63914445,5663344.943005494,8.752393427272297,76860575.36544707
2005-8,85484647.0628803,5665646.355597824,8.755474693479163,76893472.82742858
2005-9,85576692.48661616,5667947.768190153,8.75855595968603,76926370.28941007
2005-10,85668737.91035202,5670249.180782482,8.761637225892898,76959267.75139156
2005-11,85760783.33408788,5672550.593374812,8.764718492099764,76992165.21337306
2005-12,85852828.75782375,5674852.005967142,8.76779975830663,77025062.67535457
2006-1,85944874.1815596,5677153.418559471,8.770881024513496,77057960.13733606
2006-2,86029783.92795727,5681365.017240031,8.773706266889622,77087426.43941455
2006-3,86114693.67435493,5685576.61592059,8.776531509265748,77116892.74149305
2006-4,86199603.42075258,5689788.21460115,8.779356751641874,77146359.04357153
2006-5,86284513.16715024,5693999.813281709,8.782181994018,77175825.34565003
2006-6,86369422.9135479,5698211.411962269,8.785007236394126,77205291.64772852
2006-7,86454332.65994558,5702423.010642828,8.787832478770252,77234757.94980702
2006-8,86539242.40634324,5706634.609323388,8.79065772114638,77264224.2518855
2006-9,86624152.1527409,5710846.2080039475,8.793482963522505,77293690.55396399
2006-10,86709061.89913855,5715057.806684507,8.796308205898631,77323156.85604249
2006-11,86793971.64553621,5719269.405365067,8.799133448274757,77352623.15812097
2006-12,86878881.39193387,5723481.004045626,8.801958690650883,77382089.46019948
2007-1,86963791.13833153,5727692.602726186,8.804783933027009,77411555.76227796
2007-2,87038189.63105471,5731137.798551922,8.807254633300534,77434105.92334953
2007-3,87112588.1237779,5734582.994377658,8.809725333574058,77456656.08442111
2007-4,87186986.61650106,5738028.190203393,8.81219603384758,77479206.24549268
2007-5,87261385.10922424,5741473.386029129,8.814666734121106,77501756.40656427
2007-6,87335783.60194743,5744918.581854865,8.817137434394631,77524306.56763583
2007-7,87410182.09467061,5748363.7776806,8.819608134668155,77546856.7287074
2007-8,87484580.58739379,5751808.973506336,8.822078834941678,77569406.88977899
2007-9,87558979.08011697,5755254.169332072,8.824549535215203,77591957.05085056
2007-10,87633377.57284015,5758699.365157808,8.827020235488728,77614507.21192214
