,Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2007-11,87707776.06556332,5762144.560983544,8.829490935762252,77637057.37299371
2007-12,87782174.5582865,5765589.756809279,8.831961636035775,77659607.53406529
2008-1,87856573.05100968,5769034.952635015,8.8344323363093,77682157.69513686
2008-2,87918705.02903864,5772461.152930769,8.83641670535296,77700630.99777599
2008-3,87980837.00706758,5775887.353226524,8.838401074396621,77719104.30041513
2008-4,88042968.98509653,5779313.553522278,8.840385443440283,77737577.60305426
2008-5,88105100.96312547,5782739.753818031,8.842369812483943,77756050.90569338
2008-6,88167232.94115442,5786165.954113785,8.844354181527603,77774524.20833251
2008-7,88229364.91918337,5789592.154409539,8.846338550571264,77792997.51097164
2008-8,88291496.89721231,5793018.354705294,8.848322919614926,77811470.81361078
2008-9,88353628.87524126,5796444.555001047,8.850307288658586,77829944.1162499
2008-10,88415760.8532702,5799870.755296801,8.852291657702246,77848417.41888903
2008-11,88477892.83129916,5803296.955592556,8.854276026745907,77866890.72152817
2008-12,88540024.8093281,5806723.15588831,8.856260395789569,77885364.0241673
2009-1,88602156.78735705,5810149.3561840635,8.858244764833229,77903837.32680643
2009-2,88799082.14854422,5811509.348397555,8.862548564115379,77958944.35652313
2009-3,88996007.50973141,5812869.340611047,8.866852363397529,78014051.38623981
2009-4,89192932.87091859,5814229.332824538,8.871156162679679,78069158.4159565
2009-5,89389858.23210578,5815589.32503803,8.875459961961827,78124265.4456732
2009-6,89586783.59329295,5816949.317251522,8.879763761243977,78179372.4753899
2009-7,89783708.95448014,5818309.309465013,8.884067560526127,78234479.50510658
2009-8,89980634.31566732,5819669.301678505,8.888371359808277,78289586.53482327
2009-9,90177559.67685449,5821029.293891997,8.892675159090427,78344693.56453997
2009-10,90374485.03804168,5822389.286105488,8.896978958372575,78399800.59425667
2009-11,90571410.39922886,5823749.27831898,8.901282757654725,78454907.62397335
2009-12,90768335.76041605,5825109.270532472,8.905586556936875,78510014.65369004
2010-1,90965261.12160322,5826469.262745963,8.909890356219025,78565121.68340674
2010-2,91136344.85347115,5823655.261696033,8.91220831632596,78599147.60291243
2010-3,91307428.58533907,5820841.260646103,8.914526276432895,78633173.52241811
2010-4,91478512.317207,5818027.259596173,8.91684423653983,78667199.4419238
2010-5,91649596.04907492,5815213.258546243,8.919162196646765,78701225.36142948
2010-6,91820679.78094284,5812399.257496313,8.9214801567537,78735251.28093517
2010-7,91991763.51281077,5809585.256446383,8.923798116860635,78769277.20044085
2010-8,92162847.2446787,5806771.255396453,8.92611607696757,78803303.11994654
2010-9,92333930.97654663,5803957.2543465225,8.928434037074506,78837329.03945222
2010-10,92505014.70841455,5801143.253296593,8.93075199718144,78871354.95895791
2010-11,92676098.44028248,5798329.252246663,8.933069957288376,78905380.8784636
2010-12,92847182.1721504,5795515.251196733,8.93538791739531,78939406.79796928
2011-1,93018265.90401833,5792701.2501468025,8.937705877502246,78973432.71747497
2011-2,93170299.11493336,5786447.711723693,8.938668753052033,78998064.0625149
2011-3,93322332.3258484,5780194.173300582,8.939631628601822,79022695.40755484
2011-4,93474365.53676343,5773940.634877472,8.940594504151608,79047326.75259477
2011-5,93626398.74767846,5767687.096454362,8.941557379701395,79071958.0976347
2011-6,93778431.9585935,5761433.558031252,8.942520255251184,79096589.44267464
2011-7,93930465.16950853,5755180.019608142,8.94348313080097,79121220.78771457
2011-8,94082498.38042356,5748926.481185032,8.944446006350757,79145852.13275452
2011-9,94234531.5913386,5742672.942761921,8.945408881900546,79170483.47779445
2011-10,94386564.80225363,5736419.4043388115,8.946371757450333,79195114.82283439
2011-11,94538598.01316866,5730165.865915702,8.94733463300012,79219746.16787432
2011-12,94690631.2240837,5723912.327492591,8.948297508549908,79244377.51291426
2012-1,94842664.43499874,5717658.789069481,8.949260384099695,79269008.85795419
2012-2,94961930.7136052,5709253.206436577,8.948425990677983,79276089.99158697
2012-3,95081196.99221165,5700847.623803672,8.94759159725627,79283171.12521973
2012-4,95200463.27081811,5692442.041170768,8.946757203834558,79290252.25885251
2012-5,95319729.54942457,5684036.458537864,8.945922810412844,79297333.39248528
2012-6,95438995.82803103,5675630.87590496,8.945088416991132,79304414.52611805
2012-7,95558262.1066375,5667225.293272056,8.94425402356942,79311495.65975082
2012-8,95677528.38524395,5658819.710639151,8.943419630147707,79318576.7933836
2012-9,95796794.66385041,5650414.128006247,8.942585236725995,79325657.92701638
2012-10,95916060.94245687,5642008.545373342,8.94175084330428,79332739.06064914
2012-11,96035327.22106333,5633602.962740438,8.940916449882568,79339820.19428192
2012-12,96154593.49966979,5625197.380107533,8.940082056460856,79346901.32791469
2013-1,96273859.77827625,5616791.797474629,8.939247663039144,79353982.46154746
2013-2,96362410.7373593,5606925.210745795,8.937912592529415,79349107.64030808
2013-3,96450961.69644234,5597058.624016959,8.936577522019688,79344232.8190687
2013-4,96539512.65552539,5587192.037288125,8.935242451509959,79339357.99782932
2013-5,96628063.61460844,5577325.45055929,8.933907381000232,79334483.17658994
2013-6,96716614.57369147,5567458.863830455,8.932572310490503,79329608.35535055
2013-7,96805165.53277452,5557592.27710162,8.931237239980774,79324733.53411117
2013-8,96893716.49185757,5547725.690372786,8.929902169471047,79319858.7128718
2013-9,96982267.45094061,5537859.10364395,8.928567098961318,79314983.89163242
2013-10,97070818.41002366,5527992.5169151155,8.927232028451591,79310109.07039304
2013-11,97159369.36910671,5518125.930186281,8.925896957941863,79305234.24915366
2013-12,97247920.32818975,5508259.3434574455,8.924561887432136,79300359.42791428
2014-1,97336471.2872728,5498392.756728611,8.923226816922407,79295484.6066749
2014-2,97389394.24720944,5491182.523865528,8.920985101526966,79279819.32105012
2014-3,97442317.2071461,5483972.291002446,8.918743386131526,79264154.03542534
2014-4,97495240.16708274,5476762.058139363,8.916501670736086,79248488.74980056
2014-5,97548163.12701939,5469551.825276282,8.914259955340645,79232823.46417579
2014-6,97601086.08695604,5462341.592413199,8.912018239945205,79217158.17855102
2014-7,97654009.04689269,5455131.359550117,8.909776524549766,79201492.89292625
2014-8,97706932.00682934,5447921.126687034,8.907534809154326,79185827.60730146
2014-9,97759854.96676598,5440710.8938239515,8.905293093758885,79170162.32167669
2014-10,97812777.92670263,5433500.66096087,8.903051378363445,79154497.03605191
2014-11,97865700.88663928,5426290.428097787,8.900809662968005,79138831.75042713
2014-12,97918623.84657593,5419080.195234705,8.898567947572564,79123166.46480235
2015-1,97971546.80651258,5411869.962371622,8.896326232177124,79107501.17917758
2015-2,98014759.00041136,5407379.825081297,8.89559141093875,79103156.8037515
2015-3,98057971.19431013,5402889.687790971,8.894856589700376,79098812.42832541
2015-4,98101183.38820891,5398399.550500646,8.894121768462002,79094468.05289932
2015-5,98144395.58210768,5393909.413210321,8.893386947223629,79090123.67747323
2015-6,98187607.77600646,5389419.275919996,8.892652125985254,79085779.30204715
2015-7,98230819.96990523,5384929.138629671,8.89191730474688,79081434.92662105
2015-8,98274032.16380401,5380439.001339345,8.891182483508507,79077090.55119497
2015-9,98317244.35770279,5375948.86404902,8.890447662270132,79072746.17576888
2015-10,98360456.55160156,5371458.726758695,8.88971284103176,79068401.8003428
2015-11,98403668.74550034,5366968.589468369,8.888978019793385,79064057.42491671
2015-12,98446880.93939911,5362478.452178044,8.888243198555012,79059713.04949062
2016-1,98490093.13329789,5357988.314887719,8.887508377316637,79055368.67406453
2016-2,98498664.03545617,5357009.871848271,8.88696424250676,79049855.33902144
2016-3,98507234.93761443,5356031.428808823,8.886420107696884,79044342.00397837
2016-4,98515805.8397727,5355052.985769375,8.885875972887007,79038828.66893528
2016-5,98524376.74193098,5354074.542729927,8.885331838077132,79033315.3338922
2016-6,98532947.64408924,5353096.099690479,8.884787703267255,79027801.99884911
2016-7,98541518.54624751,5352117.656651031,8.884243568457379,79022288.66380602
2016-8,98550089.44840579,5351139.213611583,8.883699433647502,79016775.32876295
2016-9,98558660.35056405,5350160.770572135,8.883155298837625,79011261.99371986
2016-10,98567231.25272232,5349182.327532687,8.88261116402775,79005748.65867677
2016-11,98575802.1548806,5348203.884493239,8.882067029217874,79000235.3236337
2016-12,98584373.05703886,5347225.441453791,8.881522894407997,78994721.98859061
2017-1,98592943.95919713,5346246.998414343,8.88097875959812,78989208.65354753
2017-2,98553426.0858135,5346817.742730586,8.87908004237423,78967633.54463795
2017-3,98513908.2124299,5347388.4870468285,8.87718132515034,78946058.43572837
2017-4,98474390.33904627,5347959.23136307,8.87528260792645,78924483.3268188
2017-5,98434872.46566266,5348529.975679313,8.87338389070256,78902908.21790922
2017-6,98395354.59227903,5349100.7199955555,8.87148517347867,78881333.10899964
2017-7,98355836.7188954,5349671.464311797,8.86958645625478,78859758.00009006
2017-8,98316318.8455118,5350242.20862804,8.86768773903089,78838182.89118047
2017-9,98276800.97212817,5350812.952944282,8.865789021807,78816607.7822709
2017-10,98237283.09874456,5351383.697260525,8.863890304583109,78795032.67336132
2017-11,98197765.22536093,5351954.441576768,8.861991587359219,78773457.56445174
2017-12,98158247.35197732,5352525.185893009,8.860092870135329,78751882.45554216
2018-1,98118729.47859369,5353095.930209252,8.85819415291144,78730307.34663258
2018-2,98051552.8122261,5355365.611957626,8.856323558077365,78709870.03279608
2018-3,97984376.14585851,5357635.293706002,8.854452963243292,78689432.7189596
2018-4,97917199.47949094,5359904.975454376,8.852582368409218,78668995.4051231
2018-5,97850022.81312335,5362174.65720275,8.850711773575144,78648558.09128661
2018-6,97782846.14675575,5364444.338951125,8.84884117874107,78628120.77745011
2018-7,97715669.48038816,5366714.020699499,8.846970583906995,78607683.46361363
2018-8,97648492.81402057,5368983.7024478745,8.84509998907292,78587246.14977713
2018-9,97581316.14765298,5371253.384196249,8.843229394238847,78566808.83594063
2018-10,97514139.4812854,5373523.065944623,8.841358799404773,78546371.52210414
2018-11,97446962.81491782,5375792.7476929985,8.8394882045707,78525934.20826764
2018-12,97379786.14855023,5378062.429441373,8.837617609736625,78505496.89443116
2019-1,97312609.48218264,5380332.111189747,8.835747014902552,78485059.58059466
2019-2,97194757.08033463,5383550.994626776,8.83314704601068,78454431.16943526
2019-3,97076904.67848663,5386769.878063805,8.830547077118807,78423802.75827587
2019-4,96959052.27663863,5389988.7615008345,8.827947108226935,78393174.34711649
2019-5,96841199.87479062,5393207.644937864,8.825347139335063,78362545.93595709
2019-6,96723347.47294262,5396426.528374893,8.82274717044319,78331917.5247977
2019-7,96605495.07109462,5399645.411811922,8.820147201551318,78301289.11363831
2019-8,96487642.66924661,5402864.295248952,8.817547232659447,78270660.70247892
2019-9,96369790.26739861,5406083.178685981,8.814947263767573,78240032.29131952
2019-10,96251937.8655506,5409302.06212301,8.812347294875702,78209403.88016012
2019-11,96134085.4637026,5412520.945560039,8.80974732598383,78178775.46900073
2019-12,96016233.0618546,5415739.828997068,8.807147357091957,78148147.05784135
2020-1,95898380.6600066,5418958.712434097,8.804547388200085,78117518.64668195
2020-2,95767114.19126832,5422930.6809277255,8.804481105131979,78106505.7416271
2020-3,95635847.72253005,5426902.649421353,8.80441482206387,78095492.83657224
2020-4,95504581.25379178,5430874.617914981,8.804348538995765,78084479.93151739
2020-5,95373314.78505349,5434846.5864086095,8.804282255927658,78073467.02646255
2020-6,95242048.31631522,5438818.554902237,8.80421597285955,78062454.1214077
2020-7,95110781.84757695,5442790.523395865,8.804149689791444,78051441.21635285
2020-8,94979515.37883867,5446762.491889494,8.804083406723338,78040428.311298
2020-9,94848248.9101004,5450734.460383121,8.80401712365523,78029415.40624315
2020-10,94716982.44136211,5454706.428876749,8.803950840587124,78018402.50118831
2020-11,94585715.97262384,5458678.397370378,8.803884557519018,78007389.59613346
2020-12,94454449.50388557,5462650.365864005,8.80381827445091,77996376.6910786
2021-1,94323183.0351473,5466622.334357633,8.803751991382804,77985363.78602375
2021-2,94163122.0984064,5471318.192500961,8.803562067714163,77970592.76393306
2021-3,94003061.16166553,5476014.050644289,8.803372144045523,77955821.74184239
2021-4,93843000.22492464,5480709.9087876165,8.803182220376883,77941050.7197517
2021-5,93682939.28818375,5485405.766930944,8.802992296708243,77926279.69766101
2021-6,93522878.35144287,5490101.625074272,8.802802373039603,77911508.67557034
2021-7,93362817.41470198,5494797.483217599,8.802612449370962,77896737.65347965
2021-8,93202756.4779611,5499493.341360927,8.802422525702323,77881966.63138896
2021-9,93042695.54122022,5504189.199504254,8.802232602033682,77867195.60929829
2021-10,92882634.60447933,5508885.057647582,8.802042678365043,77852424.5872076
2021-11,92722573.66773844,5513580.91579091,8.801852754696402,77837653.56511691
2021-12,92562512.73099756,5518276.773934238,8.801662831027762,77822882.54302624
2022-1,92402451.79425667,5522972.632077565,8.801472907359122,77808111.52093555
