Ano,Maranhão - Produção de Cimento (t)
2014,687.2038817777262
2015,630.565433880121
2016,538.1704456785882
2017,440.49015375709655
2018,379.2242671373239
2019,358.62807641783
2020,359.1506045448529
2021,369.0646017915928
2022,376.89174700699516
