Ano,Bahia - IDH
2014,0.6924269741161616
2015,0.7022120768480257
2016,0.7023222656523916
2017,0.7020788352571545
2018,0.7013587293714413
2019,0.7005731593142996
2020,0.698988901070145
2021,0.6967151648037945
2022,0.6972347252405031
