Ano,Amapá - IDH,Amapá - Desemprego,Amapá - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amapá - Produção de Cimento (t),Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2003,0.7114207342902096,8.514392273723654,85.093,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.0,8035813.3855762435,356591.00342969684,10.8831425875306,7033593.282440488
2004,0.7130055838935695,8.44672143132653,80.008,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.0,8163242.306715699,357271.49432341894,10.907897859199826,7078751.892285762
2005,0.7143755300824468,8.415811094224981,104.197,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.0,8284323.21070255,359035.0749572785,10.930314535241928,7120174.586123304
2006,0.7155327727724776,8.33480220162701,115.54,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.0,8397333.020089969,361349.4577736158,10.963941120877244,7156514.613048113
2007,0.7164795118792976,8.318743576850363,135.046,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.0,8489305.00696106,362177.9474241797,10.97019474845822,7171045.370769916
2008,0.7172179473185429,8.281094420176965,116.366,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.0,8565394.399847722,362905.2804418448,10.964829440991332,7173307.039815424
2009,0.7177502790058494,8.302950360892527,112.729,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.0,8619979.80161882,360014.2315466763,10.929234328491106,7163324.654189657
2010,0.7180787068568528,8.270872940689337,151.542,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.0,8840356.37033118,365333.788457622,10.91880976673538,7227240.745437568
2011,0.7182054307871893,8.258737131271237,161.97,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.0,9053310.072320689,369799.96825489687,10.934033309961125,7289554.929447817
2012,0.7176684983164984,14.118133903133902,261.12,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.0,9243434.84718749,371290.6474499387,10.930024522038384,7338668.429853959
2013,0.7185575398428732,14.922159181299897,250.519,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.0,9394455.22397362,367285.96084828,10.900206588527086,7364457.216525761
2014,0.7172706681631126,15.577783266587833,227.243,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.0,9501299.284934236,364732.7000674354,10.85966829931476,7367809.248788319
2015,0.7166265571767053,16.25590657332058,198.0696,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.0,9586010.685773414,358753.4630356614,10.8306175539968,7371887.198942956
2016,0.7193748421362899,16.4396927354181,166.85039999999998,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.0,9648784.661339588,350101.3945154484,10.81678219047627,7379300.950100349
2017,0.7181361914214072,16.09041805763642,135.021,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,0.0,9684545.54745582,347692.74563246005,10.82059790496879,7391484.554432322
2018,0.7168758451869897,15.81286765369742,123.347,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,0.0,9674264.62844664,348410.3461540085,10.816868155197108,7388254.743880454
2019,0.7146827402039887,15.509234359243685,120.153,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,0.0,9603864.821157243,349107.3598288092,10.8083447300147,7367392.524758721
2020,0.7126538984043513,15.329624287182243,133.523,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,0.0,9484615.33125523,351761.772055464,10.80552519441414,7338462.789064301
2021,0.7116224346229287,15.114537328999338,157.621,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,0.0,9300676.138871573,353376.47473531554,10.82624886934343,7304033.335286213
2022,0.7137699286795587,15.201106457340204,142.739,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,0.0,9078023.510383513,354954.18258643226,10.84903280047721,7260038.69264673
