Ano,Santa Catarina - Produção de Cimento (t),Santa Catarina - Desemprego,Santa Catarina - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Valor Cimento Portland,Santa Catarina - Consumo de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003,226.84279451100667,8.256605689258727,0.7977678874701567,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,3.814993484612692,1687.172,132006541.53463072,6638363.257953425,19.725168296275115,122186034.17445844
2004,221.6963633786084,8.186109533916555,0.7987939414320652,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,3.888741439351002,1740.105,134019664.91267753,6682963.708051763,19.81047494034551,122969168.919288
2005,223.7040117381545,8.161533735731359,0.7997463605197543,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,3.845773501987413,1824.65,135857118.03267953,6722582.731084393,19.879681207204605,123594566.65308537
2006,265.45691906229297,8.074448822935112,0.8006274597347095,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,3.833851523078269,1870.478,137586946.21007898,6771741.359426004,19.9503660143942,124192640.3292662
2007,322.87357899895625,8.049751446708331,0.8014395540784157,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,3.891640465075177,2081.839,139138009.99475732,6821245.811007588,20.00742794182563,124672710.80869788
2008,354.24169865770745,8.020914736786072,0.8021849585523584,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,3.909333011059738,2653.587,140444265.21723995,6811480.987148535,20.042997220702617,124972576.31867568
2009,431.3479263490405,8.04993566287453,0.8028659881580225,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,3.988730528016905,2669.4,141401898.99723074,6842788.656303234,20.04404926195795,125075275.25568683
2010,792.4417153924486,8.013740743619795,0.8034849578968933,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4.1935946695097215,2852.759,145081588.39879847,6897548.236989631,20.092849402751355,125993652.64215744
2011,1268.0835877377908,8.000656042584696,0.8040441827704562,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4.383084760744216,3087.81,148395554.65743327,6888267.634900075,20.118967439904463,126649557.07776038
2012,1549.260438550796,4.7602384004884,0.8042474505050504,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4.639897786279681,3268.31,151367360.1995199,6873500.759800663,20.117079026300537,127148877.04763094
2013,1645.4172577805627,5.187786984605742,0.8052680713804713,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,5.068411492389957,3466.227,153986822.01890966,6837970.427539656,20.10253119590445,127542112.273623
2014,1598.9814150149657,5.511794936845655,0.8056237439955106,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,5.549437965499015,3246.749285714286,156082000.4392429,6814798.558390245,20.085276796205704,127738610.77405667
2015,1488.5210292153645,5.7929151045681575,0.8055090559951364,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,5.947097528623424,3017.084228571429,157414588.71001893,6792567.041485205,20.0380556650754,127657771.50796948
