Ano,Rio Grande Do Norte - Consumo de Cimento (t),Rio Grande do Norte - IDH,Rio Grande Do Norte - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande do Norte - Desemprego,Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado
2003,408.265,0.6894876499228499,338.2697069635568,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,8.294169719309561,31648470.166930143,1998663.7707266675,9.09798517988304,28795317.33183407
2004,404.604,0.6943452295490616,350.8729374679838,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,8.222820126747882,32134450.375060607,2027982.8744132533,9.13741495990891,28975503.57213841
2005,450.141,0.6987284018556006,368.6068556931693,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,8.202614672927396,32577563.8522008,2041699.765735129,9.167874891003882,29115979.21982213
2006,526.789,0.702649066948478,400.6354628085804,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,8.11041477126532,32967665.447342828,2059519.7151713383,9.185352651269772,29210152.068075035
2007,602.047,0.7061191249337053,425.0004107131207,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,8.08732217014884,33302283.8776304,2079729.530465889,9.191188319129504,29260865.57422154
2008,705.7909999999999,0.7091504759172937,443.2207300390665,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,8.054622327364987,33559873.87088177,2079112.7100338445,9.184160920535543,29247709.866512287
2009,694.4780000000001,0.7117550200052545,467.7944111544653,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,8.084471478982518,33767291.01264116,2091123.803892708,9.172749081907533,29231146.608412974
2010,850.19,0.7139446573035988,615.4331240918439,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,8.047147614117423,34620252.54051084,2094394.6528778973,9.216787325223937,29471438.12389864
2011,836.975,0.7157312879183381,928.2963923599308,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,8.031984898660799,35381511.82705791,2094875.661247311,9.249339966069384,29643383.848027065
2012,961.431,0.716651569023569,1212.359181680702,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,12.625418091168092,36047962.0837666,2083213.470033432,9.259759440263062,29763802.36208782
2013,954.17,0.7184558664421998,1332.8479384544823,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,12.889274158292377,36587114.64640498,2061661.0131143068,9.253187785640428,29821866.77012064
2014,886.1657142857142,0.7191605219790498,1327.285780552868,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,13.25129982073224,36986503.53418902,2024777.503097536,9.243101864055024,29821415.40653408
2015,802.5085714285714,0.7188405654773039,1263.4909123434973,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,13.501882437563747,37300240.07618714,1995627.4225003936,9.238579898214429,29825938.457162797
2016,730.2617142857143,0.729100774811102,1117.7458017571842,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,13.466117672275375,37495952.09524418,1966808.20699207,9.235351663122136,29820920.04460962
2017,646.482,0.7288372088848386,983.8617058833836,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,13.134883102456095,37590917.57123775,1955498.9057755885,9.243656354976244,29840061.8669887
2018,485.012,0.7289133187834603,928.3414557372428,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,13.052783760399954,37488959.09995036,1955469.7173891903,9.237818237888614,29791831.284627512
2019,563.293,0.7279963477637748,997.2281100691324,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,13.035247115217912,37235542.79158093,1962219.2746421704,9.223169234866804,29728213.66293418
2020,744.8629999999999,0.7267232884695726,1101.9957880038237,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,12.958312498081671,36730215.19208363,1972458.628581543,9.195628341789556,29602248.653026864
