Ano,Sergipe - Produção de Cimento (t),Sergipe - IDH,Sergipe - Consumo de Cimento (t),Sergipe - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Sergipe - Valor Cimento Portland,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2003,1868.137980406504,0.6692166755851026,245.311,8.389943455815388,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,4.173873176256416,21597319.77433002,1260978.4155712095,9.960678449257069,20296420.93570137
2004,1928.8920337589232,0.6731239567576035,222.063,8.319422673996787,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,4.300619584535554,21887831.32755445,1274840.3152076474,9.976012705784887,20367903.66985901
2005,2088.926496544471,0.6766287723583336,221.797,8.294120063387785,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,4.260279543737182,22145997.498896487,1279358.4125759555,9.984663029573962,20412753.009379167
2006,2366.4483688388173,0.6797398426423704,270.225,8.204414811574996,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,4.183291950131899,22388261.803248607,1291619.3497436529,9.998498305020648,20460110.123088293
2007,2563.277811012128,0.682465887864791,319.406,8.17990969524582,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,4.227134177418617,22589981.990651816,1301864.5205317657,10.000736750952768,20476581.68327627
2008,2685.3598232634668,0.6848156282806726,391.414,8.151229415222186,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,4.333995267862862,22752425.640551355,1304488.4973560777,9.995682339630472,20468632.42514805
2009,2836.8735295353968,0.6867977841450925,404.787,8.181779736312976,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,4.469789290588031,22842023.77199188,1307161.5808623554,9.962428627247064,20414870.16044244
2010,2982.517993119276,0.688421075713128,480.282,8.145498308214748,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4.706852421702409,23377408.29760286,1316093.7769044656,9.971938137567662,20524693.87945578
2011,3066.509797185512,0.6896942232398563,579.482,8.132819046437152,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4.918521799776158,23818282.958762497,1308563.1216484616,9.960907934024595,20561872.85624308
2012,3182.329234446928,0.690538294949495,646.0840000000001,11.832645502645502,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,5.074864326716582,24202220.19682189,1297618.8766124037,9.93685526562725,20579443.442121956
2013,3222.957062366472,0.6910831528619529,590.339,12.53055382211128,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,5.325729603962268,24491519.668984435,1275642.906136901,9.895912439351251,20553345.86071996
2014,3058.777408960035,0.6917567489337823,633.1901428571429,13.099830913217062,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,5.656290151645439,24705914.540020622,1254701.6065681288,9.861954794783816,20510415.22310179
2015,2732.441148502084,0.6914031446782641,592.0145142857143,13.60560538454487,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,5.850928330207472,24841087.77600065,1238715.632354209,9.830307120386305,20460445.572254777
2016,2388.888256320291,0.7001619401294086,552.6243428571429,13.9295483548898,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,5.775264767458811,24926214.216652032,1222457.1740799116,9.814014341119622,20431965.90899522
2017,2146.114260282028,0.700449389232082,473.789,13.725373935128175,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,5.5983684153284425,24975542.85882809,1205785.0390132826,9.822125581305862,20445128.350369096
2018,2061.548731245747,0.7005811518895441,372.21,13.638961606267932,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,5.484393055324986,24934680.310631704,1197917.317183674,9.829109854197364,20441668.61824856
2019,2120.688017803354,0.6997248929704117,409.903,13.5186141972049,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,5.647669524400819,24819314.1573418,1201062.7065963906,9.837050644395095,20445018.713538416
2020,2142.7623075132624,0.6992453377859036,526.396,13.428524684969911,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,6.098266478746654,24555194.9088007,1212774.0500106572,9.83805146503406,20418451.229418404
2021,2078.1522522516966,0.6971767321300767,511.494,13.354175629595018,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,6.505132570376701,24189814.261019085,1225823.9307264169,9.859825918791728,20416500.71649545
2022,2043.813740809037,0.6967382532328109,425.37,13.374761343013247,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,6.663752958214141,23741704.12708389,1240387.6809800395,9.883406750470586,20406611.89006229
