Ano,Tocantins - IDH,Tocantins - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Tocantins - Produção de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Consumo de Cimento (t)
2003,0.7001068192263149,8.24382962687184,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,152.796,15939077.253337389,1457379.9378053627,10.276584921630167,25726915.08185616,239.493
2004,0.7046642016241093,8.173050196410834,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,152.796,16203101.63785904,1477170.600602767,10.336645494752013,26145138.762137983,397.426
2005,0.708751595809711,8.152620916952547,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,152.796,16458289.67521829,1491626.6916131573,10.39912338975338,26568595.45266009,431.203
2006,0.7123777052086413,8.067823318709818,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,152.796,16711716.70659196,1511198.7846426202,10.47483745939426,27009303.98252078,312.507
2007,0.7155512332464213,8.043255499928398,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,156.4992638156219,16948958.260328595,1533651.894670466,10.545712228157267,27447219.406162657,426.737
2008,0.7182808833485721,8.013079135529578,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,199.99442340744,17154330.379480716,1552701.6772155946,10.59841077193246,27864927.348710734,450.745
2009,0.7205753589406148,8.041614363695377,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,305.8290172874809,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293,467.588
2010,0.7224433634480705,8.0060588006544,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,421.3275257903116,17827895.717120513,1443676.3796348055,10.617472399861269,26055376.81965062,487.208
2011,0.7238936002964601,7.993875358747286,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,483.31360483836784,18296015.752595358,1330737.3898506346,10.632145843938542,24344818.78571199,458.331
2012,0.7245311986531986,9.38599877899878,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,510.5469442285658,18736788.59739,1258450.790768226,10.650201773230906,23238395.393916894,508.683
