Ano,Roraima - Desemprego,Roraima - Valor Cimento Portland,Roraima - Consumo de Cimento (t),Roraima - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Roraima - Produção de Cimento (t),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2003,8.263084148815043,3.596068477254479,74.283,0.734916255848655,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.0,6128460.111199017,332580.20282068977,12.101540149290196,5339135.99993909
2004,8.191545483130467,3.4298952340914783,39.775,0.7354042938325009,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.0,6226406.441082152,336594.8354863451,12.124873492763625,5374189.668689502
2005,8.16696088251649,3.071662863147566,30.179,0.7357997696315145,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.0,6321382.674488585,339978.31386894174,12.16524407008635,5409179.372299526
2006,8.072306048664666,3.0452508115035783,34.243,0.736105029994215,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.0,6410127.600738828,343100.1250127878,12.200108535780728,5439893.813540734
2007,8.047939156564242,3.353816392620261,35.931,0.736322421669122,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.0,6486417.133073642,340068.1831724968,12.212555141259168,5458573.37287209
2008,8.015089544092227,3.6891382957136583,60.009,0.736454291404755,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.0,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082
2009,8.046320794715072,3.874501236474549,63.064,0.7365029859496336,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.0,6611656.678930855,345335.4852875928,12.228462335576936,5482305.617784198
2010,8.009228631606366,4.024162965923406,86.408,0.736470852052277,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.0,6787711.764628731,348962.48393009574,12.215748589960338,5534487.325966347
2011,7.996818724830861,4.171630015071444,103.009,0.736360236461205,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.0,6947966.087377517,347630.9720131452,12.206783093734131,5574553.472147543
2012,8.651837098087098,4.318665009092613,100.066,0.7360885090909091,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.0,7096137.00454022,347411.2322732956,12.18653920523044,5609509.937973836
