Ano,Acre - Consumo de Cimento (t),Acre - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Acre - Produção de Cimento (t),Acre - Desemprego,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2003,43.603,0.6913196105136911,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,0.0,8.722906022641007,7285706.872941417,413409.2550318821,9.31841697787915,6587220.475573105
2004,58.142,0.6948880766805015,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,0.0,8.664365485421056,7395794.356157537,415792.3173746576,9.33729183526018,6624625.7213512575
2005,80.914,0.6980979695547438,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,0.0,8.63202406848091,7499439.178966182,415180.3740268452,9.359959034922287,6658362.682333018
2006,114.415,0.7009570491416821,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,0.0,8.552715943304754,7593871.383605668,418006.3308225593,9.385223911172876,6685537.720496125
2007,121.872,0.7034730754465806,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,0.0,8.542429322041594,7683281.555701924,420042.9508888772,9.415549864480058,6712707.279919797
2008,119.145,0.7056538084747028,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,0.0,8.514659379977472,7755114.203364897,422290.2020698055,9.424555243611112,6724366.086291776
2009,121.146,0.7075070082313131,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,0.0,8.542386044618546,7805165.957534134,424173.603186159,9.409042241398248,6722104.546549075
2010,174.705,0.7090404347216752,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,0.0,8.51429488143676,7991787.774392375,416829.6759184062,9.394383816794363,6762278.709879917
2011,178.322,0.7102618479510534,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,0.0,8.500790350881074,8164219.641641234,410997.8752810527,9.386905584654908,6795421.262147043
2012,173.494,0.7110042707070706,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,0.0,10.334544464794464,8325627.042250331,407346.9500744589,9.383420184567306,6827686.142368942
2013,193.672,0.7118379599326597,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.0,11.122667631962752,8462721.704417042,403688.42817424977,9.371494020000128,6849507.566846702
2014,171.7092857142857,0.7123244565937149,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.0,11.666938782207025,8560896.351340283,400704.12118773314,9.34326746456174,6852461.73082073
2015,151.48662857142855,0.7121014946431911,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.0,12.139670205232392,8597115.636515724,391942.316577976,9.284503902763296,6825760.025932724
2016,134.2230857142857,0.7200243801706033,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.0,12.45807181124122,8620855.11783036,389049.0905509605,9.24719281501578,6809907.032026213
2017,150.491,0.7197538692770217,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,0.0,12.24579046496806,8632052.00614293,389052.079088308,9.235469478922266,6808241.988984182
2018,148.696,0.7204587664840237,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,0.0,12.148885615720625,8619421.175623687,391132.6831641892,9.22984542905774,6804838.123685982
2019,153.80599999999998,0.7193186543462077,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,0.0,12.04573349545044,8563063.806940097,393404.51067989314,9.229435008931365,6792501.300367666
2020,178.033,0.7175294411049539,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,0.0,11.905311271127278,8474524.794974843,395956.0067062282,9.239312622784704,6780171.2803533655
2021,189.357,0.7149412084781315,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,0.0,11.81733418965036,8328314.777668074,399296.1379800864,9.26296245021642,6763503.264838437
2022,202.321,0.7153904092488707,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,0.0,11.830301285143577,8150141.368556486,403056.7536943113,9.289289290108696,6741051.793450301
