Ano,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
1985,0.171782902,32501854.5318179,24.6238167146,689830906.516178
1986,0.455027841,39892088.7450884,25.7691064844,737619284.757861
1987,1.523230927,38896236.4432576,25.9767030211,759165301.238747
1988,11.20341559,44008249.0185773,25.3008555922,754296912.554229
1989,160.7372301,49808585.0922531,24.6698173357,769895536.064521
1990,4275.247452,38387326.572592,22.9467064865,729011518.493493
1991,21251.50101,36824853.0768061,22.4485135313,725506392.638224
1992,227461.6773,38915428.3973514,21.5229856589,707365256.349322
1993,4916925.143,43422932.4156532,22.4841773891,751101865.572248
1994,119252732.5,51577409.9869019,23.4447255754,795726763.403108
1995,263298461.8,53268904.6244041,24.1643222911,832949747.16695
1996,307924113.2,57581632.0146295,24.1031639625,843549396.134294
1997,344890877.3,62463281.1804758,24.5496938133,872078159.58729
1998,353085089.7,62180248.8203903,23.8962432492,861654873.130247
1999,383249570.9,54519507.2055629,23.1100251143,850120299.648185
2000,424161313.5,55893499.07761,23.7092725642,886359584.686207
2001,463478076.1,50372559.0732961,23.4228446292,889762802.552699
2002,430781193.231676,51114718.3534892,21.4359130236,818374756.949325
2003,492825390.858384,37944874.1253312,21.199301632,820610550.64974
2004,539425320.935618,38444438.1536385,20.9310741498,833584758.437269
2005,619285178.453431,40071955.2220653,22.0260912314,890796692.323329
2006,686836869.876538,35227521.8248142,22.5372572271,925283637.80374
2007,782245713.709839,40891890.7432032,24.0223167176,990064601.413501
2008,854006280.549123,40813045.3708469,24.2287502898,993660736.078647
2009,939371647.045898,47576832.5968617,24.6108916316,1018498099.10885
2010,1071840401.67993,61678130.0562923,25.2276724962,1071840401.67993
2011,1184832820.71611,60257098.4645503,26.302351417,1093840675.40554
2012,1286699000.77295,60884432.636987,26.2634820053,1100471911.20766
2013,1419426222.2842,63516179.2910087,25.8623325578,1129244328.37268
2014,1552872896.87085,60079718.5709457,26.0137585643,1145523766.56266
2015,1626004207.49886,55736952.3333774,25.1168722167,1115100815.49741
2016,1725307449.73241,48254378.6732727,24.4584354725,1094507625.40463
2017,1786741788.50464,43239182.7873868,24.2532843849,1093339882.4155
2018,1852796897.27141,40322396.4826647,24.1124698175,1085005129.9976
2019,1975310484.22948,37510893.9522262,24.4772231908,1109865955.94919
2020,2014850308.30472,36791933.004565,23.1306364199,1063262500.7705
