Ano,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
1985,0.000620185,207486.44195853,9.2156447838,3263960.20692963
1986,0.001771361,307323.236019908,9.0767437079,3313102.22080336
1987,0.005192642,235057.973270698,8.537466414,3207432.21961765
1988,0.038876349,274841.250573876,8.6109801268,3325104.14300475
1989,0.547704719,278643.341903727,8.4021139821,3452815.13247209
1990,15.99639309,203948.594317474,8.5046506371,3579888.10663203
1991,80.80820123,213061.839872405,8.7232716989,3757043.3345579
1992,928.0680459,305538.728036946,8.5758084005,3866137.36731238
1993,20105.63289,318268.775511452,8.5919435813,3993758.76709823
1994,548356.3313,380703.619735383,8.4737417079,4056303.89187842
1995,1237096.725,329152.925807561,8.5777487009,4223897.90406262
1996,1459645.547,312123.036297833,8.5137013716,4308741.69566078
1997,1555306.521,338343.744622583,8.2219297645,4273109.55913591
1998,1694328.657,351139.437099347,8.3880379051,4466663.73660516
1999,1866542.316,329658.849401819,8.304872692,4649466.36685464
2000,2154284.485,352494.55279601,8.4004032965,4840505.58872459
2001,2475169.496,375036.031845054,8.4772487716,5024465.34693373
2002,2742830.2624988,506500.1710126,8.8776748564,5210680.23556571
2003,3102382.51072885,322852.886006419,8.6011723974,5165821.13600329
2004,3457291.08942908,439046.164591528,8.4759382481,5342621.20404435
2005,3911015.4026657,307794.015789706,8.3998937374,5625711.232135
2006,4196284.84394794,340614.768302483,8.2328376855,5653094.46239656
2007,4953640.94450895,334647.406013601,9.0733454575,6269672.63778458
2008,5853147.54493384,350720.95964837,10.0140493277,6810304.59651442
2009,6784794.75023562,780262.08198246,10.643843676,7356300.96744989
2010,7564554.00207669,685411.98965052,10.299687522,7564554.00207669
2011,8165287.86712761,581433.707960372,10.0996194182,7538214.53904468
2012,9149379.61838214,559164.004521688,10.3127463552,7825167.55585957
2013,10483523.3056154,517569.4101327,10.7414174058,8340313.18315233
2014,12348985.9747467,680114.055980938,11.5296700733,9109603.85458895
2015,12443127.070159,463529.140093891,10.6201120031,8533398.05597148
2016,12500000.8042873,363269.04977257,9.7097196905,7929801.84487029
2017,12835663.925721,303101.034275073,9.4705567939,7854376.82017719
2018,13622057.1064829,304396.595482645,9.2872527422,7977130.06936734
2019,13939291.2290999,305801.100228622,8.9933972628,7832057.24302826
2020,14796471.0454056,293929.500356773,8.6625956905,7808288.65621957
