Ano,Roraima - Consumo de Cimento (t)
2014,111.92694476519308
2015,108.28106084436304
2016,101.32560803518707
2017,100.11590309580805
2018,110.46298147255922
2019,126.81592120673574
2020,136.28085702630656
2021,135.10108317424806
2022,133.07810800041995
