Ano,Roraima - Consumo de Cimento (t)
2008,60.009
2009,63.064
2010,86.408
2011,103.009
2012,100.066
2013,121.914
2014,120.41757142857142
2015,113.28205714285713
2016,105.48137142857142
2017,99.723
2018,83.012
2019,121.12
2020,151.571
2021,144.989
2022,132.21699999999998
