Ano,Sergipe - Produção de Cimento (t)
2014,3058.777408960035
2015,2732.441148502084
2016,2388.888256320291
2017,2146.1142602820278
2018,2061.548731245747
2019,2120.688017803354
2020,2142.7623075132624
2021,2078.1522522516966
2022,2043.813740809037
