Ano,Sergipe - Desemprego
2014,13.099830913217062
2015,13.60560538454487
2016,13.9295483548898
2017,13.725373935128177
2018,13.638961606267932
2019,13.518614197204899
2020,13.428524684969911
2021,13.354175629595018
2022,13.374761343013247
