Ano,Sergipe - Consumo de Cimento (t)
2014,633.1901428571429
2015,592.0145142857143
2016,552.6243428571429
2017,473.789
2018,372.21000000000004
2019,409.903
2020,526.396
2021,511.494
2022,425.37
