Ano,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2003,77760914.28509438,4250430.443856791,9.22037367936359,68512688.76315014
2004,79091711.8016507,4310972.477262211,9.281804299654736,69124194.56585748
2005,80280324.36842103,4348768.7523550885,9.324668827229862,69563670.52525182
2006,81431619.8743957,4390025.5286860075,9.371674926964857,70011469.12659246
2007,82488300.67118537,4436625.73121585,9.412493058971828,70390507.72472218
2008,83432446.97014982,4475828.125461093,9.44696859172635,70690421.15884194
2009,84180734.27582979,4507563.043794246,9.465568082579674,70866716.48944733
2010,86757059.16965623,4555784.05516188,9.542118828789603,71808581.85764036
2011,88909349.05165063,4574156.689640105,9.57227168539587,72351794.17188406
2012,90721168.82755443,4559886.523004949,9.57404270268839,72659477.63465233
2013,92390278.26877728,4525096.901811163,9.578466845763444,72955312.92521468
2014,93700476.59417439,4468711.08227841,9.571190684823376,73088479.04283959
2015,94934390.66205157,4396931.891494788,9.582866840595177,73328960.09686285
2016,95993284.0174244,4320023.92208679,9.607058973992867,73624006.24806179
2017,96810844.13030557,4313294.469669347,9.64387457236574,73974197.45003262
2018,96984953.19725578,4325702.91855767,9.654974289996831,74056611.06699046
2019,96836625.36916308,4333696.8398923725,9.669719195600374,74129217.9899291
2020,95952952.71920592,4340024.686735473,9.665505180420285,73977956.3938123
2021,93382835.58372992,4350287.565599705,9.606218935089077,73227836.34521733
2022,90304781.78899395,4362168.774798071,9.535340917808934,72323747.9358986
