Ano,Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado
2003,63425371.885078445,3523986.8995798714,16.79930798970507,59482492.51264176
2004,64421020.24197359,3565093.279791643,16.896385943739414,59926466.13641783
2005,65283625.5290081,3601257.944579647,16.957150838227296,60216714.01951406
2006,66023713.96762452,3639068.6255083736,16.99068922837801,60394723.8999989
2007,66633549.48226432,3646642.343607607,16.999307641324805,60464952.48781032
2008,67117933.80385315,3666067.883307843,16.994001644475453,60449836.04277169
2009,67382951.30571051,3683277.02190931,16.93544519662218,60293880.9650657
2010,69015414.6817957,3673390.4601183566,16.97078345603646,60692997.308667235
2011,70323423.40240116,3655680.5071406066,16.962953779993274,60831401.17578676
2012,71186443.27585743,3633844.773447078,16.845394917819085,60657027.45066623
2013,71735650.15352009,3582357.4066505074,16.69296514401083,60341490.46236221
2014,72180481.70653749,3534360.5267681526,16.602277428805902,60084902.96920812
2015,72173818.07693765,3504011.9940222693,16.47704888325155,59654840.820873
2016,72362409.08409853,3485388.463413064,16.442295949671024,59537835.22815807
2017,72749170.87100878,3492936.9813879374,16.497126469297445,59734139.81165009
2018,72962964.77143744,3509673.1580336946,16.56300271661103,59932122.452095374
2019,72336670.76438868,3535171.6250806376,16.53315374185254,59777180.6831178
2020,71579701.8075121,3549611.693472274,16.538991806787767,59713850.0245111
2021,70625876.76036444,3555014.723873486,16.597316333259535,59773681.559718125
2022,69450725.35422504,3562707.0829759007,16.663260116664677,59823924.079612255
