,Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado
2003-1,63425371.885078445,3523986.8995798714,16.79930798970507,59482492.51264176
2003-2,63508342.581486374,3527412.431264186,16.80739781920793,59519490.314623095
2003-3,63591313.2778943,3530837.9629485,16.815487648710793,59556488.11660443
2003-4,63674283.97430223,3534263.494632814,16.823577478213657,59593485.91858578
2003-5,63757254.67071016,3537689.0263171284,16.83166730771652,59630483.720567115
2003-6,63840225.36711809,3541114.558001443,16.83975713721938,59667481.52254845
2003-7,63923196.06352602,3544540.089685757,16.847846966722244,59704479.3245298
2003-8,64006166.75993394,3547965.6213700715,16.855936796225105,59741477.126511134
2003-9,64089137.45634187,3551391.153054386,16.864026625727966,59778474.92849247
2003-10,64172108.1527498,3554816.6847387003,16.872116455230827,59815472.73047381
2003-11,64255078.84915773,3558242.216423014,16.88020628473369,59852470.53245515
2003-12,64338049.54556566,3561667.7481073285,16.888296114236553,59889468.33443649
2004-1,64421020.24197359,3565093.279791643,16.896385943739414,59926466.13641783
2004-2,64492904.01589313,3568107.00185731,16.901449684946737,59950653.46000918
2004-3,64564787.78981267,3571120.7239229768,16.90651342615406,59974840.78360053
2004-4,64636671.563732214,3574134.445988644,16.911577167361386,59999028.10719189
2004-5,64708555.33765176,3577148.168054311,16.91664090856871,60023215.43078324
2004-6,64780439.1115713,3580161.8901199778,16.921704649776032,60047402.75437459
2004-7,64852322.88549084,3583175.612185645,16.926768390983355,60071590.077965945
2004-8,64924206.65941039,3586189.334251312,16.931832132190678,60095777.4015573
2004-9,64996090.433329925,3589203.0563169788,16.936895873398,60119964.72514865
2004-10,65067974.20724947,3592216.778382646,16.941959614605324,60144152.04874
2004-11,65139857.981169015,3595230.500448313,16.94702335581265,60168339.37233136
2004-12,65211741.75508855,3598244.2225139798,16.952087097019973,60192526.69592271
2005-1,65283625.5290081,3601257.944579647,16.957150838227296,60216714.01951406
2005-2,65345299.56555947,3604408.834657041,16.95994570407319,60231548.17622113
2005-3,65406973.60211083,3607559.724734435,16.96274056991908,60246382.3329282
2005-4,65468647.638662204,3610710.6148118284,16.965535435764973,60261216.489635274
2005-5,65530321.675213575,3613861.5048892223,16.968330301610866,60276050.646342345
2005-6,65591995.71176494,3617012.3949666163,16.97112516745676,60290884.803049415
2005-7,65653669.74831631,3620163.2850440103,16.973920033302655,60305718.95975648
2005-8,65715343.78486768,3623314.175121404,16.976714899148547,60320553.11646355
2005-9,65777017.821419045,3626465.065198798,16.97950976499444,60335387.27317062
2005-10,65838691.85797042,3629615.955276192,16.982304630840332,60350221.42987769
2005-11,65900365.89452179,3632766.8453535857,16.985099496686225,60365055.58658476
2005-12,65962039.93107315,3635917.7354309796,16.987894362532117,60379889.74329183
2006-1,66023713.96762452,3639068.6255083736,16.99068922837801,60394723.8999989
2006-2,66074533.5938445,3639699.7686833097,16.99140742945691,60400576.28231652
2006-3,66125353.22006449,3640330.9118582457,16.99212563053581,60406428.66463414
2006-4,66176172.84628447,3640962.055033182,16.992843831614707,60412281.046951756
2006-5,66226992.47250445,3641593.198208118,16.993562032693607,60418133.42926937
2006-6,66277812.09872444,3642224.341383054,16.994280233772507,60423985.81158699
