Ano,Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado
1985,0.008162701,1938054.96352212,14.6063160835,33383158.9920291
1986,0.022440778,2886826.60632624,14.7384534653,34476942.007081
1987,0.059311838,2236116.77291864,14.1894886048,33944179.7772514
1988,0.445436402,2861532.77792924,14.4035551103,35203210.517048
1989,7.234426238,4016993.81487758,14.1023551174,36201253.2711472
1990,191.5141207,2728945.1832514,13.4193613084,35112577.444533
1991,998.6262934,3020419.7404536,14.070597162,37497466.0480631
1992,10802.93283,3677624.10785798,14.1747367354,38523745.1310726
1993,232453.8199,3867867.40744575,14.3172081251,39620754.5395178
1994,6369394.966,4458447.4347935,15.0099077023,42274294.3103281
1995,14059095.24,4694332.05247016,14.8183667859,42455139.4845082
1996,16007846.84,4764391.31218519,15.4808004429,45102042.6647948
1997,17733917.02,5515862.34588607,15.3001563912,45313631.6750713
1998,18394274.69,5018547.48311195,15.5728608745,46848647.1574785
1999,19842972.61,4303526.13639759,15.3823960272,47296760.6838746
2000,23248586.26,4480769.70446239,16.4679144788,51533950.5139565
2001,24333663.3,4244961.80223674,16.2371027289,51704098.4873405
2002,22305216.7807344,3062100.72560035,13.23482851,42374241.6067325
2003,25590734.3230626,1961944.45153256,13.1103457364,42611494.8091505
2004,31642019.3346626,2190836.0178475,14.5873199532,48897046.5787612
2005,37160264.8615837,2164452.06928802,15.6826920125,53452338.5610896
2006,42849964.4113123,3351267.33773751,16.6631895364,57726037.5631651
2007,48226945.2618887,2908471.83499862,17.2009355216,61039377.3992782
2008,57047268.7332734,3012120.61645212,19.2191466629,66376128.9955995
2009,55925473.9658192,4228558.0020198,17.388243646,60636265.8539616
2010,69817926.8141893,4386374.27211791,18.883786026,69817926.8141893
2011,86126685.3903781,4420831.73352584,22.4164483322,79512375.1390611
2012,95958304.5639909,5255639.94467176,22.9369725986,82070024.7348804
2013,97681967.228112,4915176.47617348,20.2409073355,77712251.4329214
2014,109804169.005222,4200327.60192443,20.8492541274,81000373.8983452
2015,100489687.72488,3714030.00763108,17.5360287942,68915032.454596
2016,92228236.180319,2877465.28501359,14.723852178,58508127.2283585
2017,95510655.327951,2664373.30719951,14.5564505487,58444711.6743632
2018,116261868.592356,2509198.55451907,17.3453232977,68083406.2446811
2019,114812826.459601,2927997.85033764,16.2566063406,64509781.3286402
2020,114860148.673965,3246498.63810698,14.9070102179,60613182.2371995
2021,,,,
2022,,,,
