Ano,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado
1985,0.00187371,389029.953850816,3.7882311419,8865506.42389017
1986,0.005435315,531601.827374102,3.9948276656,9513734.01847399
1987,0.016071616,468569.101731193,3.9922265055,9669815.34468097
1988,0.109400059,551283.903291928,4.2070244264,10357555.305997
1989,1.59104821,675950.083405351,4.178155938,10680870.7136137
1990,51.7282078,425989.528633176,4.1372953957,10733695.7422889
1991,274.7138444,430462.871302337,4.2647265664,11222713.253966
1992,2644.460326,543978.047750946,4.1432704828,10953170.5646127
1993,63230.96908,871188.288542586,4.3242051903,11543967.3633584
1994,1614582.586,1019639.56751164,4.610147789,12426026.3851094
1995,3584474.723,980520.875906437,4.6574884466,12672406.6172037
1996,4359145.971,1258750.00675058,4.7695229067,13098311.8216655
1997,4732517.482,1326357.65661799,4.784007189,13259139.0446314
1998,4950422.223,1567063.61272064,4.7488369456,13280317.2206896
1999,5381138.667,1405637.74936229,4.7650453284,13491973.3000544
2000,6062725.667,1429113.8416124,4.868466388,13924641.5088245
2001,6472664.103,1246812.88762092,4.919779211,14213591.4450341
2002,6306953.01404831,910368.429352882,4.1341219834,11981607.4170785
2003,7501068.64550391,541426.494715219,4.2719940585,12490135.82869
2004,8379223.72654068,763757.476935911,4.3491622136,12948582.3429002
2005,9501075.79239178,872706.850936098,4.5451045089,13666606.571325
2006,11896836.9348216,2138547.30486196,5.2784880388,16027020.4472109
2007,12140566.9772535,1008750.56627664,4.9808222658,15365946.268038
2008,14320357.6816456,714754.039615588,5.3543647052,16662145.7932416
2009,16799232.4647057,1062891.05142843,5.8054804898,18214288.653056
2010,19670255.4655047,1648399.17067723,6.2585207892,19670255.4655047
2011,23151793.0225824,1794099.38027368,6.8239376607,21373794.2382156
2012,25418402.1064885,1663993.77079892,6.8959206542,21739534.6768504
2013,27848172.4205637,1717187.83373785,6.9760264574,22155001.9773903
2014,33983743.9736883,2253415.41477597,7.8675726039,25069138.9340916
2015,35068891.1007024,1990622.84901935,7.525817168,24049967.9426631
2016,36989069.1388902,1620831.12568036,7.324242906,23465277.5859825
2017,40512961.9920786,1543568.03886863,7.7234667109,24790620.2147955
2018,44692754.196398,1445834.02061968,8.1348612734,26172252.1492923
2019,47132529.2264523,1454130.18400572,8.2149107727,26482312.5396536
2020,50586262.4918046,1801522.44565083,8.299944199,26695023.3176004
