Ano,Ceará - Produção de Cimento (t)
2014,1936.4724312643293
2015,2117.5472545655975
2016,2241.1193009740637
2017,2243.9729910545007
2018,2244.384216447787
2019,2418.807067167322
2020,2641.331289741959
2021,2791.618748253444
2022,2845.4484174870277
