Ano,Ceará - IDH Longevidade
2008,0.7880776930864926
2009,0.7902728188929704
2010,0.7918716496157279
2011,0.792885379153584
2012,0.793321138047138
2013,0.7930978995510664
2014,0.7924393911803218
2015,0.7914760071120153
2016,0.8027576759900493
2017,0.8019174647164174
2018,0.8006372342360918
2019,0.7989678918939181
2020,0.7967831547933653
2021,0.7944907143200349
2022,0.7954444156218563
