Ano,Goiás - Consumo de Cimento (t)
2014,2700.6777342731616
2015,2486.4994065141736
2016,2365.569751796952
2017,2339.1324792658424
2018,2340.65761497219
2019,2439.0188557175325
2020,2582.2859312310634
2021,2676.3650667154443
2022,2712.065368122688
