Ano,Goiás
2014,0.779846963973064
2015,0.7869172813896541
2016,0.7843643069705318
2017,0.7813065166951255
2018,0.7776980182128642
2019,0.7734887471413064
2020,0.768624087790516
2021,0.7691353684987449
2022,0.7735113110895399
