,Ceará - IDH
2003-1,0.6840404850485825
2003-2,0.6844759997704507
2003-3,0.684911514492319
2003-4,0.6853470292141872
2003-5,0.6857825439360554
2003-6,0.6862180586579237
2003-7,0.6866535733797919
2003-8,0.6870890881016601
2003-9,0.6875246028235285
2003-10,0.6879601175453967
2003-11,0.6883956322672649
2003-12,0.6888311469891332
2004-1,0.6892666617110014
2004-2,0.6896610679230201
2004-3,0.6900554741350389
2004-4,0.6904498803470576
2004-5,0.6908442865590763
2004-6,0.691238692771095
2004-7,0.6916330989831136
2004-8,0.6920275051951325
2004-9,0.6924219114071511
2004-10,0.6928163176191698
2004-11,0.6932107238311886
2004-12,0.6936051300432073
2005-1,0.693999536255226
2005-2,0.6943537161237984
2005-3,0.6947078959923706
2005-4,0.6950620758609429
2005-5,0.6954162557295153
2005-6,0.6957704355980875
2005-7,0.6961246154666598
2005-8,0.6964787953352322
2005-9,0.6968329752038044
2005-10,0.6971871550723767
2005-11,0.697541334940949
2005-12,0.6978955148095213
2006-1,0.6982496946780936
2006-2,0.6985645303696226
2006-3,0.6988793660611515
2006-4,0.6991942017526804
2006-5,0.6995090374442094
2006-6,0.6998238731357385
2006-7,0.7001387088272674
2006-8,0.7004535445187963
2006-9,0.7007683802103253
2006-10,0.7010832159018543
2006-11,0.7013980515933832
2006-12,0.7017128872849121
2007-1,0.7020277229764411
2007-2,0.7023040966573297
2007-3,0.7025804703382185
2007-4,0.7028568440191072
2007-5,0.7031332176999958
2007-6,0.7034095913808844
2007-7,0.7036859650617732
2007-8,0.7039623387426619
2007-9,0.7042387124235505
2007-10,0.7045150861044391
2007-11,0.7047914597853279
2007-12,0.7050678334662166
2008-1,0.7053442071471052
2008-2,0.7055830009837567
2008-3,0.7058217948204082
2008-4,0.7060605886570597
2008-5,0.7062993824937112
2008-6,0.7065381763303626
2008-7,0.7067769701670141
2008-8,0.7070157640036657
2008-9,0.7072545578403172
2008-10,0.7074933516769687
2008-11,0.7077321455136202
2008-12,0.7079709393502717
2009-1,0.7082097331869232
2009-2,0.7084118293457405
2009-3,0.7086139255045579
2009-4,0.7088160216633753
2009-5,0.7090181178221927
2009-6,0.7092202139810101
2009-7,0.7094223101398275
2009-8,0.7096244062986449
2009-9,0.7098265024574623
2009-10,0.7100285986162796
2009-11,0.710230694775097
2009-12,0.7104327909339144
2010-1,0.7106348870927318
2010-2,0.7108011677401181
2010-3,0.7109674483875046
2010-4,0.7111337290348909
2010-5,0.7113000096822772
2010-6,0.7114662903296636
2010-7,0.7116325709770499
2010-8,0.7117988516244363
2010-9,0.7119651322718227
2010-10,0.712131412919209
2010-11,0.7122976935665954
2010-12,0.7124639742139818
2011-1,0.7126302548613681
2011-2,0.7127589669562541
2011-3,0.71288767905114
2011-4,0.7130163911460261
2011-5,0.7131451032409121
2011-6,0.713273815335798
2011-7,0.7134025274306841
2011-8,0.7135312395255701
2011-9,0.713659951620456
2011-10,0.713788663715342
2011-11,0.713917375810228
2011-12,0.714046087905114
2012-1,0.7141748
2012-2,0.7142662916666667
2012-3,0.7143577833333333
2012-4,0.714449275
2012-5,0.7145407666666667
2012-6,0.7146322583333333
2012-7,0.7147237499999999
2012-8,0.7148152416666665
2012-9,0.7149067333333332
2012-10,0.7149982249999999
2012-11,0.7150897166666665
2012-12,0.7151812083333332
2013-1,0.7152726999999999
2013-2,0.7153440381944444
2013-3,0.7154153763888887
2013-4,0.7154867145833332
2013-5,0.7155580527777777
2013-6,0.7156293909722221
2013-7,0.7157007291666666
2013-8,0.7157720673611111
2013-9,0.7158434055555555
2013-10,0.71591474375
2013-11,0.7159860819444445
2013-12,0.7160574201388888
2014-1,0.7161287583333333
2014-2,0.7161713191550926
2014-3,0.7162138799768518
2014-4,0.7162564407986111
2014-5,0.7162990016203703
2014-6,0.7163415624421295
2014-7,0.7163841232638888
2014-8,0.7164266840856481
2014-9,0.7164692449074074
2014-10,0.7165118057291666
2014-11,0.7165543665509259
2014-12,0.7165969273726851
2015-1,0.7166394881944443
2015-2,0.7176787410458754
2015-3,0.7187179938973063
2015-4,0.7197572467487373
2015-5,0.7207964996001683
2015-6,0.7218357524515993
2015-7,0.7228750053030303
2015-8,0.7239142581544613
2015-9,0.7249535110058922
2015-10,0.7259927638573233
2015-11,0.7270320167087543
2015-12,0.7280712695601852
2016-1,0.7291105224116162
2016-2,0.7291643900056436
2016-3,0.729218257599671
2016-4,0.7292721251936984
2016-5,0.7293259927877258
2016-6,0.7293798603817532
2016-7,0.7294337279757805
2016-8,0.7294875955698079
2016-9,0.7295414631638353
2016-10,0.7295953307578626
2016-11,0.7296491983518901
2016-12,0.7297030659459175
2017-1,0.7297569335399449
2017-2,0.7297550921273687
2017-3,0.7297532507147926
2017-4,0.7297514093022164
2017-5,0.7297495678896402
2017-6,0.729747726477064
2017-7,0.7297458850644878
2017-8,0.7297440436519117
2017-9,0.7297422022393355
2017-10,0.7297403608267593
2017-11,0.7297385194141832
2017-12,0.729736678001607
2018-1,0.7297348365890308
2018-2,0.7296646459571295
2018-3,0.7295944553252283
2018-4,0.729524264693327
2018-5,0.7294540740614257
2018-6,0.7293838834295244
2018-7,0.7293136927976231
2018-8,0.7292435021657219
2018-9,0.7291733115338206
2018-10,0.7291031209019193
2018-11,0.729032930270018
2018-12,0.7289627396381168
2019-1,0.7288925490062155
2019-2,0.728778098619899
2019-3,0.7286636482335824
2019-4,0.7285491978472658
2019-5,0.7284347474609493
2019-6,0.7283202970746327
2019-7,0.7282058466883161
2019-8,0.7280913963019996
2019-9,0.7279769459156831
