,Maranhão - IDH
2003-1,0.6355695861355344
2003-2,0.6359965958984063
2003-3,0.6364236056612783
2003-4,0.6368506154241502
2003-5,0.6372776251870221
2003-6,0.6377046349498942
2003-7,0.6381316447127661
2003-8,0.638558654475638
2003-9,0.63898566423851
2003-10,0.6394126740013819
2003-11,0.6398396837642538
2003-12,0.6402666935271258
2004-1,0.6406937032899978
2004-2,0.6410785953540376
2004-3,0.6414634874180773
2004-4,0.6418483794821173
2004-5,0.6422332715461571
2004-6,0.6426181636101969
2004-7,0.6430030556742368
2004-8,0.6433879477382766
2004-9,0.6437728398023164
2004-10,0.6441577318663562
2004-11,0.644542623930396
2004-12,0.6449275159944359
2005-1,0.6453124080584757
2005-2,0.6456560842895674
2005-3,0.6459997605206591
2005-4,0.6463434367517509
2005-5,0.6466871129828426
2005-6,0.6470307892139344
2005-7,0.6473744654450262
2005-8,0.6477181416761179
2005-9,0.6480618179072096
2005-10,0.6484054941383014
2005-11,0.6487491703693931
2005-12,0.6490928466004848
2006-1,0.6494365228315766
2006-2,0.6497398850956043
2006-3,0.650043247359632
2006-4,0.6503466096236599
2006-5,0.6506499718876876
2006-6,0.6509533341517153
2006-7,0.651256696415743
2006-8,0.6515600586797707
2006-9,0.6518634209437985
2006-10,0.6521667832078262
2006-11,0.652470145471854
2006-12,0.6527735077358817
2007-1,0.6530768699999094
2007-2,0.6533408201627572
2007-3,0.6536047703256049
2007-4,0.6538687204884528
2007-5,0.6541326706513005
2007-6,0.6543966208141483
2007-7,0.654660570976996
2007-8,0.6549245211398438
2007-9,0.6551884713026915
2007-10,0.6554524214655393
2007-11,0.6557163716283871
2007-12,0.6559803217912349
2008-1,0.6562442719540826
2008-2,0.6564697118816345
2008-3,0.6566951518091864
2008-4,0.6569205917367382
2008-5,0.6571460316642902
2008-6,0.6573714715918421
2008-7,0.6575969115193939
2008-8,0.6578223514469458
2008-9,0.6580477913744976
2008-10,0.6582732313020496
2008-11,0.6584986712296015
2008-12,0.6587241111571533
2009-1,0.6589495510847052
2009-2,0.6591373826428453
2009-3,0.6593252142009853
2009-4,0.6595130457591253
2009-5,0.6597008773172653
2009-6,0.6598887088754054
2009-7,0.6600765404335454
2009-8,0.6602643719916854
2009-9,0.6604522035498255
2009-10,0.6606400351079655
2009-11,0.6608278666661056
2009-12,0.6610156982242456
2010-1,0.6612035297823856
2010-2,0.6613546548369978
2010-3,0.6615057798916102
2010-4,0.6616569049462224
2010-5,0.6618080300008347
2010-6,0.6619591550554469
2010-7,0.6621102801100591
2010-8,0.6622614051646715
2010-9,0.6624125302192837
2010-10,0.6625636552738959
2010-11,0.6627147803285083
2010-12,0.6628659053831205
2011-1,0.6630170304377327
2011-2,0.6631133926038364
2011-3,0.66320975476994
2011-4,0.6633061169360437
2011-5,0.6634024791021473
2011-6,0.663498841268251
2011-7,0.6635952034343546
2011-8,0.6636915656004582
2011-9,0.6637879277665618
2011-10,0.6638842899326655
2011-11,0.6639806520987691
2011-12,0.6640770142648728
2012-1,0.6641733764309764
2012-2,0.6642856915450804
2012-3,0.6643980066591845
2012-4,0.6645103217732884
2012-5,0.6646226368873924
2012-6,0.6647349520014965
2012-7,0.6648472671156005
2012-8,0.6649595822297045
2012-9,0.6650718973438086
2012-10,0.6651842124579126
2012-11,0.6652965275720165
2012-12,0.6654088426861205
2013-1,0.6655211578002246
2013-2,0.6655525547293928
2013-3,0.665583951658561
2013-4,0.6656153485877292
2013-5,0.6656467455168975
2013-6,0.6656781424460657
2013-7,0.6657095393752339
2013-8,0.6657409363044021
2013-9,0.6657723332335703
2013-10,0.6658037301627386
2013-11,0.6658351270919068
2013-12,0.665866524021075
2014-1,0.6658979209502432
2014-2,0.6659180454012866
2014-3,0.6659381698523299
2014-4,0.6659582943033733
2014-5,0.6659784187544167
2014-6,0.66599854320546
2014-7,0.6660186676565034
2014-8,0.6660387921075467
2014-9,0.6660589165585901
2014-10,0.6660790410096334
2014-11,0.6660991654606767
2014-12,0.6661192899117201
2015-1,0.6661394143627635
2015-2,0.6671257652078681
2015-3,0.6681121160529727
2015-4,0.6690984668980773
2015-5,0.670084817743182
2015-6,0.6710711685882866
2015-7,0.6720575194333912
2015-8,0.6730438702784958
2015-9,0.6740302211236004
2015-10,0.6750165719687051
2015-11,0.6760029228138097
2015-12,0.6769892736589143
2016-1,0.6779756245040189
2016-2,0.6779602883260191
2016-3,0.6779449521480192
2016-4,0.6779296159700193
2016-5,0.6779142797920195
2016-6,0.6778989436140196
2016-7,0.6778836074360197
2016-8,0.67786827125802
2016-9,0.6778529350800201
2016-10,0.6778375989020202
2016-11,0.6778222627240204
2016-12,0.6778069265460205
2017-1,0.6777915903680206
2017-2,0.6777369812041419
2017-3,0.6776823720402634
2017-4,0.6776277628763847
2017-5,0.677573153712506
2017-6,0.6775185445486275
2017-7,0.6774639353847488
2017-8,0.6774093262208701
2017-9,0.6773547170569916
2017-10,0.6773001078931129
2017-11,0.6772454987292342
2017-12,0.6771908895653557
2018-1,0.677136280401477
2018-2,0.6770691310105791
2018-3,0.6770019816196812
2018-4,0.6769348322287834
2018-5,0.6768676828378855
2018-6,0.6768005334469875
2018-7,0.6767333840560896
2018-8,0.6766662346651917
2018-9,0.6765990852742938
2018-10,0.6765319358833959
2018-11,0.6764647864924981
2018-12,0.6763976371016002
2019-1,0.6763304877107023
2019-2,0.6761966277691167
2019-3,0.676062767827531
2019-4,0.6759289078859455
2019-5,0.6757950479443599
2019-6,0.6756611880027743
2019-7,0.6755273280611886
2019-8,0.6753934681196031
