Ano,Sergipe
1980,0.477
1981,0.48263636363636364
1982,0.48827272727272725
1983,0.4939090909090909
1984,0.49930193247047977
1985,0.5044939175495443
1986,0.5096202632553004
1987,0.5148161866967634
1988,0.5202169049829493
1989,0.5259576352228736
1990,0.5321735945255519
1991,0.539
1992,0.5466407628767069
1993,0.5550406862719063
1994,0.5640708981965983
1995,0.5736025266617835
1996,0.5835066996784625
1997,0.5936545452576356
1998,0.6039171914103035
1999,0.6141657661474665
2000,0.624271397480125
2001,0.6341052134192797
2002,0.6435383419759308
2003,0.6524419111610791
2004,0.6606870489857246
2005,0.6681448834608683
2006,0.6746865425975104
2007,0.6801831544066512
2008,0.6845058468992916
2009,0.6875257480864317
2010,0.6891139859790721
2011,0.6891416885882132
2012,0.6874799839248558
2012,0.684
2013,0.683
2014,0.696
2015,0.697
2016,0.697
2017,0.699
2018,0.71
2019,0.705
2020,0.722
2021,0.702
