,Amazonas - IDH
2003-1,0.6958981976409983
2003-2,0.696042688287905
2003-3,0.6961871789348117
2003-4,0.6963316695817185
2003-5,0.6964761602286254
2003-6,0.696620650875532
2003-7,0.6967651415224388
2003-8,0.6969096321693456
2003-9,0.6970541228162523
2003-10,0.6971986134631591
2003-11,0.697343104110066
2003-12,0.6974875947569726
2004-1,0.6976320854038794
2004-2,0.6977661524939551
2004-3,0.6979002195840309
2004-4,0.6980342866741066
2004-5,0.6981683537641823
2004-6,0.6983024208542581
2004-7,0.6984364879443338
2004-8,0.6985705550344095
2004-9,0.6987046221244853
2004-10,0.6988386892145609
2004-11,0.6989727563046366
2004-12,0.6991068233947124
2005-1,0.6992408904847881
2005-2,0.6993648577248498
2005-3,0.6994888249649114
2005-4,0.6996127922049731
2005-5,0.6997367594450348
2005-6,0.6998607266850964
2005-7,0.699984693925158
2005-8,0.7001086611652197
2005-9,0.7002326284052813
2005-10,0.700356595645343
2005-11,0.7004805628854047
2005-12,0.7006045301254663
2006-1,0.700728497365528
2006-2,0.7008426884623926
2006-3,0.7009568795592571
2006-4,0.7010710706561217
2006-5,0.7011852617529863
2006-6,0.701299452849851
2006-7,0.7014136439467156
2006-8,0.7015278350435801
2006-9,0.7016420261404447
2006-10,0.7017562172373093
2006-11,0.7018704083341738
2006-12,0.7019845994310384
2007-1,0.702098790527903
2007-2,0.7022035291883876
2007-3,0.702308267848872
2007-4,0.7024130065093566
2007-5,0.702517745169841
2007-6,0.7026224838303256
2007-7,0.7027272224908101
2007-8,0.7028319611512945
2007-9,0.7029366998117791
2007-10,0.7030414384722635
2007-11,0.7031461771327481
2007-12,0.7032509157932325
2008-1,0.7033556544537171
2008-2,0.7034512643846385
2008-3,0.7035468743155598
2008-4,0.7036424842464812
2008-5,0.7037380941774026
2008-6,0.703833704108324
2008-7,0.7039293140392455
2008-8,0.7040249239701669
2008-9,0.7041205339010883
2008-10,0.7042161438320097
2008-11,0.7043117537629311
2008-12,0.7044073636938525
2009-1,0.7045029736247739
2009-2,0.7045897785329491
2009-3,0.7046765834411245
2009-4,0.7047633883492997
2009-5,0.704850193257475
2009-6,0.7049369981656504
2009-7,0.7050238030738256
2009-8,0.7051106079820009
2009-9,0.7051974128901762
2009-10,0.7052842177983515
2009-11,0.7053710227065267
2009-12,0.7054578276147021
2010-1,0.7055446325228774
2010-2,0.7056229561151235
2010-3,0.7057012797073696
2010-4,0.7057796032996159
2010-5,0.705857926891862
2010-6,0.7059362504841081
2010-7,0.7060145740763544
2010-8,0.7060928976686005
2010-9,0.7061712212608466
2010-10,0.7062495448530928
2010-11,0.7063278684453389
2010-12,0.7064061920375851
2011-1,0.7064845156298313
2011-2,0.7065298969031029
2011-3,0.7065752781763746
2011-4,0.7066206594496461
2011-5,0.7066660407229178
2011-6,0.7067114219961894
2011-7,0.7067568032694611
2011-8,0.7068021845427327
2011-9,0.7068475658160043
2011-10,0.706892947089276
2011-11,0.7069383283625476
2011-12,0.7069837096358192
2012-1,0.7070290909090908
2012-2,0.707140404040404
2012-3,0.7072517171717171
2012-4,0.7073630303030303
2012-5,0.7074743434343433
2012-6,0.7075856565656565
2012-7,0.7076969696969697
2012-8,0.7078082828282828
2012-9,0.707919595959596
2012-10,0.708030909090909
2012-11,0.7081422222222222
2012-12,0.7082535353535353
2013-1,0.7083648484848485
2013-2,0.7084090488215489
2013-3,0.7084532491582491
2013-4,0.7084974494949494
2013-5,0.7085416498316498
2013-6,0.7085858501683502
2013-7,0.7086300505050505
2013-8,0.7086742508417507
2013-9,0.7087184511784511
2013-10,0.7087626515151515
2013-11,0.7088068518518518
2013-12,0.708851052188552
2014-1,0.7088952525252524
2014-2,0.7089153584455667
2014-3,0.708935464365881
2014-4,0.7089555702861952
2014-5,0.7089756762065095
2014-6,0.7089957821268238
2014-7,0.709015888047138
2014-8,0.7090359939674522
2014-9,0.7090560998877665
2014-10,0.7090762058080808
2014-11,0.709096311728395
2014-12,0.7091164176487093
2015-1,0.7091365235690236
2015-2,0.7094617050556066
2015-3,0.7097868865421896
2015-4,0.7101120680287726
2015-5,0.7104372495153556
2015-6,0.7107624310019386
2015-7,0.7110876124885216
2015-8,0.7114127939751046
2015-9,0.7117379754616876
2015-10,0.7120631569482706
2015-11,0.7123883384348536
2015-12,0.7127135199214366
2016-1,0.7130387014080196
2016-2,0.7130541461156561
2016-3,0.7130695908232927
2016-4,0.7130850355309292
2016-5,0.7131004802385656
2016-6,0.7131159249462022
2016-7,0.7131313696538387
2016-8,0.7131468143614752
2016-9,0.7131622590691118
2016-10,0.7131777037767483
2016-11,0.7131931484843848
2016-12,0.7132085931920213
2017-1,0.7132240378996578
2017-2,0.713112098792837
2017-3,0.7130001596860163
2017-4,0.7128882205791955
2017-5,0.7127762814723747
2017-6,0.7126643423655539
2017-7,0.7125524032587331
