Ano,Espírito Santo
1980,0.673
1981,0.6758181818181819
1982,0.6786363636363637
1983,0.6814545454545454
1984,0.6843811218917245
1985,0.6873971019769176
1986,0.6904422989405465
1987,0.6934565260130336
1988,0.6963795964248005
1989,0.6991513234062693
1990,0.7017115201878618
1991,0.704
1992,0.7059807206046478
1993,0.7076853981285184
1994,0.7091622079601557
1995,0.7104593254881031
1996,0.7116249261009046
1997,0.7127071851871035
1998,0.7137542781352437
1999,0.714814380333869
2000,0.7159356671715226
2001,0.7171663140367488
2002,0.718554496318091
2003,0.7201483894040926
2004,0.7219961686832977
2005,0.7241460095442498
2006,0.7266460873754925
2007,0.7295445775655696
2008,0.7328896555030249
2009,0.7367294965764017
2010,0.7411122761742439
2011,0.7460861696850953
2012,0.7516993524974995
2012,0.758
2013,0.765
2014,0.772
2015,0.776
2016,0.779
2017,0.78
2018,0.788
2019,0.793
2020,0.792
2021,0.771
