,Acre - IDH
2003-1,0.6913196105136911
2003-2,0.6916169826942586
2003-3,0.6919143548748261
2003-4,0.6922117270553937
2003-5,0.6925090992359612
2003-6,0.6928064714165287
2003-7,0.6931038435970962
2003-8,0.6934012157776638
2003-9,0.6936985879582314
2003-10,0.6939959601387988
2003-11,0.6942933323193664
2003-12,0.6945907044999339
2004-1,0.6948880766805015
2004-2,0.695155567753355
2004-3,0.6954230588262085
2004-4,0.695690549899062
2004-5,0.6959580409719156
2004-6,0.6962255320447691
2004-7,0.6964930231176226
2004-8,0.6967605141904761
2004-9,0.6970280052633296
2004-10,0.6972954963361833
2004-11,0.6975629874090368
2004-12,0.6978304784818903
2005-1,0.6980979695547438
2005-2,0.6983362261869887
2005-3,0.6985744828192335
2005-4,0.6988127394514784
2005-5,0.6990509960837232
2005-6,0.6992892527159681
2005-7,0.699527509348213
2005-8,0.6997657659804578
2005-9,0.7000040226127027
2005-10,0.7002422792449475
2005-11,0.7004805358771924
2005-12,0.7007187925094372
2006-1,0.7009570491416821
2006-2,0.7011667180004236
2006-3,0.7013763868591651
2006-4,0.7015860557179068
2006-5,0.7017957245766483
2006-6,0.7020053934353898
2006-7,0.7022150622941313
2006-8,0.7024247311528728
2006-9,0.7026344000116144
2006-10,0.7028440688703559
2006-11,0.7030537377290975
2006-12,0.703263406587839
2007-1,0.7034730754465806
2007-2,0.703654803198924
2007-3,0.7038365309512676
2007-4,0.7040182587036111
2007-5,0.7041999864559546
2007-6,0.7043817142082982
2007-7,0.7045634419606417
2007-8,0.7047451697129852
2007-9,0.7049268974653288
2007-10,0.7051086252176723
2007-11,0.7052903529700157
2007-12,0.7054720807223593
2008-1,0.7056538084747028
2008-2,0.7058082417877537
2008-3,0.7059626751008046
2008-4,0.7061171084138553
2008-5,0.7062715417269062
2008-6,0.7064259750399571
2008-7,0.706580408353008
2008-8,0.7067348416660588
2008-9,0.7068892749791097
2008-10,0.7070437082921606
2008-11,0.7071981416052113
2008-12,0.7073525749182622
2009-1,0.7075070082313131
2009-2,0.7076347937721765
2009-3,0.7077625793130401
2009-4,0.7078903648539037
2009-5,0.7080181503947671
2009-6,0.7081459359356306
2009-7,0.7082737214764941
2009-8,0.7084015070173577
2009-9,0.7085292925582212
2009-10,0.7086570780990846
2009-11,0.7087848636399482
2009-12,0.7089126491808118
2010-1,0.7090404347216752
2010-2,0.7091422191574568
2010-3,0.7092440035932382
2010-4,0.7093457880290197
2010-5,0.7094475724648013
2010-6,0.7095493569005829
2010-7,0.7096511413363643
2010-8,0.7097529257721458
2010-9,0.7098547102079273
2010-10,0.7099564946437089
2010-11,0.7100582790794904
2010-12,0.7101600635152718
2011-1,0.7102618479510534
2011-2,0.7103237165140548
2011-3,0.7103855850770563
2011-4,0.7104474536400577
2011-5,0.7105093222030592
2011-6,0.7105711907660606
2011-7,0.710633059329062
2011-8,0.7106949278920635
2011-9,0.7107567964550648
2011-10,0.7108186650180663
2011-11,0.7108805335810677
2011-12,0.7109424021440692
2012-1,0.7110042707070706
2012-2,0.711073744809203
2012-3,0.7111432189113355
2012-4,0.7112126930134679
2012-5,0.7112821671156003
2012-6,0.7113516412177328
2012-7,0.7114211153198652
2012-8,0.7114905894219976
2012-9,0.71156006352413
2012-10,0.7116295376262625
2012-11,0.7116990117283949
2012-12,0.7117684858305273
2013-1,0.7118379599326597
2013-2,0.711878501321081
2013-3,0.7119190427095022
2013-4,0.7119595840979236
2013-5,0.7120001254863448
2013-6,0.7120406668747661
2013-7,0.7120812082631873
2013-8,0.7121217496516086
2013-9,0.7121622910400298
2013-10,0.7122028324284511
2013-11,0.7122433738168724
2013-12,0.7122839152052937
2014-1,0.7123244565937149
2014-2,0.7123058764311713
2014-3,0.7122872962686276
2014-4,0.7122687161060839
2014-5,0.7122501359435403
2014-6,0.7122315557809966
2014-7,0.712212975618453
2014-8,0.7121943954559093
2014-9,0.7121758152933657
2014-10,0.7121572351308221
2014-11,0.7121386549682783
2014-12,0.7121200748057347
2015-1,0.7121014946431911
2015-2,0.7127617351038087
2015-3,0.7134219755644264
2015-4,0.7140822160250442
2015-5,0.7147424564856618
2015-6,0.7154026969462794
2015-7,0.7160629374068972
2015-8,0.7167231778675149
2015-9,0.7173834183281326
2015-10,0.7180436587887502
2015-11,0.718703899249368
2015-12,0.7193641397099857
2016-1,0.7200243801706033
2016-2,0.7200018375961382
2016-3,0.719979295021673
2016-4,0.7199567524472079
2016-5,0.7199342098727428
2016-6,0.7199116672982776
2016-7,0.7198891247238125
2016-8,0.7198665821493474
2016-9,0.7198440395748822
2016-10,0.7198214970004171
2016-11,0.719798954425952
2016-12,0.7197764118514868
2017-1,0.7197538692770217
2017-2,0.7198126107109385
2017-3,0.7198713521448553
2017-4,0.7199300935787722
2017-5,0.7199888350126891
2017-6,0.7200475764466059
2017-7,0.7201063178805227
2017-8,0.7201650593144395
2017-9,0.7202238007483563
2017-10,0.7202825421822732
2017-11,0.7203412836161901
2017-12,0.7204000250501069
2018-1,0.7204587664840237
2018-2,0.7203637571392058
2018-3,0.7202687477943878
2018-4,0.7201737384495697
2018-5,0.7200787291047517
2018-6,0.7199837197599337
2018-7,0.7198887104151157
2018-8,0.7197937010702977
2018-9,0.7196986917254797
2018-10,0.7196036823806617
2018-11,0.7195086730358436
2018-12,0.7194136636910257
2019-1,0.7193186543462077
2019-2,0.7191695532427699
2019-3,0.7190204521393321
2019-4,0.7188713510358942
2019-5,0.7187222499324564
2019-6,0.7185731488290186
2019-7,0.7184240477255808
2019-8,0.718274946622143
2019-9,0.7181258455187052
2019-10,0.7179767444152674
2019-11,0.7178276433118295
2019-12,0.7176785422083917
2020-1,0.7175294411049539
2020-2,0.7173137550527187
2020-3,0.7170980690004835
2020-4,0.7168823829482482
2020-5,0.716666696896013
2020-6,0.7164510108437778
2020-7,0.7162353247915427
2020-8,0.7160196387393075
2020-9,0.7158039526870723
2020-10,0.7155882666348371
2020-11,0.7153725805826019
2020-12,0.7151568945303667
2021-1,0.7149412084781315
2021-2,0.714978641875693
2021-3,0.7150160752732546
2021-4,0.7150535086708163
2021-5,0.7150909420683779
2021-6,0.7151283754659394
2021-7,0.7151658088635011
2021-8,0.7152032422610627
2021-9,0.7152406756586243
2021-10,0.7152781090561858
2021-11,0.7153155424537474
2021-12,0.7153529758513091
2022-1,0.7153904092488707
