,Roraima - IDH
2003-1,0.734916255848655
2003-2,0.7349569256806422
2003-3,0.7349975955126293
2003-4,0.7350382653446166
2003-5,0.7350789351766037
2003-6,0.7351196050085909
2003-7,0.735160274840578
2003-8,0.7352009446725651
2003-9,0.7352416145045523
2003-10,0.7352822843365394
2003-11,0.7353229541685267
2003-12,0.7353636240005138
2004-1,0.7354042938325009
2004-2,0.7354372501490855
2004-3,0.7354702064656699
2004-4,0.7355031627822544
2004-5,0.7355361190988388
2004-6,0.7355690754154233
2004-7,0.7356020317320078
2004-8,0.7356349880485922
2004-9,0.7356679443651767
2004-10,0.7357009006817611
2004-11,0.7357338569983456
2004-12,0.73576681331493
2005-1,0.7357997696315145
2005-2,0.7358252079950729
2005-3,0.7358506463586313
2005-4,0.7358760847221897
2005-5,0.735901523085748
2005-6,0.7359269614493064
2005-7,0.7359523998128648
2005-8,0.7359778381764231
2005-9,0.7360032765399815
2005-10,0.7360287149035398
2005-11,0.7360541532670982
2005-12,0.7360795916306566
2006-1,0.736105029994215
2006-2,0.7361231459671239
2006-3,0.7361412619400328
2006-4,0.7361593779129417
2006-5,0.7361774938858506
2006-6,0.7361956098587595
2006-7,0.7362137258316686
2006-8,0.7362318418045775
2006-9,0.7362499577774864
2006-10,0.7362680737503953
2006-11,0.7362861897233042
2006-12,0.7363043056962131
2007-1,0.736322421669122
2007-2,0.736333410813758
2007-3,0.7363443999583942
2007-4,0.7363553891030302
2007-5,0.7363663782476664
2007-6,0.7363773673923024
2007-7,0.7363883565369385
2007-8,0.7363993456815746
2007-9,0.7364103348262107
2007-10,0.7364213239708468
2007-11,0.7364323131154829
2007-12,0.736443302260119
2008-1,0.736454291404755
2008-2,0.736458349283495
2008-3,0.7364624071622348
2008-4,0.7364664650409747
2008-5,0.7364705229197146
2008-6,0.7364745807984544
2008-7,0.7364786386771943
2008-8,0.7364826965559342
2008-9,0.736486754434674
2008-10,0.736490812313414
2008-11,0.7364948701921539
2008-12,0.7364989280708937
2009-1,0.7365029859496336
2009-2,0.7365003081248539
2009-3,0.7364976303000742
2009-4,0.7364949524752944
2009-5,0.7364922746505147
2009-6,0.736489596825735
2009-7,0.7364869190009553
2009-8,0.7364842411761756
2009-9,0.7364815633513959
2009-10,0.7364788855266162
2009-11,0.7364762077018364
2009-12,0.7364735298770567
2010-1,0.736470852052277
2010-2,0.7364616340863543
2010-3,0.7364524161204317
2010-4,0.736443198154509
2010-5,0.7364339801885863
2010-6,0.7364247622226636
2010-7,0.736415544256741
2010-8,0.7364063262908184
2010-9,0.7363971083248957
2010-10,0.736387890358973
2010-11,0.7363786723930503
2010-12,0.7363694544271276
2011-1,0.736360236461205
2011-2,0.7363375925136804
2011-3,0.7363149485661556
2011-4,0.7362923046186309
2011-5,0.7362696606711063
2011-6,0.7362470167235817
2011-7,0.736224372776057
2011-8,0.7362017288285323
2011-9,0.7361790848810077
2011-10,0.7361564409334831
2011-11,0.7361337969859584
2011-12,0.7361111530384337
2012-1,0.7360885090909091
2012-2,0.7360752348484848
2012-3,0.7360619606060606
2012-4,0.7360486863636363
2012-5,0.736035412121212
2012-6,0.7360221378787878
2012-7,0.7360088636363635
2012-8,0.7359955893939394
2012-9,0.7359823151515151
2012-10,0.7359690409090909
2012-11,0.7359557666666666
2012-12,0.7359424924242424
2013-1,0.7359292181818181
2013-2,0.7359148377525252
2013-3,0.7359004573232323
2013-4,0.7358860768939394
2013-5,0.7358716964646465
2013-6,0.7358573160353535
2013-7,0.7358429356060605
2013-8,0.7358285551767676
2013-9,0.7358141747474747
2013-10,0.7357997943181818
2013-11,0.7357854138888889
2013-12,0.7357710334595959
2014-1,0.735756653030303
2014-2,0.7356994075652357
2014-3,0.7356421621001683
2014-4,0.735584916635101
2014-5,0.7355276711700336
2014-6,0.7354704257049662
2014-7,0.7354131802398989
2014-8,0.7353559347748316
2014-9,0.7352986893097643
2014-10,0.7352414438446969
2014-11,0.7351841983796296
2014-12,0.7351269529145622
2015-1,0.7350697074494948
2015-2,0.7350778688571318
2015-3,0.7350860302647688
2015-4,0.7350941916724058
2015-5,0.7351023530800428
2015-6,0.7351105144876797
2015-7,0.7351186758953168
2015-8,0.7351268373029537
2015-9,0.7351349987105906
2015-10,0.7351431601182277
2015-11,0.7351513215258646
2015-12,0.7351594829335016
2016-1,0.7351676443411386
2016-2,0.7350401264952381
2016-3,0.7349126086493376
2016-4,0.7347850908034372
2016-5,0.7346575729575368
2016-6,0.7345300551116363
2016-7,0.7344025372657358
2016-8,0.7342750194198353
2016-9,0.7341475015739348
2016-10,0.7340199837280343
2016-11,0.733892465882134
2016-12,0.7337649480362335
2017-1,0.733637430190333
2017-2,0.7335437743584416
2017-3,0.7334501185265502
2017-4,0.7333564626946588
2017-5,0.7332628068627673
2017-6,0.733169151030876
2017-7,0.7330754951989846
2017-8,0.7329818393670932
2017-9,0.7328881835352018
2017-10,0.7327945277033103
2017-11,0.732700871871419
2017-12,0.7326072160395275
2018-1,0.7325135602076361
2018-2,0.7323053296031485
2018-3,0.7320970989986609
2018-4,0.7318888683941733
2018-5,0.7316806377896857
2018-6,0.7314724071851981
2018-7,0.7312641765807105
2018-8,0.7310559459762229
2018-9,0.7308477153717353
2018-10,0.7306394847672477
2018-11,0.7304312541627601
2018-12,0.7302230235582725
2019-1,0.7300147929537849
2019-2,0.7298709656276772
2019-3,0.7297271383015695
2019-4,0.7295833109754618
2019-5,0.7294394836493541
2019-6,0.7292956563232464
2019-7,0.7291518289971387
2019-8,0.729008001671031
2019-9,0.7288641743449233
