,Alagoas - IDH
2003-1,0.6351595081435675
2003-2,0.6355706221051998
2003-3,0.6359817360668321
2003-4,0.6363928500284644
2003-5,0.6368039639900965
2003-6,0.6372150779517288
2003-7,0.6376261919133611
2003-8,0.6380373058749934
2003-9,0.6384484198366257
2003-10,0.6388595337982579
2003-11,0.6392706477598902
2003-12,0.6396817617215225
2004-1,0.6400928756831548
2004-2,0.6404658393021473
2004-3,0.6408388029211398
2004-4,0.6412117665401323
2004-5,0.6415847301591249
2004-6,0.6419576937781174
2004-7,0.6423306573971099
2004-8,0.6427036210161023
2004-9,0.6430765846350949
2004-10,0.6434495482540874
2004-11,0.6438225118730799
2004-12,0.6441954754920725
2005-1,0.644568439111065
2005-2,0.6449041349790676
2005-3,0.6452398308470702
2005-4,0.6455755267150728
2005-5,0.6459112225830753
2005-6,0.646246918451078
2005-7,0.6465826143190805
2005-8,0.6469183101870831
2005-9,0.6472540060550858
2005-10,0.6475897019230883
2005-11,0.6479253977910909
2005-12,0.6482610936590935
2006-1,0.6485967895270961
2006-2,0.6488961002357586
2006-3,0.649195410944421
2006-4,0.6494947216530835
2006-5,0.649794032361746
2006-6,0.6500933430704084
2006-7,0.650392653779071
2006-8,0.6506919644877335
2006-9,0.6509912751963959
2006-10,0.6512905859050584
2006-11,0.6515898966137209
2006-12,0.6518892073223833
2007-1,0.6521885180310458
2007-2,0.652452326172018
2007-3,0.6527161343129901
2007-4,0.6529799424539623
2007-5,0.6532437505949344
2007-6,0.6535075587359066
2007-7,0.6537713668768788
2007-8,0.6540351750178509
2007-9,0.6542989831588231
2007-10,0.6545627912997952
2007-11,0.6548265994407674
2007-12,0.6550904075817395
2008-1,0.6553542157227117
2008-2,0.6555834038876434
2008-3,0.655812592052575
2008-4,0.6560417802175067
2008-5,0.6562709683824383
2008-6,0.6565001565473699
2008-7,0.6567293447123016
2008-8,0.6569585328772333
2008-9,0.6571877210421649
2008-10,0.6574169092070965
2008-11,0.6576460973720282
2008-12,0.6578752855369598
2009-1,0.6581044737018915
2009-2,0.6582999244824325
2009-3,0.6584953752629734
2009-4,0.6586908260435145
2009-5,0.6588862768240554
2009-6,0.6590817276045964
2009-7,0.6592771783851373
2009-8,0.6594726291656783
2009-9,0.6596680799462192
2009-10,0.6598635307267602
2009-11,0.6600589815073012
2009-12,0.6602544322878422
2010-1,0.6604498830683831
2010-2,0.6606124790561833
2010-3,0.6607750750439834
2010-4,0.6609376710317835
2010-5,0.6611002670195836
2010-6,0.6612628630073837
2010-7,0.6614254589951838
2010-8,0.6615880549829838
2010-9,0.6617506509707839
2010-10,0.661913246958584
2010-11,0.6620758429463841
