,Goiás - IDH
2003-1,0.7452934717740269
2003-2,0.74540536788159
2003-3,0.745517263989153
2003-4,0.745629160096716
2003-5,0.745741056204279
2003-6,0.745852952311842
2003-7,0.745964848419405
2003-8,0.746076744526968
2003-9,0.746188640634531
2003-10,0.7463005367420941
2003-11,0.7464124328496571
2003-12,0.7465243289572201
2004-1,0.7466362250647831
2004-2,0.7467374923410594
2004-3,0.7468387596173356
2004-4,0.7469400268936119
2004-5,0.7470412941698882
2004-6,0.7471425614461644
2004-7,0.7472438287224408
2004-8,0.747345095998717
2004-9,0.7474463632749933
2004-10,0.7475476305512695
2004-11,0.7476488978275457
2004-12,0.7477501651038221
2005-1,0.7478514323800983
2005-2,0.7479422452772465
2005-3,0.7480330581743948
2005-4,0.748123871071543
2005-5,0.7482146839686913
2005-6,0.7483054968658395
2005-7,0.7483963097629878
2005-8,0.748487122660136
2005-9,0.7485779355572841
2005-10,0.7486687484544324
2005-11,0.7487595613515806
2005-12,0.7488503742487289
2006-1,0.7489411871458771
2006-2,0.7490217201160561
2006-3,0.7491022530862349
2006-4,0.7491827860564139
2006-5,0.7492633190265927
2006-6,0.7493438519967717
2006-7,0.7494243849669506
2006-8,0.7495049179371295
2006-9,0.7495854509073084
2006-10,0.7496659838774873
2006-11,0.7497465168476662
2006-12,0.7498270498178451
2007-1,0.749907582788024
2007-2,0.7499780102833924
2007-3,0.7500484377787606
2007-4,0.750118865274129
2007-5,0.7501892927694973
2007-6,0.7502597202648656
2007-7,0.750330147760234
2007-8,0.7504005752556022
2007-9,0.7504710027509706
2007-10,0.7505414302463389
2007-11,0.7506118577417071
2007-12,0.7506822852370755
2008-1,0.7507527127324438
2008-2,0.7508132092051603
2008-3,0.7508737056778767
2008-4,0.7509342021505931
2008-5,0.7509946986233095
2008-6,0.7510551950960259
2008-7,0.7511156915687424
2008-8,0.7511761880414588
2008-9,0.7512366845141752
2008-10,0.7512971809868916
2008-11,0.751357677459608
2008-12,0.7514181739323245
2009-1,0.7514786704050409
2009-2,0.7515294103072642
2009-3,0.7515801502094874
2009-4,0.7516308901117106
2009-5,0.7516816300139338
2009-6,0.7517323699161571
2009-7,0.7517831098183804
2009-8,0.7518338497206036
2009-9,0.7518845896228269
2009-10,0.7519353295250502
2009-11,0.7519860694272733
2009-12,0.7520368093294966
2010-1,0.7520875492317198
2010-2,0.7521287070156086
2010-3,0.7521698647994974
2010-4,0.7522110225833862
2010-5,0.752252180367275
2010-6,0.7522933381511638
2010-7,0.7523344959350526
2010-8,0.7523756537189413
2010-9,0.7524168115028301
2010-10,0.7524579692867189
2010-11,0.7524991270706077
2010-12,0.7525402848544965
2011-1,0.7525814426383853
2011-2,0.7525932790964099
2011-3,0.7526051155544344
2011-4,0.752616952012459
2011-5,0.7526287884704836
2011-6,0.7526406249285081
2011-7,0.7526524613865327
2011-8,0.7526642978445574
2011-9,0.7526761343025818
2011-10,0.7526879707606065
2011-11,0.7526998072186311
2011-12,0.7527116436766556
2012-1,0.7527234801346802
2012-2,0.7527840598578377
2012-3,0.7528446395809951
2012-4,0.7529052193041527
2012-5,0.7529657990273102
2012-6,0.7530263787504676
2012-7,0.7530869584736252
2012-8,0.7531475381967827
2012-9,0.7532081179199401
2012-10,0.7532686976430977
2012-11,0.7533292773662552
2012-12,0.7533898570894126
2013-1,0.7534504368125702
2013-2,0.7534605092904353
2013-3,0.7534705817683003
2013-4,0.7534806542461654
2013-5,0.7534907267240305
2013-6,0.7535007992018955
2013-7,0.7535108716797606
2013-8,0.7535209441576257
2013-9,0.7535310166354907
2013-10,0.7535410891133558
2013-11,0.7535511615912209
2013-12,0.7535612340690859
2014-1,0.753571306546951
2014-2,0.7535474961757493
2014-3,0.7535236858045475
2014-4,0.7534998754333458
2014-5,0.7534760650621442
2014-6,0.7534522546909423
2014-7,0.7534284443197407
2014-8,0.753404633948539
2014-9,0.7533808235773372
2014-10,0.7533570132061355
2014-11,0.7533332028349338
2014-12,0.753309392463732
2015-1,0.7532855820925303
2015-2,0.7535347442332038
2015-3,0.7537839063738772
2015-4,0.7540330685145507
2015-5,0.7542822306552242
2015-6,0.7545313927958976
2015-7,0.7547805549365711
2015-8,0.7550297170772445
2015-9,0.755278879217918
2015-10,0.7555280413585915
2015-11,0.7557772034992649
2015-12,0.7560263656399384
2016-1,0.7562755277806119
2016-2,0.7562170090516771
2016-3,0.7561584903227424
2016-4,0.7560999715938076
2016-5,0.7560414528648729
2016-6,0.7559829341359381
2016-7,0.7559244154070033
2016-8,0.7558658966780686
2016-9,0.7558073779491338
2016-10,0.7557488592201991
2016-11,0.7556903404912643
2016-12,0.7556318217623296
2017-1,0.7555733030333948
2017-2,0.7555018886624356
2017-3,0.7554304742914765
2017-4,0.7553590599205173
2017-5,0.7552876455495583
2017-6,0.7552162311785992
2017-7,0.75514481680764
2017-8,0.7550734024366809
2017-9,0.7550019880657217
2017-10,0.7549305736947627
2017-11,0.7548591593238035
2017-12,0.7547877449528444
2018-1,0.7547163305818853
2018-2,0.7545929694499298
2018-3,0.7544696083179744
2018-4,0.754346247186019
2018-5,0.7542228860540636
2018-6,0.7540995249221082
2018-7,0.7539761637901528
2018-8,0.7538528026581973
2018-9,0.7537294415262419
2018-10,0.7536060803942866
2018-11,0.7534827192623311
2018-12,0.7533593581303757
2019-1,0.7532359969984203
2019-2,0.753078693945378
2019-3,0.7529213908923357
2019-4,0.7527640878392934
2019-5,0.7526067847862512
2019-6,0.7524494817332089
2019-7,0.7522921786801666
2019-8,0.7521348756271243
2019-9,0.751977572574082
