,Bahia - IDH
2003-1,0.6698992636044152
2003-2,0.6702099614160556
2003-3,0.6705206592276959
2003-4,0.6708313570393363
2003-5,0.6711420548509767
2003-6,0.671452752662617
2003-7,0.6717634504742573
2003-8,0.6720741482858977
2003-9,0.672384846097538
2003-10,0.6726955439091784
2003-11,0.6730062417208188
2003-12,0.6733169395324591
2004-1,0.6736276373440995
2004-2,0.67390928600584
2004-3,0.6741909346675804
2004-4,0.6744725833293208
2004-5,0.6747542319910613
2004-6,0.6750358806528018
2004-7,0.6753175293145423
2004-8,0.6755991779762827
2004-9,0.6758808266380232
2004-10,0.6761624752997637
2004-11,0.6764441239615041
2004-12,0.6767257726232445
2005-1,0.677007421284985
2005-2,0.6772608454832124
2005-3,0.6775142696814398
2005-4,0.6777676938796672
2005-5,0.6780211180778946
2005-6,0.6782745422761219
2005-7,0.6785279664743493
2005-8,0.6787813906725766
2005-9,0.679034814870804
2005-10,0.6792882390690314
2005-11,0.6795416632672587
2005-12,0.6797950874654861
2006-1,0.6800485116637135
2006-2,0.6802745360848146
2006-3,0.6805005605059156
2006-4,0.6807265849270167
2006-5,0.6809526093481177
2006-6,0.6811786337692188
2006-7,0.6814046581903199
2006-8,0.6816306826114209
2006-9,0.681856707032522
2006-10,0.6820827314536231
2006-11,0.6823087558747241
2006-12,0.6825347802958251
2007-1,0.6827608047169262
2007-2,0.6829602540472878
2007-3,0.6831597033776494
2007-4,0.683359152708011
2007-5,0.6835586020383726
2007-6,0.6837580513687341
2007-7,0.6839575006990957
2007-8,0.6841569500294573
2007-9,0.6843563993598188
2007-10,0.6845558486901805
2007-11,0.684755298020542
2007-12,0.6849547473509037
2008-1,0.6851541966812652
2008-2,0.685327895607274
2008-3,0.685501594533283
2008-4,0.6856752934592918
2008-5,0.6858489923853006
2008-6,0.6860226913113096
2008-7,0.6861963902373184
2008-8,0.6863700891633272
2008-9,0.6865437880893361
2008-10,0.686717487015345
2008-11,0.6868911859413538
2008-12,0.6870648848673627
2009-1,0.6872385837933715
2009-2,0.6873873570014145
2009-3,0.6875361302094575
2009-4,0.6876849034175004
2009-5,0.6878336766255434
2009-6,0.6879824498335864
2009-7,0.6881312230416292
2009-8,0.6882799962496722
2009-9,0.6884287694577151
2009-10,0.6885775426657581
2009-11,0.6887263158738011
2009-12,0.688875089081844
2010-1,0.689023862289887
2010-2,0.6891485344663508
2010-3,0.6892732066428147
2010-4,0.6893978788192785
2010-5,0.6895225509957423
2010-6,0.6896472231722062
2010-7,0.68977189534867
2010-8,0.6898965675251337
2010-9,0.6900212397015976
2010-10,0.6901459118780614
2010-11,0.6902705840545252
2010-12,0.6903952562309891
2011-1,0.6905199284074529
2011-2,0.6906037172017814
2011-3,0.6906875059961097
2011-4,0.6907712947904382
2011-5,0.6908550835847665
2011-6,0.690938872379095
2011-7,0.6910226611734234
2011-8,0.6911064499677518
2011-9,0.6911902387620803
2011-10,0.6912740275564087
2011-11,0.6913578163507371
2011-12,0.6914416051450655
2012-1,0.6915253939393939
2012-2,0.6916193202861953
2012-3,0.6917132466329966
2012-4,0.691807172979798
2012-5,0.6919010993265994
2012-6,0.6919950256734007
2012-7,0.692088952020202
2012-8,0.6921828783670034
2012-9,0.6922768047138047
2012-10,0.6923707310606061
2012-11,0.6924646574074075
2012-12,0.6925585837542088
2013-1,0.6926525101010101
2013-2,0.6927403747544894
2013-3,0.6928282394079686
2013-4,0.6929161040614479
2013-5,0.6930039687149271
2013-6,0.6930918333684063
2013-7,0.6931796980218856
2013-8,0.6932675626753648
2013-9,0.693355427328844
2013-10,0.6934432919823232
2013-11,0.6935311566358024
2013-12,0.6936190212892818
2014-1,0.693706885942761
2014-2,0.6937048504284746
2014-3,0.6937028149141882
2014-4,0.6937007793999018
2014-5,0.6936987438856155
2014-6,0.693696708371329
2014-7,0.6936946728570427
2014-8,0.6936926373427563
2014-9,0.6936906018284699
2014-10,0.6936885663141835
2014-11,0.6936865307998972
2014-12,0.6936844952856107
2015-1,0.6936824597713244
2015-2,0.6943647339551874
2015-3,0.6950470081390504
2015-4,0.6957292823229135
2015-5,0.6964115565067766
2015-6,0.6970938306906396
2015-7,0.6977761048745026
2015-8,0.6984583790583656
2015-9,0.6991406532422286
2015-10,0.6998229274260916
2015-11,0.7005052016099548
2015-12,0.7011874757938178
2016-1,0.7018697499776808
2016-2,0.7018460359623602
2016-3,0.7018223219470396
2016-4,0.701798607931719
2016-5,0.7017748939163985
2016-6,0.7017511799010778
2016-7,0.7017274658857573
2016-8,0.7017037518704367
2016-9,0.701680037855116
2016-10,0.7016563238397955
2016-11,0.7016326098244748
2016-12,0.7016088958091543
2017-1,0.7015851817938337
2017-2,0.7015214331710596
2017-3,0.7014576845482857
2017-4,0.7013939359255117
2017-5,0.7013301873027378
2017-6,0.7012664386799637
2017-7,0.7012026900571897
2017-8,0.7011389414344158
2017-9,0.7010751928116418
2017-10,0.7010114441888678
2017-11,0.7009476955660938
2017-12,0.7008839469433199
2018-1,0.7008201983205459
2018-2,0.7007506543684288
2018-3,0.7006811104163118
2018-4,0.7006115664641946
2018-5,0.7005420225120775
2018-6,0.7004724785599604
2018-7,0.7004029346078433
2018-8,0.7003333906557263
2018-9,0.7002638467036092
2018-10,0.7001943027514921
2018-11,0.7001247587993751
2018-12,0.700055214847258
2019-1,0.6999856708951409
2019-2,0.6998491987049525
2019-3,0.6997127265147642
2019-4,0.6995762543245758
2019-5,0.6994397821343875
2019-6,0.6993033099441992
2019-7,0.6991668377540109
2019-8,0.6990303655638226
