,Paraná - IDH
2003-1,0.7768711500179231
2003-2,0.7769750440731625
2003-3,0.7770789381284021
2003-4,0.7771828321836416
2003-5,0.7772867262388811
2003-6,0.7773906202941206
2003-7,0.7774945143493601
2003-8,0.7775984084045996
2003-9,0.7777023024598392
2003-10,0.7778061965150787
2003-11,0.7779100905703181
2003-12,0.7780139846255577
2004-1,0.7781178786807972
2004-2,0.7782135578837621
2004-3,0.778309237086727
2004-4,0.7784049162896919
2004-5,0.7785005954926567
2004-6,0.7785962746956216
2004-7,0.7786919538985866
2004-8,0.7787876331015514
2004-9,0.7788833123045164
2004-10,0.7789789915074812
2004-11,0.7790746707104461
2004-12,0.7791703499134109
2005-1,0.7792660291163759
2005-2,0.7793536495977559
2005-3,0.779441270079136
2005-4,0.779528890560516
2005-5,0.779616511041896
2005-6,0.779704131523276
2005-7,0.779791752004656
2005-8,0.7798793724860361
2005-9,0.7799669929674161
2005-10,0.7800546134487961
2005-11,0.7801422339301762
2005-12,0.7802298544115562
2006-1,0.7803174748929362
2006-2,0.7803971927834211
2006-3,0.780476910673906
2006-4,0.780556628564391
2006-5,0.7806363464548759
2006-6,0.7807160643453608
2006-7,0.7807957822358458
2006-8,0.7808755001263307
2006-9,0.7809552180168156
2006-10,0.7810349359073004
2006-11,0.7811146537977853
2006-12,0.7811943716882703
2007-1,0.7812740895787552
2007-2,0.7813460610090348
2007-3,0.7814180324393143
2007-4,0.7814900038695939
2007-5,0.7815619752998735
2007-6,0.7816339467301531
2007-7,0.7817059181604327
2007-8,0.7817778895907121
2007-9,0.7818498610209917
2007-10,0.7819218324512713
2007-11,0.7819938038815508
2007-12,0.7820657753118304
2008-1,0.78213774674211
2008-2,0.782202127842874
2008-3,0.7822665089436379
2008-4,0.7823308900444019
2008-5,0.7823952711451659
2008-6,0.7824596522459298
2008-7,0.7825240333466938
2008-8,0.7825884144474579
2008-9,0.7826527955482218
2008-10,0.7827171766489858
2008-11,0.7827815577497498
2008-12,0.7828459388505137
2009-1,0.7829103199512777
2009-2,0.7829672668532158
2009-3,0.783024213755154
2009-4,0.783081160657092
2009-5,0.7831381075590301
2009-6,0.7831950544609683
2009-7,0.7832520013629064
2009-8,0.7833089482648445
2009-9,0.7833658951667827
2009-10,0.7834228420687208
2009-11,0.7834797889706588
2009-12,0.783536735872597
2010-1,0.7835936827745351
2010-2,0.7836433516083372
2010-3,0.7836930204421392
2010-4,0.7837426892759413
2010-5,0.7837923581097432
2010-6,0.7838420269435453
2010-7,0.7838916957773474
2010-8,0.7839413646111494
2010-9,0.7839910334449515
2010-10,0.7840407022787534
2010-11,0.7840903711125555
2010-12,0.7841400399463575
2011-1,0.7841897087801596
2011-2,0.7842062841146974
2011-3,0.7842228594492351
2011-4,0.7842394347837729
2011-5,0.7842560101183107
2011-6,0.7842725854528484
2011-7,0.7842891607873862
2011-8,0.784305736121924
2011-9,0.7843223114564617
2011-10,0.7843388867909995
2011-11,0.7843554621255373
2011-12,0.784372037460075
2012-1,0.7843886127946128
2012-2,0.7844746448279087
2012-3,0.7845606768612047
2012-4,0.7846467088945006
2012-5,0.7847327409277965
2012-6,0.7848187729610925
2012-7,0.7849048049943883
2012-8,0.7849908370276842
2012-9,0.7850768690609802
2012-10,0.7851629010942761
2012-11,0.785248933127572
2012-12,0.785334965160868
2013-1,0.7854209971941639
2013-2,0.7854447541191234
2013-3,0.7854685110440829
2013-4,0.7854922679690424
2013-5,0.7855160248940019
2013-6,0.7855397818189613
2013-7,0.7855635387439208
2013-8,0.7855872956688802
2013-9,0.7856110525938397
2013-10,0.7856348095187992
2013-11,0.7856585664437586
2013-12,0.7856823233687181
2014-1,0.7857060802936776
2014-2,0.785690150295717
2014-3,0.7856742202977565
2014-4,0.785658290299796
2014-5,0.7856423603018353
2014-6,0.7856264303038747
2014-7,0.7856105003059142
2014-8,0.7855945703079537
2014-9,0.785578640309993
2014-10,0.7855627103120324
2014-11,0.7855467803140719
2014-12,0.7855308503161114
2015-1,0.7855149203181507
2015-2,0.7857525452204306
2015-3,0.7859901701227106
2015-4,0.7862277950249904
2015-5,0.7864654199272703
2015-6,0.7867030448295502
2015-7,0.7869406697318301
2015-8,0.7871782946341099
2015-9,0.7874159195363899
2015-10,0.7876535444386698
2015-11,0.7878911693409496
2015-12,0.7881287942432296
2016-1,0.7883664191455094
2016-2,0.7883010132299451
2016-3,0.7882356073143808
2016-4,0.7881702013988166
2016-5,0.7881047954832522
2016-6,0.7880393895676878
2016-7,0.7879739836521236
2016-8,0.7879085777365593
2016-9,0.787843171820995
2016-10,0.7877777659054306
2016-11,0.7877123599898663
2016-12,0.7876469540743021
2017-1,0.7875815481587377
2017-2,0.7875101962508494
2017-3,0.787438844342961
2017-4,0.7873674924350726
2017-5,0.7872961405271843
2017-6,0.7872247886192959
2017-7,0.7871534367114076
2017-8,0.7870820848035193
2017-9,0.7870107328956308
2017-10,0.7869393809877425
2017-11,0.7868680290798542
2017-12,0.7867966771719658
2018-1,0.7867253252640775
2018-2,0.7865868807585022
2018-3,0.7864484362529272
2018-4,0.7863099917473519
2018-5,0.7861715472417767
2018-6,0.7860331027362016
2018-7,0.7858946582306264
2018-8,0.7857562137250512
2018-9,0.7856177692194761
2018-10,0.7854793247139009
2018-11,0.7853408802083257
2018-12,0.7852024357027506
2019-1,0.7850639911971754
2019-2,0.7848978093123056
2019-3,0.7847316274274356
2019-4,0.7845654455425657
2019-5,0.7843992636576959
2019-6,0.784233081772826
2019-7,0.7840668998879561
2019-8,0.7839007180030861
2019-9,0.7837345361182163
2019-10,0.7835683542333465
2019-11,0.7834021723484765
2019-12,0.7832359904636066
2020-1,0.7830698085787368
2020-2,0.783040034401303
2020-3,0.7830102602238691
2020-4,0.7829804860464353
2020-5,0.7829507118690014
2020-6,0.7829209376915677
2020-7,0.7828911635141338
2020-8,0.7828613893367
2020-9,0.7828316151592662
2020-10,0.7828018409818324
2020-11,0.7827720668043986
2020-12,0.7827422926269647
2021-1,0.7827125184495309
2021-2,0.7828164011650577
2021-3,0.7829202838805844
2021-4,0.7830241665961112
2021-5,0.7831280493116379
2021-6,0.7832319320271647
2021-7,0.7833358147426914
2021-8,0.7834396974582183
2021-9,0.783543580173745
2021-10,0.7836474628892718
2021-11,0.7837513456047985
2021-12,0.7838552283203253
2022-1,0.783959111035852
