,Piauí - IDH
2003-1,0.6492176448058882
2003-2,0.6496609713002554
2003-3,0.6501042977946226
2003-4,0.6505476242889898
2003-5,0.650990950783357
2003-6,0.6514342772777243
2003-7,0.6518776037720915
2003-8,0.6523209302664587
2003-9,0.652764256760826
2003-10,0.6532075832551931
2003-11,0.6536509097495603
2003-12,0.6540942362439276
2004-1,0.6545375627382948
2004-2,0.6549334729557797
2004-3,0.6553293831732647
2004-4,0.6557252933907497
2004-5,0.6561212036082347
2004-6,0.6565171138257196
2004-7,0.6569130240432046
2004-8,0.6573089342606896
2004-9,0.6577048444781746
2004-10,0.6581007546956595
2004-11,0.6584966649131445
2004-12,0.6588925751306295
2005-1,0.6592884853481145
2005-2,0.6596379227944252
2005-3,0.6599873602407361
2005-4,0.6603367976870469
2005-5,0.6606862351333578
2005-6,0.6610356725796686
2005-7,0.6613851100259793
2005-8,0.6617345474722902
2005-9,0.662083984918601
2005-10,0.6624334223649119
2005-11,0.6627828598112226
2005-12,0.6631322972575335
2006-1,0.6634817347038443
2006-2,0.6637856428846891
2006-3,0.6640895510655338
2006-4,0.6643934592463785
2006-5,0.6646973674272233
2006-6,0.6650012756080681
2006-7,0.6653051837889128
2006-8,0.6656090919697575
2006-9,0.6659130001506023
2006-10,0.6662169083314471
2006-11,0.6665208165122918
2006-12,0.6668247246931365
2007-1,0.6671286328739813
2007-2,0.667387955295068
2007-3,0.6676472777161548
2007-4,0.6679066001372416
2007-5,0.6681659225583284
2007-6,0.6684252449794151
2007-7,0.668684567400502
2007-8,0.6689438898215887
2007-9,0.6692032122426754
2007-10,0.6694625346637623
2007-11,0.669721857084849
2007-12,0.6699811795059358
2008-1,0.6702405019270226
2008-2,0.6704561820940594
2008-3,0.6706718622610963
2008-4,0.6708875424281333
2008-5,0.6711032225951702
2008-6,0.6713189027622071
2008-7,0.671534582929244
2008-8,0.6717502630962808
2008-9,0.6719659432633177
2008-10,0.6721816234303546
2008-11,0.6723973035973916
2008-12,0.6726129837644285
2009-1,0.6728286639314653
2009-2,0.6730016453501604
2009-3,0.6731746267688555
2009-4,0.6733476081875507
2009-5,0.6735205896062457
2009-6,0.6736935710249408
2009-7,0.6738665524436359
2009-8,0.6740395338623311
2009-9,0.6742125152810261
2009-10,0.6743854966997211
2009-11,0.6745584781184163
2009-12,0.6747314595371114
2010-1,0.6749044409558065
2010-2,0.6750356671318679
2010-3,0.6751668933079293
2010-4,0.6752981194839907
2010-5,0.6754293456600521
2010-6,0.6755605718361135
2010-7,0.6756917980121748
2010-8,0.6758230241882363
2010-9,0.6759542503642977
2010-10,0.6760854765403591
2010-11,0.6762167027164205
2010-12,0.6763479288924819
2011-1,0.6764791550685433
2011-2,0.6765313361416754
2011-3,0.6765835172148074
2011-4,0.6766356982879393
2011-5,0.6766878793610714
2011-6,0.6767400604342035
2011-7,0.6767922415073355
2011-8,0.6768444225804675
2011-9,0.6768966036535996
2011-10,0.6769487847267317
2011-11,0.6770009657998637
2011-12,0.6770531468729957
2012-1,0.6771053279461278
2012-2,0.6772241149457536
2012-3,0.6773429019453796
2012-4,0.6774616889450055
2012-5,0.6775804759446313
2012-6,0.6776992629442572
2012-7,0.6778180499438831
2012-8,0.677936836943509
2012-9,0.6780556239431349
2012-10,0.6781744109427608
2012-11,0.6782931979423867
2012-12,0.6784119849420126
2013-1,0.6785307719416385
2013-2,0.6785275134134554
2013-3,0.6785242548852723
2013-4,0.6785209963570893
