,Espírito Santo - IDH
2003-1,0.760059213077231
2003-2,0.7602220084780456
2003-3,0.7603848038788601
2003-4,0.7605475992796746
2003-5,0.7607103946804892
2003-6,0.7608731900813037
2003-7,0.7610359854821183
2003-8,0.7611987808829327
2003-9,0.7613615762837472
2003-10,0.7615243716845618
2003-11,0.7616871670853763
2003-12,0.7618499624861909
2004-1,0.7620127578870054
2004-2,0.7621631299669268
2004-3,0.7623135020468483
2004-4,0.7624638741267697
2004-5,0.7626142462066912
2004-6,0.7627646182866126
2004-7,0.762914990366534
2004-8,0.7630653624464555
2004-9,0.7632157345263769
2004-10,0.7633661066062983
2004-11,0.7635164786862199
2004-12,0.7636668507661413
2005-1,0.7638172228460627
2005-2,0.7639555605315066
2005-3,0.7640938982169506
2005-4,0.7642322359023945
2005-5,0.7643705735878384
2005-6,0.7645089112732825
2005-7,0.7646472489587264
2005-8,0.7647855866441703
2005-9,0.7649239243296143
2005-10,0.7650622620150582
2005-11,0.7652005997005021
2005-12,0.7653389373859462
2006-1,0.7654772750713901
2006-2,0.7656039672887721
2006-3,0.7657306595061542
2006-4,0.7658573517235362
2006-5,0.7659840439409182
2006-6,0.7661107361583003
2006-7,0.7662374283756823
2006-8,0.7663641205930642
2006-9,0.7664908128104463
2006-10,0.7666175050278283
2006-11,0.7667441972452104
2006-12,0.7668708894625924
2007-1,0.7669975816799744
2007-2,0.7671130173557101
2007-3,0.7672284530314459
2007-4,0.7673438887071816
2007-5,0.7674593243829174
2007-6,0.7675747600586531
2007-7,0.7676901957343889
2007-8,0.7678056314101246
2007-9,0.7679210670858603
2007-10,0.7680365027615961
2007-11,0.7681519384373318
2007-12,0.7682673741130676
2008-1,0.7683828097888032
2008-2,0.7684873778493082
2008-3,0.7685919459098133
2008-4,0.7686965139703182
2008-5,0.7688010820308233
2008-6,0.7689056500913283
2008-7,0.7690102181518332
2008-8,0.7691147862123383
2008-9,0.7692193542728433
2008-10,0.7693239223333483
2008-11,0.7694284903938533
2008-12,0.7695330584543584
2009-1,0.7696376265148633
2009-2,0.7697317158865532
2009-3,0.7698258052582431
2009-4,0.7699198946299329
2009-5,0.7700139840016228
2009-6,0.7701080733733127
2009-7,0.7702021627450026
2009-8,0.7702962521166925
2009-9,0.7703903414883824
2009-10,0.7704844308600722
2009-11,0.7705785202317621
2009-12,0.770672609603452
2010-1,0.7707666989751418
2010-2,0.7708506985844321
2010-3,0.7709346981937225
2010-4,0.7710186978030128
2010-5,0.7711026974123032
2010-6,0.7711866970215935
2010-7,0.7712706966308838
2010-8,0.7713546962401742
2010-9,0.7714386958494645
2010-10,0.7715226954587548
2010-11,0.7716066950680451
2010-12,0.7716906946773355
2011-1,0.7717746942866258
2011-2,0.7718282443979816
2011-3,0.7718817945093375
2011-4,0.7719353446206934
2011-5,0.7719888947320491
2011-6,0.7720424448434049
2011-7,0.7720959949547608
2011-8,0.7721495450661167
2011-9,0.7722030951774724
2011-10,0.7722566452888282
2011-11,0.7723101954001841
2011-12,0.77236374551154
2012-1,0.7724172956228957
2012-2,0.7725174157313881
2012-3,0.7726175358398804
2012-4,0.7727176559483727
2012-5,0.7728177760568651
2012-6,0.7729178961653574
2012-7,0.7730180162738498
2012-8,0.7731181363823421
2012-9,0.7732182564908344
2012-10,0.7733183765993268
2012-11,0.773418496707819
2012-12,0.7735186168163114
2013-1,0.7736187369248038
2013-2,0.7736785892645593
2013-3,0.7737384416043149
2013-4,0.7737982939440705
2013-5,0.7738581462838261
2013-6,0.7739179986235817
2013-7,0.7739778509633373
2013-8,0.7740377033030927
2013-9,0.7740975556428483
2013-10,0.7741574079826039
2013-11,0.7742172603223595
2013-12,0.7742771126621151
2014-1,0.7743369650018707
2014-2,0.7743531939254947
2014-3,0.7743694228491189
2014-4,0.774385651772743
2014-5,0.7744018806963671
2014-6,0.7744181096199912
2014-7,0.7744343385436153
2014-8,0.7744505674672394
2014-9,0.7744667963908636
2014-10,0.7744830253144876
2014-11,0.7744992542381117
2014-12,0.7745154831617359
2015-1,0.77453171208536
2015-2,0.7749033475148749
2015-3,0.7752749829443898
2015-4,0.7756466183739048
2015-5,0.7760182538034197
2015-6,0.7763898892329346
2015-7,0.7767615246624495
2015-8,0.7771331600919644
2015-9,0.7775047955214793
2015-10,0.7778764309509942
2015-11,0.7782480663805093
2015-12,0.7786197018100242
2016-1,0.7789913372395391
2016-2,0.7789912716125659
2016-3,0.7789912059855927
2016-4,0.7789911403586195
2016-5,0.7789910747316463
2016-6,0.7789910091046731
2016-7,0.7789909434776999
2016-8,0.7789908778507267
2016-9,0.7789908122237535
2016-10,0.7789907465967804
2016-11,0.7789906809698072
2016-12,0.778990615342834
2017-1,0.7789905497158608
2017-2,0.7789829023652234
2017-3,0.778975255014586
2017-4,0.7789676076639486
2017-5,0.7789599603133112
2017-6,0.7789523129626738
2017-7,0.7789446656120363
2017-8,0.7789370182613989
2017-9,0.7789293709107615
2017-10,0.7789217235601241
2017-11,0.7789140762094867
2017-12,0.7789064288588493
2018-1,0.7788987815082119
2018-2,0.7788298328832741
2018-3,0.7787608842583363
2018-4,0.7786919356333986
2018-5,0.7786229870084607
2018-6,0.7785540383835229
2018-7,0.7784850897585851
2018-8,0.7784161411336473
2018-9,0.7783471925087095
2018-10,0.7782782438837716
2018-11,0.7782092952588339
2018-12,0.7781403466338961
2019-1,0.7780713980089583
2019-2,0.7779583025393292
2019-3,0.7778452070697001
2019-4,0.777732111600071
2019-5,0.7776190161304419
2019-6,0.7775059206608128
2019-7,0.7773928251911837
2019-8,0.7772797297215546
2019-9,0.7771666342519254
2019-10,0.7770535387822963
2019-11,0.7769404433126673
2019-12,0.7768273478430382
2020-1,0.7767142523734091
2020-2,0.7765984512550258
2020-3,0.7764826501366425
2020-4,0.7763668490182594
2020-5,0.7762510478998761
2020-6,0.7761352467814928
2020-7,0.7760194456631095
2020-8,0.7759036445447263
2020-9,0.775787843426343
2020-10,0.7756720423079597
2020-11,0.7755562411895766
2020-12,0.7754404400711933
2021-1,0.77532463895281
2021-2,0.7753574013691191
2021-3,0.7753901637854284
2021-4,0.7754229262017376
2021-5,0.7754556886180467
2021-6,0.7754884510343558
2021-7,0.775521213450665
2021-8,0.7755539758669743
2021-9,0.7755867382832834
2021-10,0.7756195006995925
2021-11,0.7756522631159017
2021-12,0.775685025532211
2022-1,0.7757177879485201
