,São Paulo - IDH
2003-1,0.8127229349041307
2003-2,0.8128380640496393
2003-3,0.8129531931951479
2003-4,0.8130683223406565
2003-5,0.8131834514861651
2003-6,0.8132985806316737
2003-7,0.8134137097771823
2003-8,0.8135288389226909
2003-9,0.8136439680681995
2003-10,0.8137590972137081
2003-11,0.8138742263592167
2003-12,0.8139893555047253
2004-1,0.8141044846502339
2004-2,0.8142090030086258
2004-3,0.8143135213670177
2004-4,0.8144180397254096
2004-5,0.8145225580838016
2004-6,0.8146270764421935
2004-7,0.8147315948005853
2004-8,0.8148361131589773
2004-9,0.8149406315173692
2004-10,0.8150451498757612
2004-11,0.815149668234153
2004-12,0.815254186592545
2005-1,0.8153587049509369
2005-2,0.815452811131044
2005-3,0.8155469173111511
2005-4,0.8156410234912582
2005-5,0.8157351296713653
2005-6,0.8158292358514725
2005-7,0.8159233420315796
2005-8,0.8160174482116866
2005-9,0.8161115543917938
2005-10,0.8162056605719009
2005-11,0.816299766752008
2005-12,0.8163938729321152
2006-1,0.8164879791122223
2006-2,0.8165718717228765
2006-3,0.8166557643335306
2006-4,0.8167396569441847
2006-5,0.8168235495548389
2006-6,0.8169074421654932
2006-7,0.8169913347761473
2006-8,0.8170752273868014
2006-9,0.8171591199974556
2006-10,0.8172430126081098
2006-11,0.8173269052187639
2006-12,0.8174107978294181
2007-1,0.8174946904400723
2007-2,0.8175685680901054
2007-3,0.8176424457401384
2007-4,0.8177163233901715
2007-5,0.8177902010402046
2007-6,0.8178640786902377
2007-7,0.8179379563402709
2007-8,0.818011833990304
2007-9,0.818085711640337
2007-10,0.8181595892903701
2007-11,0.8182334669404032
2007-12,0.8183073445904363
2008-1,0.8183812222404694
2008-2,0.8184452835387133
2008-3,0.8185093448369571
2008-4,0.818573406135201
2008-5,0.818637467433445
2008-6,0.8187015287316889
2008-7,0.8187655900299328
2008-8,0.8188296513281766
2008-9,0.8188937126264205
2008-10,0.8189577739246645
2008-11,0.8190218352229084
2008-12,0.8190858965211523
2009-1,0.8191499578193961
2009-2,0.8192044013746826
2009-3,0.8192588449299693
2009-4,0.8193132884852559
2009-5,0.8193677320405424
2009-6,0.8194221755958289
2009-7,0.8194766191511155
2009-8,0.8195310627064021
2009-9,0.8195855062616886
2009-10,0.8196399498169751
2009-11,0.8196943933722617
2009-12,0.8197488369275483
2010-1,0.8198032804828348
2010-2,0.8198483049039959
2010-3,0.8198933293251569
2010-4,0.8199383537463181
2010-5,0.8199833781674791
2010-6,0.8200284025886402
2010-7,0.8200734270098013
2010-8,0.8201184514309624
2010-9,0.8201634758521235
2010-10,0.8202085002732845
2010-11,0.8202535246944456
2010-12,0.8202985491156067
2011-1,0.8203435735367678
2011-2,0.8203607659777273
2011-3,0.820377958418687
2011-4,0.8203951508596465
2011-5,0.8204123433006061
2011-6,0.8204295357415657
2011-7,0.8204467281825253
2011-8,0.8204639206234848
2011-9,0.8204811130644445
2011-10,0.820498305505404
2011-11,0.8205154979463636
2011-12,0.8205326903873232
2012-1,0.8205498828282828
2012-2,0.8206092570145903
2012-3,0.8206686312008978
2012-4,0.8207280053872054
2012-5,0.8207873795735129
2012-6,0.8208467537598204
2012-7,0.8209061279461279
2012-8,0.8209655021324355
2012-9,0.821024876318743
2012-10,0.8210842505050505
2012-11,0.821143624691358
2012-12,0.8212029988776656
2013-1,0.8212623730639731
2013-2,0.8212850284324729
2013-3,0.8213076838009727
2013-4,0.8213303391694725
2013-5,0.8213529945379723
2013-6,0.8213756499064722
2013-7,0.8213983052749719
2013-8,0.8214209606434717
2013-9,0.8214436160119716
2013-10,0.8214662713804713
2013-11,0.8214889267489711
2013-12,0.821511582117471
2014-1,0.8215342374859708
2014-2,0.8215101696907344
2014-3,0.8214861018954982
2014-4,0.8214620341002619
2014-5,0.8214379663050255
2014-6,0.8214138985097892
2014-7,0.8213898307145528
2014-8,0.8213657629193166
2014-9,0.8213416951240803
2014-10,0.821317627328844
2014-11,0.8212935595336077
2014-12,0.8212694917383714
2015-1,0.821245423943135
2015-2,0.8215021834427326
2015-3,0.8217589429423302
2015-4,0.8220157024419277
2015-5,0.8222724619415253
2015-6,0.8225292214411228
2015-7,0.8227859809407203
2015-8,0.8230427404403179
2015-9,0.8232994999399155
2015-10,0.823556259439513
2015-11,0.8238130189391106
2015-12,0.8240697784387081
2016-1,0.8243265379383057
2016-2,0.8242456783772323
2016-3,0.8241648188161588
2016-4,0.8240839592550854
2016-5,0.824003099694012
2016-6,0.8239222401329385
2016-7,0.8238413805718651
2016-8,0.8237605210107917
2016-9,0.8236796614497182
2016-10,0.8235988018886448
2016-11,0.8235179423275714
2016-12,0.8234370827664979
2017-1,0.8233562232054245
2017-2,0.8232983158054655
2017-3,0.8232404084055066
2017-4,0.8231825010055477
2017-5,0.8231245936055888
2017-6,0.8230666862056298
2017-7,0.823008778805671
2017-8,0.8229508714057121
2017-9,0.8228929640057532
2017-10,0.8228350566057943
2017-11,0.8227771492058353
2017-12,0.8227192418058764
2018-1,0.8226613344059175
2018-2,0.8225527081514169
2018-3,0.8224440818969163
2018-4,0.8223354556424156
2018-5,0.822226829387915
2018-6,0.8221182031334144
2018-7,0.8220095768789137
2018-8,0.8219009506244132
2018-9,0.8217923243699126
2018-10,0.821683698115412
2018-11,0.8215750718609114
2018-12,0.8214664456064107
2019-1,0.8213578193519101
2019-2,0.8211787119227579
2019-3,0.8209996044936058
2019-4,0.8208204970644535
2019-5,0.8206413896353013
2019-6,0.8204622822061491
2019-7,0.820283174776997
2019-8,0.8201040673478448
