Ano,Ceará
1980,0.44
1981,0.447
1982,0.454
1983,0.461
1984,0.46784919865960367
1985,0.4745740166988265
1986,0.48125818747648696
1987,0.4879854443514035
1988,0.4948395206823946
1989,0.5019041498282788
1990,0.5092630651478744
1991,0.517
1992,0.5251824688963116
1993,0.533777069916818
1994,0.5427245713495659
1995,0.5519657414826022
1996,0.5614413486039738
1997,0.5710921610017277
1998,0.5808589469639106
1999,0.5906824747785693
2000,0.6005035127337507
2001,0.6102628291175018
2002,0.6199011922178692
2003,0.6293593703229
2004,0.6385781317206412
2005,0.6474982446991391
2006,0.6560604775464411
2007,0.6642055985505938
2008,0.6718743759996441
2009,0.6790075781816389
2010,0.685545973384625
2011,0.6914303298966493
2012,0.6966014160057586
2012,0.701
2013,0.705
2014,0.71
2015,0.715
2016,0.722
2017,0.73
2018,0.739
2019,0.744
2020,0.755
2021,0.734
