,Rio Grande do Norte - IDH
2003-1,0.6894876499228499
2003-2,0.6898924482250343
2003-3,0.6902972465272186
2003-4,0.6907020448294029
2003-5,0.6911068431315872
2003-6,0.6915116414337715
2003-7,0.6919164397359558
2003-8,0.69232123803814
2003-9,0.6927260363403244
2003-10,0.6931308346425087
2003-11,0.693535632944693
2003-12,0.6939404312468773
2004-1,0.6943452295490616
2004-2,0.6947104939079399
2004-3,0.6950757582668181
2004-4,0.6954410226256964
2004-5,0.6958062869845746
2004-6,0.6961715513434529
2004-7,0.6965368157023311
2004-8,0.6969020800612094
2004-9,0.6972673444200876
2004-10,0.6976326087789658
2004-11,0.6979978731378441
2004-12,0.6983631374967223
2005-1,0.6987284018556006
2005-2,0.6990551239466737
2005-3,0.6993818460377468
2005-4,0.69970856812882
2005-5,0.7000352902198931
2005-6,0.7003620123109662
2005-7,0.7006887344020393
2005-8,0.7010154564931124
2005-9,0.7013421785841855
2005-10,0.7016689006752586
2005-11,0.7019956227663318
2005-12,0.7023223448574049
2006-1,0.702649066948478
2006-2,0.7029382384472469
2006-3,0.7032274099460158
2006-4,0.7035165814447848
2006-5,0.7038057529435537
2006-6,0.7040949244423227
2006-7,0.7043840959410916
2006-8,0.7046732674398606
2006-9,0.7049624389386295
2006-10,0.7052516104373985
2006-11,0.7055407819361674
2006-12,0.7058299534349364
2007-1,0.7061191249337053
2007-2,0.7063717375156711
2007-3,0.7066243500976367
2007-4,0.7068769626796024
2007-5,0.7071295752615682
2007-6,0.7073821878435338
2007-7,0.7076348004254995
2007-8,0.7078874130074653
2007-9,0.7081400255894309
2007-10,0.7083926381713966
2007-11,0.7086452507533624
2007-12,0.708897863335328
2008-1,0.7091504759172937
2008-2,0.7093675212579571
2008-3,0.7095845665986206
2008-4,0.7098016119392839
2008-5,0.7100186572799473
2008-6,0.7102357026206108
2008-7,0.7104527479612741
2008-8,0.7106697933019375
2008-9,0.7108868386426009
2008-10,0.7111038839832643
2008-11,0.7113209293239277
2008-12,0.7115379746645911
2009-1,0.7117550200052545
2009-2,0.7119374897801165
2009-3,0.7121199595549785
2009-4,0.7123024293298406
2009-5,0.7124848991047026
2009-6,0.7126673688795646
2009-7,0.7128498386544266
2009-8,0.7130323084292887
2009-9,0.7132147782041507
2009-10,0.7133972479790127
2009-11,0.7135797177538747
2009-12,0.7137621875287368
2010-1,0.7139446573035988
